"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","250464","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","loefgrenii","Peperomia loefgrenii","Yunck.","holotype fragment","A. Löfgren","s.n.","1897","01","12","South America","Brazil","São Paulo","Barreira do Ataque","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=38005' target='other'> <mi>dwc_moreinfo</mi></a>","NY00250464","NY00250464_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-20 21:18:50-03","UFV","VIC","9414","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","loefgrenii","Peperomia loefgrenii",NA,NA,"Vieira, M.F.; Soares, M.F.","236","1985","10","17",NA,"Brasil","Minas Gerais","Horto",NA,"Erva em vaso escandente, com enraizamentode caule, inflorescência branca,peciolo e pedunculo de inflorescência avermelhados.","VIC009414","VIC009414","Viçosa","-42.8819007873535","-20.7539005279541","13937","auto",NA,NA,NA,NA,NA,NA,NA
"3","2019-11-01 15:07:51-03","UnB","UB","113507","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Piperaceae","Peperomia","loefgrenii","Peperomia loefgrenii","Yunck.",NA,"Gonçalves, EG; Jardim, JG; Sant'Ana, SC","813","2001","03","07","Southern America","Brasil","Bahia","Estrada São José da Vitória-Una, 11km após o entroncamento com a BR 101, depois mais 6,1km num ramal ao sul",NA,"Caule muito longo. Folha verde médio brilhante adaxial, nervuras discolores, mais claro abaxialmente.; Escandente; .",NA,NA,"Una","-39.300833","-15.166111",NA,NA,"Gonçalves, EG","2001","03","-39.300833","-15.166111","575","575"
