"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","identifiedBy","yearIdentified","typeStatus","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","407183","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","hatschbachii","Pavonia hatschbachii","Krapov.","G. G. Hatschbach","15411","1966","12","13","South America","Brazil","Paraná","Palmas","S. Agostinho","-51.9906","-26.4844","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=104186' target='other'> <mi>dwc_moreinfo</mi></a>","NY00407183","NY00407183_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:59:38-03","NBC","NL-BOTANY","WAG.1079389","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Pavonia","hatschbachii","Pavonia hatschbachii","Krapov.","Hatschbach GG",NA,"1966","12","13","Southern America","Brazil",NA,NA,"Parana, S. Agostinho. Mun. Palmas.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1079389 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1079389","NL-WAG1079389","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:59:38-03","NBC","NL-BOTANY","WAG.1931992","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Pavonia","hatschbachii","Pavonia hatschbachii","Krapov.","Hatschbach GG",NA,"1966","12","13","Southern America","Brazil",NA,NA,"Parana, S. Agostinho. Mun. Palmas.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1931992 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1931992","NL-WAG1931992","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:33:26-03","MBM","MBM","19746","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","hatschbachii","Pavonia hatschbachii","Krapov.","Hatschbach, G.","28137","1971","12","03","Southern America","Brazil","Paraná","Palmas","Horizonte","-51.9906005859375","-26.4841995239258",NA,"Arbusto 1,50m, flor rosada, base int. mais escura. Do brejo; Arbusto 1,50m, flor rosada, base interna mais escura.; Brejo.","MBM019746","MBM019746",NA,"Krapovickas, A.","1975","HOLOTYPE","46666","auto",NA,NA
"5","2020-12-21 16:33:26-03","MBM","MBM","24731","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","hatschbachii","Pavonia hatschbachii","Krapov.","Hatschbach, G.","30728",NA,NA,NA,"Southern America","Brazil","Paraná","Palmas","Morro da Baliza","-51.9906005859375","-26.4841995239258",NA,NA,"MBM024731","MBM024731",NA,"Krapovickas, A.",NA,NA,"46666","auto",NA,NA
"6","2020-12-21 16:33:26-03","MBM","MBM","34989","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","hatschbachii","Pavonia hatschbachii","Krapov.","Hatschbach, G.","15411","1966","12","13","Southern America","Brazil","Paraná","Palmas","Santo Agostinho","-51.9906005859375","-26.4841995239258",NA,"Arbusto 70 cm, flor rósea com nervuras de colorido mais intenso. Do brejo. rara; Arbusto 70cm, flor rósea com nervuras de colorido mais intenso.; Brejo.","MBM034989","MBM034989",NA,"Krapovickas, A.","1975","PARATYPE","46666","auto",NA,NA
"7","2015-09-04 19:29:02-03","MNHN","RECOLNAT_MNHN_P","P06606364","PreservedSpecimen",NA,NA,NA,"Malvaceae","Pavonia","hatschbachii","Pavonia hatschbachii","Krapov.","Hatschbach, G.",NA,"1996","12","13",NA,"Brasil","Paraná","Palmas","S. Agostinho.","-51.9906005859375","-26.4841995239258","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06606364' target='other'> <mi>dwc_moreinfo</mi></a>","P06606364","P06606364_01",NA,NA,NA,NA,"46666","auto","15411",NA
"8","2009-07-09 17:05:00-03","MO","MOBOT","2459216","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","hatschbachii","Pavonia hatschbachii","Krapov.","Gert G. Hatschbach","Hatschbach 28137",NA,NA,NA,"South America","Brazil","Paraná",NA,"Palmas. Horizonte","-52","-26.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2014-02-26 21:47:00-03","MO","MOBOT","2516513","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","hatschbachii","Pavonia hatschbachii","Krapov.","Diego Legrand","Legrand 2844",NA,NA,NA,"South America","Uruguay","Montevideo",NA,"Carrasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2008-07-01 03:33:00-03","MO","MOBOT","3464606","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","hatschbachii","Pavonia hatschbachii","Krapov.","Gert G. Hatschbach","Hatschbach 15411","1966","12","13","South America","Brazil","Paraná",NA,"S. Agostinho (mun. Palmas).",NA,NA,NA,NA,NA,NA,NA,"A. Krapovickas",NA,NA,NA,NA,NA,NA
