"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","557953","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","mansoi","Eugenia mansoi","O.Berg","D. S. Seigler; J. E. Ebinger","Comissao Geografica e Geologicade Sao Paulo","3913","1898","05","20","South America","Brazil","São Paulo","Oleo","Fazenda Novo Niagara. Beira Rio Pardo","-49.34","-22.9403","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479593' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557953","NY00557953_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2422763","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","mansoi","Eugenia mansoi","O.Berg",NA,"R. M. Harley","21347","1980","04","13","South America","Brazil","Bahia",NA,"Serral Geral de Caitité, ca 14 km SW of Caitité by road to Morrinhos, and ca 15 km W along this road from the junction with the Caitité-Brejinhos das Ametistas road. Alt. 950 m.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2673325' target='other'> <mi>dwc_moreinfo</mi></a>","NY02422763","NY02422763_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","561431","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","vincifolia","Eugenia vincifolia","O.Berg","M. Sobral","L. S. Figueiredo","144","1995","08","17","South America","Brazil","Pernambuco","Buíque","Estrada Buíque Catimbau.","-37.1542","-8.625","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479670' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561431","NY00561431_01","799","799",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1183798","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","vincifolia","Eugenia vincifolia","O.Berg","M. Sobral","R. M. Harley","19833","1977","03","22","South America","Brazil","Bahia","Rio de Contas","About 2 km N of the town of Vila do Rio de Contas in flood plain of the Rio Brumado","-41.83","-13.57","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1453643' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183798","NY01183798_01","980","980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","561430","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","vincifolia","Eugenia vincifolia","O.Berg","M. Sobral","L. S. Figueiredo","179","1995","09","21","South America","Brazil","Pernambuco","Buíque","Estrada Buíque Catimbau.","-37.1542","-8.625","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479669' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561430","NY00561430_01","799","799",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","561434","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","vincifolia","Eugenia vincifolia","O.Berg","M. Sobral","K. Andrade","133","1995","08","16","South America","Brazil","Pernambuco","Buíque","Catimbau.","-37.1542","-8.625","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479673' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561434","NY00561434_01","799","799",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","557902","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","vincifolia","Eugenia vincifolia","O.Berg","M. Sobral","S. A. Mori","9444","1978","03","04","South America","Brazil","Bahia",NA,"Rodovia BA-265, trecho Vitória da Conquista/Barra do Choça, a 9 km Leste da primeira. Regiao de Mata de Cipó",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479293' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557902","NY00557902_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-06 11:42:38-03","UFPI-MRV","HDELTA","4848","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","mansoi","Eugenia mansoi","O.Berg","Aguiar, D.S.","Silva, D.S.; Lemos, J.R.","2","2014","10","30",NA,"Brasil","Piauí","Parnaíba","Carpina","-41.7766990661621","-2.90472006797791",NA,NA,"HDELTA004848",NA,NA,NA,"2014","10","30","25571","auto",NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:14:34-03","ESALQ","ESA","108521","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","mansoi","Eugenia mansoi",NA,"Kuntz, J.","Harley, R.M.","19833.0","1977","03","22",NA,"Brasil","Bahia","Serra do Rio de Contas",NA,NA,NA,NA,NA,"ESA108521","ESA108521",NA,NA,"2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:14:34-03","ESALQ","ESA","108520","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","mansoi","Eugenia mansoi",NA,"Kuntz, J.","Harley, R.M.",NA,"1977","03","28",NA,"Brasil","Bahia","Serra do Rio de Contas",NA,NA,NA,NA,NA,"ESA108520","ESA108520",NA,NA,"2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
