"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","dayIdentified","fieldNumber","individualCount","sex"
"1","2020-09-23 10:42:25-03","E","E","283884","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","Howorth, R.","161","1999","06","23","W. Tropical South America","VE","herbarium specimen of unspecif","BGBASE:295570","<a href=http://data.rbge.org.uk/herb/E00283884 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00283884",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00957126","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","H. S. Irwin","2156","1958","11","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1086456' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957126","Magnoliophyta","Piperales","Vahl","E. F. Guimarães","Minas Gerais","Viçosa","4 km S of Viçosa on road to Uba.","-42.8817","-20.7542","NY00957126_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4134992","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","R. L. Liesner","21742","1987","03","07","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4457646' target='other'> <mi>dwc_moreinfo</mi></a>","NY04134992","Magnoliophyta","Piperales","Vahl",NA,"Amazonas","Atures","Along stream on plateau north of 1760 m unnamed peak, 9 km NW of settlement of Yutaje, 4 km W of Río Coro-Coro, W of Serranía de Yutaje","-66.17","5.68",NA,"1050","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","4135016","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","R. L. Liesner","20329","1986","04","25","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4457670' target='other'> <mi>dwc_moreinfo</mi></a>","NY04135016","Magnoliophyta","Piperales","Vahl",NA,"Bolívar","Piar","Amaruay-tepui. Slope up to base wall. South side about 1 km from SW corner of tepui","-62.25","5.9",NA,"550","810",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","4134879","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","J. Jaramillo","6738","1984","07","08","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4457533' target='other'> <mi>dwc_moreinfo</mi></a>","NY04134879","Magnoliophyta","Piperales","Vahl",NA,"Pichincha",NA,"Reserva Forestal Endesa, Río Silanche: Corporación Forestal Juan Manuel Durini:, km 113 de la carretera Quito-Pto. Quito, faldas occidentales, a 10 km al Norte de la carretera prinicipal","-79.03","0.08","NY04134879_01","650","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4134960","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","H. S. Irwin","54610","1963","08","09","South America","Suriname","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4457614' target='other'> <mi>dwc_moreinfo</mi></a>","NY04134960","Magnoliophyta","Piperales","Vahl",NA,NA,NA,"Wilhelmina Gebergte. In forested hills, 2 km south of Juliana Top, 13 km north of Lucie Rivier.",NA,NA,NA,"350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","04135046","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale santa-martanum","R. L. Liesner","8233","1979","06","27","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4457708' target='other'> <mi>dwc_moreinfo</mi></a>","NY04135046","Magnoliophyta","Piperales","(C.DC.) Trel. & Yunck.",NA,NA,NA,"Disputed area between Estado Lara and Estado Falcón. Cerro Cerrón (western part)",NA,NA,NA,"1800","2000","santa-martanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00957124","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","H. S. Irwin","12293","1966","02","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1086451' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957124","Magnoliophyta","Piperales","Vahl","R. Callejas Posada","Distrito Federal","Brasília","Fazenda Vargem Bonita, ca. 10 km S. of Brasília","-47.9167","-15.87367","NY00957124_01","975","975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00934764","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","M. Carvalho-Silva","23","2000","09","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=952318' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934764","Magnoliophyta","Piperales","Vahl","M. Carvalho-Silva","Distrito Federal","Brasília","Próximo a Sementes Básicas, Fazenda Sucupira. Córrego do Açudinho","-47.9294","-15.7797","NY00934764_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","192037","PreservedSpecimen","Plantae","Piperaceae","Piper","aequale","Piper aequale","B. C. Bennett","3359","1988","08","28","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=98708' target='other'> <mi>dwc_moreinfo</mi></a>","NY00192037","Magnoliophyta","Piperales","Vahl",NA,"Morona-Santiago",NA,"Centro Shuar Yukutais, 10km S Sucua, Rio Upano, along road near school","-78.15","-2.52","NY00192037_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
