"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","geoFlag","yearIdentified","phylum","monthIdentified","continentOcean","class","order","imagecode","infraspecificEpithet","fieldNumber","preparationType","individualCount","dayIdentified","verbatimLongitude","verbatimLatitude"
"1","2020-11-13 09:19:18-03","UFRJ","RFA","8338","PreservedSpecimen","Plantae","Calyceraceae","Boopis","bupleuroides","Boopis bupleuroides","(Less.) C.A. Müll.","G.G. Hatschbach","G.G. Hatschbach","11758","1964","10","31","Brasil","Paraná","Castro","Rio Iapó.","-50.0119018554688","-24.7910995483398","50779","1000","1000","Erva flor alva.","RFA27497","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-13 09:19:18-03","UFRJ","RFA","12909","PreservedSpecimen","Plantae","Calyceraceae","Boopis","bupleuroides","Boopis bupleuroides","(Less.) C.A. Müll.","G.G. Hatschbach","G.G. Hatschbach","14289","1960","11","17","Brasil","Paraná","Piraquara","Borda do Campo.","-49.0633010864258","-25.4416999816895","12577",NA,NA,"Flor alva","RFA11954","auto","1960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:36:25-03","EAO","IAN","69345","PreservedSpecimen","Plantae","Calyceraceae","Boopis","bupleuroides","Boopis bupleuroides","(Less.) C.A.Müll.","Andrade-Lima, D de","Black, GA; Boelcke, O","11512","1951","03","14","Argentina",NA,NA,"Entre La Plata e S. Vicente de Tuyu, várzea.",NA,NA,NA,NA,NA,"Erva pequena, no meio de Spartina; flor amarela.","IAN069345",NA,"1964","Dicotiledônea","05","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:47:02-03","NBC","NL-BOTANY","U.1180432","PreservedSpecimen","Plantae","Calyceraceae","Boopis","bupleuroides","Boopis bupleuroides","C.A.Mull.",NA,"Hatschbach GG; Hatschbach M; Coczicki C",NA,"1991","11","27","Brazil",NA,NA,"Rio Potinga ( mun. Sao Mateus do Sul ) Parana.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1180432 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1180432",NA,NA,NA,NA,"Southern America","Magnoliopsidae","Asterales","NL-U1180432",NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:47:02-03","NBC","NL-BOTANY","U.1180439","PreservedSpecimen","Plantae","Calyceraceae","Boopis","bupleuroides","Boopis bupleuroides","C.A.Mull.",NA,"Herter WG",NA,NA,NA,NA,"Uruguay",NA,NA,"San Jose. Estanoia pascua.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1180439 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1180439",NA,NA,NA,NA,"Southern America","Magnoliopsidae","Asterales","NL-U1180439",NA,NA,NA,NA,NA,NA,NA
"6","2019-11-21 14:33:08-03","UFJF","CESJ","54311","PreservedSpecimen","Plantae","Calyceraceae","Boopis","bupleuroides","Boopis bupleuroides","(Less.) C.A. Müll.",NA,"J.M. Silva; E. Barbosa; C.B. Poliquesi","4496","2005","11","10","Brasil","Paraná","Palmeira","Capela Nossa Senhora das Pedras","-50.0064010620117","-25.4293994903564","35166",NA,NA,"Flor alvacenta. Campo limpo, seco.","CESJ054311","auto",NA,"Angiosperma",NA,"América do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-16 17:51:15-03","UCS","HUCS","7750","PreservedSpecimen","Plantae","Calyceraceae","Boopis","bupleuroides","Boopis bupleuroides","(Less.) C.A. Muell.","Hatschbach, G.;","Hatschbach, G.;","11758","1964","10","31","Brasil","Paraná","Castro","Rio Iapó","-50.0119018554688","-24.7910995483398","50779",NA,NA,"erva de flor alva; nas margens do rio",NA,"auto",NA,"Angiospermae",NA,NA,NA,"Asterales",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:19:50-03","MBM","MBM","42077","PreservedSpecimen","Plantae","Calyceraceae","Boopis","bupleuroides","Boopis bupleuroides","(Less.) C.A. Muell.","Hatschbach, G.","Hatschbach, G.","11758","1964","10","31","Brazil","Paraná","Castro","Rio Iapó","-50.0119018554688","-24.7910995483398","50779",NA,NA,NA,"MBM042077","auto",NA,NA,NA,"Southern America",NA,NA,"MBM042077",NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:19:50-03","MBM","MBM","197162","PreservedSpecimen","Plantae","Calyceraceae","Boopis","bupleuroides","Boopis bupleuroides","(Less.) C.A. Muell.","Hatschbach, G.","Ziller, S.R.; Kuniyoshi, Y.S.; Kuniyoshi, Y.S.","1332","1996","03","26","Brazil","Paraná","Pinhão","Rio Jordão","-51.6596984863281","-25.6956005096436","37408",NA,NA,NA,"MBM197162","auto",NA,NA,NA,"Southern America",NA,NA,"MBM197162",NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:19:50-03","MBM","MBM","61065","PreservedSpecimen","Plantae","Calyceraceae","Boopis","bupleuroides","Boopis bupleuroides","(Less.) C.A. Muell.","Andrade, A.","Hatschbach, G.","7474","1960","11","17","Brazil","Paraná","Quatro Barras","Borda do Campo","-49.0769004821777","-25.3656005859375","17116",NA,NA,NA,"MBM061065","auto",NA,NA,NA,"Southern America",NA,NA,"MBM061065",NA,NA,NA,NA,NA,NA,NA
