"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","locality","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","recordNumber","day","imagecode","coordinatePrecision","geoFlag","class","individualCount","fieldNumber","typeStatus","relatedCatalogItem"
"1","2021-04-05 14:25:50-03","UNESC","CRI","13458","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crusgalli","Echinochloa crusgalli","(L.) P.Beauv.","Renato Colares","2018","05","30","Renato Colares; Filipe Patel","2017","01","Brasil","Santa Catarina","Criciúma","-49.423889","-28.649167","49º25'26''W","28º38'57''S","66","66","Habitat: Terrestre Habito: Herbácea","CRI012065",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:50-03","UNESC","CRI","13475","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crusgalli","Echinochloa crusgalli","(L.) P.Beauv.","Renato Colares","2018","05","29","Renato Colares","2018","03","Brasil","Santa Catarina","Treviso","-49.4475","-28.541389","49º26'51''W","28º32'29''S","161","161","Habitat: Terrestre Habito: Herbácea","CRI012082","Campo Morozini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:39:33-03","E","E","514164","PreservedSpecimen","Plantae","Gramineae","Echinochloa","crusgalli","Echinochloa crusgalli",NA,NA,NA,NA,NA,"Murray (Mrs)",NA,NA,"CL",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00514164 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514164",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:535296",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-28 15:27:00-03","NY","NYBG","763814","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crus-galli","Echinochloa crus-galli mitis","(Pursh) Peterm.","F. O. Zuloaga; O. Morrone",NA,NA,NA,"O. Morrone","1996","02","Argentina","Misiones","Guaraní","-54.25","-26.7",NA,NA,"420","420","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=156931' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763814","Ruta Nac. 14, km 315, camino de San Vicente a San Pedro, desvio al obraje de M. Carré, 6 km de la R-14","South America","sheet",NA,"Magnoliophyta","Poales","mitis","734","13",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","763783","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crus-galli","Echinochloa crus-galli","(L.) P.Beauv.","C. Kozera; S. M. Silva",NA,NA,NA,"C. Kozera","1997","01","Brazil","Paraná","Curitiba","-49.22","-25.37",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=121709' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763783","Parque Barigui","South America","sheet",NA,"Magnoliophyta","Poales",NA,"452","06","NY00763783_01",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","764052","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crus-galli","Echinochloa crus-galli frumentacea","(Link) W.Wight","J. R. Swallen",NA,NA,NA,"J. da Costa Sacco","1955","05","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=692557' target='other'> <mi>dwc_moreinfo</mi></a>","NY00764052","I.A.S. - Pelotas","South America","sheet",NA,"Magnoliophyta","Poales","frumentacea","389","04","NY00764052_01",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","764053","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crus-galli","Echinochloa crus-galli frumentacea","(Link) W.Wight",NA,NA,NA,NA,"A. Gehrt","1933","09","Brazil","São Paulo","Sao Paulo","-46.63","-23.5403",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=692558' target='other'> <mi>dwc_moreinfo</mi></a>","NY00764053","Capital","South America","sheet",NA,"Magnoliophyta","Poales","frumentacea","s.n.","22","NY00764053_01",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00862258","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crus-galli","Echinochloa crus-galli","(L.) P.Beauv.",NA,NA,NA,NA,"A. F. M. Glaziou",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=940758' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862258","Locality illegible.","South America","sheet",NA,"Magnoliophyta","Poales",NA,"14394",NA,"NY00862258_01",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00862283","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crus-galli","Echinochloa crus-galli","(L.) P.Beauv.",NA,NA,NA,NA,"W. D. Clayton","1965","02","Brazil","Distrito Federal","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=940763' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862283","Universidade de Brasília.","South America","sheet",NA,"Magnoliophyta","Poales",NA,"4830","24","NY00862283_01",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00862282","PreservedSpecimen","Plantae","Poaceae","Echinochloa","crus-galli","Echinochloa crus-galli","(L.) P.Beauv.",NA,NA,NA,NA,"J. E. B. Warming",NA,NA,"Brazil","Minas Gerais","Lagoa Santa","-43.8894","-19.6272",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=940753' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862282","Ad Lagoa Santa","South America","sheet",NA,"Magnoliophyta","Poales",NA,"s.n.",NA,"NY00862282_01",NA,NA,NA,NA,NA,NA,NA
