"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","county","coordinatePrecision","geoFlag","class","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","01271391","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Talisia","douradensis","Talisia douradensis","Acev.-Rodr.","P. Acevedo-Rodríguez","N. T. da Silva","1294","1968","10","23","South America","Brazil","Pará","Jari, estrada entre Planalto A e Braço. Mata de terra firme","-52.6008224","-0.8809315","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1499660' target='other'> <mi>dwc_moreinfo</mi></a>","NY01271391","NY01271391_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","431873","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Talisia","douradensis","Talisia douradensis","Acev.-Rodr.",NA,"N. T. da Silva","1437","1968","11","22","South America","Brazil","Pará","Rio Jarí, Monte Dourado, Planalto B, Pilão.","-52.6008224","-0.8809315","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738565' target='other'> <mi>dwc_moreinfo</mi></a>","NY00431873","NY00431873_01","holotype",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:49:00-03","EAO","IAN","127813","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapindaceae","Talisia","douradensis","Talisia douradensis","Acev.-Rodr.","Acevedo-Rodríguez, P","Silva, NT da","1437","1968","11","22","Southern America","Brasil","Pará","Monte Dourado, Rio Jarí, Planalto B, Pilão. Mata de terra firme.","-52.5816993713379","-1.52332997322083",NA,"Árvore de 10m; 10cm diam., flor branca.","IAN127813",NA,"isotipo","2000","07","Almeirim","564600","auto",NA,NA
"4","2019-01-23 11:44:18-02","F","FMNH-SEEDPLANTS","V0093141F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapindaceae","Talisia","douradensis","Talisia douradensis",NA,"RRC ID Flag","N. T. da Silva","1437","1968","11","22","South America","Brazil","Pará","Rio Jari, Monte Dourado, Planalto b, Pilao",NA,NA,NA,NA,"V0093141F","V0093141F_01 V0093141F_02","Isotype",NA,NA,NA,NA,NA,"Dicotyledoneae","1437"
"5","2015-04-02 15:15:36-03","F","FMNH-SEEDPLANTS","V0302177F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapindaceae","Talisia","douradensis","Talisia douradensis",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,"V0302177F","V0302177F_01",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
