"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","order","identifiedBy","yearIdentified","typeStatus","barcode","imagecode","fieldNumber","preparationType","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","individualCount"
"1","2019-10-09 11:11:22-03","UFBA","ALCB","108316","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Symphyopappus","uncinatus","Symphyopappus uncinatus","H.Rob.","Quaresma, AS; Roque, N","430","2012","09","22","Southern America","Brasil","Minas Gerais","Gouveia","Barão de Guaicuy. Cachoeira","-43.7407989501953","-18.4543991088867","37970","beira d'agua.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0028724","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Symphyopappus","uncinatus","Symphyopappus uncinatus","H.Rob.","G. Hatschbach; R. Spichiger, A. C. Cervi, E. Barbosa","69675","1999","10","24",NA,"Brazil","Minas Gerais",NA,"Barão do Guaçuí (Mun. Diamantina).","-43.6","-18.25",NA,"Arbusto, 1.50 m, capítulo alvo.",NA,"Asterales","H. Robinson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-16 08:38:39-03","UTFPR","HCF","20285","S","Plantae",NA,"Asteraceae","Symphyopappus","uncinatus","Symphyopappus uncinatus","H. Rob.","E. Barboza","3005","2010","11","16",NA,"Brasil","MG","Gouveia","Barão de Guaicuhy, Cachoeira","-43.7407989501953","-18.4543991088867","37970","arbusto, 1,60 m, capítulo lilás. Cerrado.","auto",NA,"E.K.O. Hattori","2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:17:27-03","MBM","MBM","242477","PreservedSpecimen","Plantae",NA,"Asteraceae","Symphyopappus","uncinatus","Symphyopappus uncinatus","H. Rob.","Hatschbach, G.; Spichiger, R.; Cervi, A.C.; Barboza, E.; Spichiger, R.; Cervi, A.C.; Barboza, E.","69675","1999","10","24","Southern America","Brazil","Minas Gerais","Diamantina","Barão de Guaiçuí","-43.6002998352051","-18.2493991851807","101169","Arbusto, 1,50, capítulo alvo. Cerrado, margem do córrego; Arbusto, 1,50m, capítulo alvo.; Cerrado, margem do córrego.","auto",NA,"Robinson, H.",NA,"HOLOTYPE","MBM242477","MBM242477",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:17:27-03","MBM","MBM","19712","PreservedSpecimen","Plantae",NA,"Asteraceae","Symphyopappus","uncinatus","Symphyopappus uncinatus","H. Rob.","Hatschbach, G.","27839","1971","11","13","Southern America","Brazil","Minas Gerais","Gouveia","Ribeirão do Tigre","-43.7407989501953","-18.4543991088867","37970",NA,"auto",NA,"Ribas, O.S.",NA,NA,"MBM019712","MBM019712",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:17:27-03","MBM","MBM","262745","PreservedSpecimen","Plantae",NA,"Asteraceae","Symphyopappus","uncinatus","Symphyopappus uncinatus","H. Rob.","Harley, R.M.; et al.; et al.","25065","1988","10","15","Southern America","Brazil","Minas Gerais","Grão Mogol","Estrada para Francisco Sá","-42.8897018432617","-16.5594005584717","67219",NA,"auto",NA,"Ribas, O.S.",NA,NA,"MBM262745","MBM262745",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:17:25-03","MBM","MBM","105010","PreservedSpecimen","Plantae",NA,"Asteraceae","Symphyopappus","uncinatus","Symphyopappus uncinatus","H. Rob.","Hatschbach, G.; Zelma, F.J.; Zelma, F.J.","50255","1985","11","27","Southern America","Brazil","Minas Gerais","Presidente Kubitschek","Trinta Reis","-43.562198638916","-18.6144008636475","13347","Arbusto, 1,50m, capítulos rosados. Campo rupestre, margens de córrego; Arbusto, 1,50m, capítulos rosados.; Campo rupestre, margens de córrego.","auto",NA,"Robinson, H.",NA,"PARATYPE","MBM105010","MBM105010",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-09-04 05:16:00-03","MNHN","RECOLNAT_MNHN_P","P02670521","PreservedSpecimen",NA,NA,"Asteraceae","Symphyopappus","uncinatus","Symphyopappus uncinatus","H.Rob.","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Province de Minas Geraes",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02670521' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Hattori",NA,NA,"P02670521","P02670521_01","Voyage d'Auguste de Saint-Hilaire, de 1816 à 1821/B2 2130 bis","hb",NA,NA,NA,NA,NA,NA,NA
"9","2015-09-04 05:16:00-03","MNHN","RECOLNAT_MNHN_P","P02670523","PreservedSpecimen",NA,NA,"Asteraceae","Symphyopappus","uncinatus","Symphyopappus uncinatus","H.Rob.","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Province de Minas Geraes",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02670523' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Hattori",NA,NA,"P02670523","P02670523_01","Voyage d'Auguste de Saint-Hilaire, de 1816 à 1821/B2 2130 bis","hb",NA,NA,NA,NA,NA,NA,NA
"10","2020-12-11 11:33:35-03","UFMG","BHCB","61013","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Symphyopappus","uncinatus","Symphyopappus uncinatus","H.Rob.","Harley, RM; Giulietti, AM; Stannard, BL; Hind, DJN; Kameyama, C; Prado, J; Rudall, P; Simão","25065","1988","10","15","Southern America","Brasil","Minas Gerais","Grão Mogol","Ca. 7km direção sul da cidade, na estrada para Francisco Sá. Beira do rio","-42.933333","-16.616667",NA,"Projeto do Campos Rupestres do Brasil. Campo rupestre/ cerrado; afloramento de arenito e areia branca; beira do rio.; Campo rupestre / cerrado. Afloramento de arenito e areia branca",NA,NA,NA,"2010",NA,"BHCB019485",NA,NA,NA,"05","-42.933333","-16.616667","700","850",NA,NA
