"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","county","typeStatus","infraspecificEpithet","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","eventTime","fieldNumber","individualCount","sex"
"1","2020-09-23 10:41:47-03","E","E","83689","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","pubescens","Campomanesia pubescens","Proenca, C., Ratter, J.A., Fonseca Filho, J.A.ET., Bridgewater, S., Simon, M.F.","1518","1996","09","18","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:92583","<a href=http://data.rbge.org.uk/herb/E00083689 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083689",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:47-03","E","E","206986","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","pubescens","Campomanesia pubescens","Munhoz, C., Farais, R., Cardoso Rosa, L.O., de Carvalho, V.M., Potzernheim, M.L. & Milhomens Fonseca, L.","1981","1998","09","06","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217750","<a href=http://data.rbge.org.uk/herb/E00206986 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00206986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00906650","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","L. R. Landrum","4246","1982","01","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982306' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906650","Magnoliophyta","Myrtales","(Cambess.) O.Berg","L. R. Landrum","Minas Gerais","Serra do Cipó, between Veu da Novia and Alto do Palacio","-43.67","-19.25","1000","1400","NY00906650_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","579552","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","G. G. Hatschbach","45669","1982","10","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593855' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579552","Magnoliophyta","Myrtales","(Cambess.) O.Berg","L. R. Landrum","Paraná","Fda. Sta. Rita","-50.0064","-25.4294",NA,NA,"NY00579552_01","Palmeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00915515","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","A. E. Brina","s.n.","1995","09",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1196989' target='other'> <mi>dwc_moreinfo</mi></a>","NY00915515","Magnoliophyta","Myrtales","(Cambess.) O.Berg","M. L. Kawasaki","Minas Gerais","APA Carste de Lagoa Santa, Lagoa Santa e Matozinho",NA,NA,NA,NA,"NY00915515_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","567195","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","Biernaski","s.n.","1989","10","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593838' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567195","Magnoliophyta","Myrtales","(Cambess.) O.Berg",NA,"Paraná","Centro Politécnico, próximo ao restaurante universitário.","-49.2731","-25.4281",NA,NA,"NY00567195_01","Curitiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","567238","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","R. M. Harley","25006","1988","10","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593841' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567238","Magnoliophyta","Myrtales","(Cambess.) O.Berg","M. L. Kawasaki","Minas Gerais","Serra do Calixto, 11 km do Francisco Sá, perto da estrada para Grao Mogol.","-43.4","-16.48","1050","1050","NY00567238_01","Grão Mogol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","818300","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","H. S. Irwin","18086","1966","07","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=860085' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818300","Magnoliophyta","Myrtales","(Cambess.) O.Berg","L. R. Landrum","Distrito Federal","Rio Torto, ca. 10 km. N. of Brasília.","-47.9294","-15.7797","1000","1000","NY00818300_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","579563","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","R. Reitz","17605","1965","12","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593837' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579563","Magnoliophyta","Myrtales","(Cambess.) O.Berg","L. R. Landrum","Paraná","8 km ao oeste de Guarapuava, Guarapuava.","-51.5632738","-25.394435","1100","1100","NY00579563_01","Guarapuava",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00906622","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","H. S. Irwin","7434","1964","10","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982283' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906622","Magnoliophyta","Myrtales","(Cambess.) O.Berg","L. R. Landrum","Goiás","Ca. 60 km. S. of Caiapônia on rd. to Jataí. Serra do Caiapó.","-51.75","-17.4","800","1000","NY00906622_01","Jataí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
