"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","infraspecificEpithet","yearIdentified","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","dayIdentified","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","02711004","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Wolffia","brasiliensis","Wolffia brasiliensis","Wedd.","H. K. D. Eggert","s.n.","1891","07","28","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2997473' target='other'> <mi>dwc_moreinfo</mi></a>","NY02711004","NY02711004_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","439592","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Wolffia","papulifera","Wolffia papulifera","C.H.Thomps.","G. G. Hatschbach","31077","1972","12","31","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=274025' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439592","NY00439592_01","E. Landolt","Paraná","Sao José dos Pinhais","Rio Guamirim","-49.2064","-25.5347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:52:33-03","EAO","IAN","92694","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Lemnaceae","Wolffia","brasiliensis","Wolffia brasiliensis columbian","Wedd.","Wheeler, LC","4744","1939","10","05",NA,NA,NA,NA,"IAN092694",NA,"Pott, VJ",NA,NA,"Very abundant floating on sunny pond with. Gordon Pond, Columbia, Boone Cpunty, Missoure.",NA,NA,"columbian","1993","03","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-02 16:28:34-03","CPAN-UFMS","COR","5882","PreservedSpecimen","Plantae",NA,NA,"Araceae","Wolffia","brasiliensis","Wolffia brasiliensis","Wedd.","Pott, V. J.; Foster, R. & Hemfill, A.","3754","1998","08","31",NA,"Brasil",NA,"Erva aquática flutuante livre; flor branca Habito: Erva aquática flutuante livre",NA,NA,"Pott, V. J.","Mato Grosso do Sul","Aquidauana","Pantanal; sub-região de Aquidauana; fazenda Tupanciretã; lagoa da sede","-56.408056","-19.48",NA,NA,NA,NA,NA,"56º24'29''W","19º28'48''S",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-26 18:07:05-03","CPAN-UFMS","COR","8253","PreservedSpecimen","Plantae",NA,NA,"Araceae","Wolffia","brasiliensis","Wolffia brasiliensis","Wedd.","A. Pott","6451","1993","06","10",NA,"Brasil",NA,"Com Pistia stratiotes, Sesbania virgata, Ceratophyllum echinatum, Limnobium laevigatum associada a Lemna aequinoctialis, Wolffia columbiana e Wolffiella welwitschii.; Com Flor: Estéril; Importância Econômica: Levantamento florístico",NA,NA,"V. J. Pott 10/06/93","Mato Grosso do Sul","Corumbá","Fazenda Firme, Nhecolandia, Pantanal - Estrada MS- 228. Pequena Lagoa rasa ( 0-50 cm prof.); Arenoso fértil; Plano deprimido.","-57.6533012390137","-19.0091991424561",NA,NA,NA,"120","120",NA,NA,"295160","auto",NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:43:25-03","NBC","NL-BOTANY","L 0041794","PreservedSpecimen","Plantae",NA,"Alismatales","Lemnaceae","Wolffia","brasiliensis","Wolffia brasiliensis","Wedd.","Weddell HA",NA,NA,NA,NA,"Southern America","Brazil",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200041794 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0041794","NL-L0041794","Landolt E",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","isotype","240541",NA,NA,NA
"7","2020-02-08 08:43:25-03","NBC","NL-BOTANY","L.1423713","PreservedSpecimen","Plantae",NA,"Alismatales","Lemnaceae","Wolffia","brasiliensis","Wolffia brasiliensis","Wedd.","Pedersen TM",NA,"1979","03","14","Southern America","Argentina",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1423713 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1423713","NL-L1423713",NA,NA,NA,"Dep. Concepción, Prov. Corrientes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"8","2020-02-08 08:43:25-03","NBC","NL-BOTANY","U.1098037","PreservedSpecimen","Plantae",NA,"Alismatales","Lemnaceae","Wolffia","brasiliensis","Wolffia brasiliensis","Wedd.","Petersen TM",NA,"1955","01","09","Southern America","Argentina",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1098037 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1098037","NL-U1098037",NA,NA,NA,"Estancia,,Santa Teresa', Dep. Mburucuyá, Prov. Corrientes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"9","2021-03-31 13:35:49-03","MN","R","217509","PreservedSpecimen","Plantae",NA,NA,"Araceae","Wolffia","brasiliensis","Wolffia brasiliensis","Wedd.","Bove, C.P. 1638; Costa, W.; Costa, B.B. & Donza, A.",NA,"2006","01","25",NA,"Brasil","Álcool 70%",NA,NA,NA,NA,"Rio de Janeiro","Barra de São João",NA,NA,"-22.576194",NA,NA,NA,NA,NA,"41°59'9,5O","22°34'34,3S",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-14 15:23:13-03","MN","R","183900","PreservedSpecimen","Plantae",NA,NA,"Araceae","Wolffia","brasiliensis","Wolffia brasiliensis","Wedd.","Bueno, N.C. 516; Salis, S.M.",NA,"1993","06","05",NA,"Brasil",NA,NA,NA,NA,"Pott, V.J.","Mato Grosso do Sul","Corumbá","Fazenda Mhumirim","-56.65","-18.983333",NA,"1993","06","90","90","56°39'W","18°59'S",NA,NA,NA,NA,NA,"06",NA,NA
