"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","class","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","627849","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Aulonemia","ulei","Aulonemia ulei","(Hack.) McClure & L.B.Sm.","E. J. Judziewicz","R. Reitz","8120","1959","01","12","South America","Brazil","Santa Catarina","Sao Joaquim","Serra do Oratório, Bom Jardim, S. Joaquim","-49.9317","-28.2942","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=769148' target='other'> <mi>dwc_moreinfo</mi></a>","NY00627849",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","628810","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Cambajuva","ulei","Cambajuva ulei","(Hack.) P.L.Viana, L.G.Clark & Filg.","L. G. Clark","X. Londoño","704","1992","02","25","South America","Brazil","Santa Catarina",NA,"Vía Urubicí-Grao Pará, en el morro da Igreja",NA,NA,"1660","1660","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=655299' target='other'> <mi>dwc_moreinfo</mi></a>","NY00628810","NY00628810_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","628809","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Cambajuva","ulei","Cambajuva ulei","(Hack.) P.L.Viana, L.G.Clark & Filg.","L. G. Clark","L. G. Clark","869B","1991","03","05","South America","Brazil","Santa Catarina",NA,"Along road to Morro da Igreja, about 16.7 km from the main road between Urubici and Tuberao, above Fazenda Caiambora, Serra Geral","-49.48","-28.12","1730","1730","sheet","Treated with 70% EtOH <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=655298' target='other'> <mi>dwc_moreinfo</mi></a>","NY00628809","NY00628809_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","628811","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Cambajuva","ulei","Cambajuva ulei","(Hack.) P.L.Viana, L.G.Clark & Filg.","L. G. Clark","L. G. Clark","1048","1992","02","25","South America","Brazil","Santa Catarina","Urubici","Morro da Igreja","-49.48","-28.12","1680","1680","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=655300' target='other'> <mi>dwc_moreinfo</mi></a>","NY00628811","NY00628811_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:53:00-03","EAO","IAN","64812","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Arundinaria","ulei","Arundinaria ulei","Hack.",NA,"Ule, EHG","1955","1891","01",NA,"Southern America","Brasil","Santa Catarina",NA,"Cambajuba, S. Geral.",NA,NA,NA,NA,NA,"JUDZIEWICZ (2000:23) citou: T-Protol.: Brasilia, provincia S. Catharinae, ad fluv. Rio das Contas montium Sra Geral, 1891, Ule 1955. T-Specim.: 1 of 1. Brazil: Santa Catarina, 1891, E. Ule 1955 [HT: W; IT: US-2808997].","IAN064812",NA,"isotipo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:16:15-03","NBC","NL-BOTANY","L.1217135","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Arundinaria","ulei","Arundinaria ulei","Hack.",NA,"Reitz R; Klein RM",NA,"1959","01","12","Southern America","Brazil",NA,NA,"Plants de Santa Catarina. Serra do Oratório, Bom Jardim, S. Joaquin. Beira regato.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1217135 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1217135","NL-L1217135",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:16:15-03","NBC","NL-BOTANY","U.1493127","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Aulonemia","ulei","Aulonemia ulei","(Hack.) McClure & L.B.Sm.","Clark LG","Rambo B",NA,"1951","02","21","Southern America","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1493127 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1493127","NL-U1493127",NA,"Magnoliopsidae","2001","01","01","U 0137268",NA,NA,NA,NA,NA,NA
"8","2019-08-27 13:25:45-03","IAP","PACA-AGP","60084.1","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Gramineae","Arundinaria","ulei","Arundinaria ulei","Hack.","Emrich-Rambo","Rambo, B.",NA,"1957","01","22",NA,"Brasil","SC",NA,"Campo dos Padres",NA,NA,NA,NA,NA,"SEM MATERIAL Habitat: in sphagneto Fenofase: flor","PACA060084-1",NA,NA,"Liliatae","1957","05","01",NA,NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:25:45-03","IAP","PACA-AGP","35197","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Gramineae","Aulonemia","ulei","Aulonemia ulei","(Hack.) McClude & L.B. Sm.","Schmitt","Rambo, B.",NA,"1947","02","14",NA,"Brasil","RS","Bom Jesus","Serra da Rocinha","-50.4166984558105","-28.6678009033203",NA,NA,NA,"Habitat: in sphagneto Fenofase: fruto","PACA035197",NA,NA,"Liliatae","2008","02","08",NA,"55856","auto",NA,NA,NA,NA
"10","2019-08-27 13:25:45-03","IAP","PACA-AGP","32475","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Gramineae","Aulonemia","ulei","Aulonemia ulei","(Hack.) McClude & L.B. Sm.","R. Schmidt","Rambo, B.",NA,"1946","02","28",NA,"Brasil","RS","Bom Jesus","Serra da Rocinha","-50.4166984558105","-28.6678009033203",NA,NA,NA,"Habitat: in sphagneto Fenofase: sterilis","PACA032475",NA,NA,"Liliatae","2008","02","08",NA,"55856","auto",NA,NA,NA,NA
