"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","378627","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","nitida","Licania nitida","Hook.f.","G. T. Prance","P. E. Gibbs","3524","1976","11","20","South America","Brazil","São Paulo","Sao Sebastiao - Bertioga","-45.71323","-23.771129","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=396070' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378627","NY00378627_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","378622","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","nitida","Licania nitida","Hook.f.","D. C. Zappi; E. Lucas","W. Ganev","2718","1993","12","27","South America","Brazil","Bahia","Palmeira, próximo a cachoeira da Michilana","-41.78","-13.4","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=396064' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378622","NY00378622_01","Rio de Contas","850","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","378624","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","nitida","Licania nitida","Hook.f.","G. T. Prance","W. J. Burchell","3235","1826","10","18","South America","Brazil","São Paulo","Outeirinhos (a small elevation of land on the left bank of the River Iguape in front of Morro Jupuvura, translated from Dicionario Geografico do Estado de Sao Paulo by Gastao Cesar Bierrenbach Lima, Sao Paulo, 1943) to Santos","-47.62","-24.67","sheet","Catalogus Geographicus Plantarum Brasiliae Tropicae <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=396067' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378624","NY00378624_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","378623","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","nitida","Licania nitida","Hook.f.","E. Lucas","W. Ganev","2231","1993","09","12","South America","Brazil","Bahia","Rio da Agua Suja (volta) Estiva Mata ciliar","-41.72","-13.32","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=396065' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378623","NY00378623_01","Abaíra","750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","378625","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","nitida","Licania nitida","Hook.f.","G. T. Prance","J. R. Pirani","3496","1994","12","08","South America","Brazil","Espírito Santo","Ca., 3 km S do Morro do Aghá, na rodovia ES-060","-40.77","-20.87","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=396066' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378625","NY00378625_01","Piúma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","378626","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","nitida","Licania nitida","Hook.f.","G. T. Prance","P. E. Gibbs","3524","1976","11","20","South America","Brazil","São Paulo","Sao Sebastiao - Bertioga","-45.71323","-23.771129","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=396069' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378626","NY00378626_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00835963","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","nitida","Licania nitida","Hook.f.","G. T. Prance","E. P. Heringer","2459","1979","08","09","South America","Brazil","Goiás","Estrada Alto Paraiso, Terezina",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=919570' target='other'> <mi>dwc_moreinfo</mi></a>","NY00835963","NY00835963_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00835964","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","nitida","Licania nitida","Hook.f.","G. T. Prance","R. M. Harley","24911","1988","10","12","South America","Brazil","Minas Gerais","Serra do Cabral, 7 km da cidade","-44.25","-17.88","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=919576' target='other'> <mi>dwc_moreinfo</mi></a>","NY00835964","NY00835964_01","Buenópolis","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","378621","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","nitida","Licania nitida","Hook.f.","G. T. Prance","H. S. Irwin","27405","1970","03","11","South America","Brazil","Minas Gerais","Serra do Cabral. Ca. 2 km N. of Joaquim Felício","-44.1719","-17.7575","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=396068' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378621","NY00378621_01","Joaquim Felício","650","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","428497","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","nitida","Licania nitida","Hook.f.",NA,"J. S. Blanchet","3290","1841",NA,NA,"South America","Brazil","Bahia","Jacobina","-40.5181","-11.1808","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=396071' target='other'> <mi>dwc_moreinfo</mi></a>","NY00428497","NY00428497_01","Jacobina",NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
