"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","county","coordinatePrecision","geoFlag","individualCount","verbatimLongitude","verbatimLatitude","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","1005339","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","microcarpa","Psychotria microcarpa","Müll.Arg.","J. H. Kirkbride Jr.","H. S. Irwin","20176","1968","02","15","South America","Brazil","Minas Gerais","Serra do Cipó, ca. km 120 (ca. 145km N of Belo Horizonte).","-43.4","-18.87","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1083960' target='other'> <mi>dwc_moreinfo</mi></a>","NY01005339","NY01005339_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1005340","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","microcarpa","Psychotria microcarpa","Müll.Arg.","J. H. Kirkbride Jr.","W. R. Anderson","36102","1972","02","17","South America","Brazil","Minas Gerais","Serra do Espinhaço, Serra do Cipó","-43.565347","-19.391335","1200","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1083966' target='other'> <mi>dwc_moreinfo</mi></a>","NY01005340","NY01005340_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:27:16-03","NBC","NL-BOTANY","WAG.1292231","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Psychotria","microcarpa","Psychotria microcarpa","Müll.Arg.",NA,"Anderson WR; Stieber M; Kirkbride Jr JH",NA,"1972","02","17","Southern America","Brazil",NA,"Estado de Minas Gerais. Serra do Espinhaço. Serra do Cipo.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1292231 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1292231","NL-WAG1292231","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:18:47-03","ESALQ","ESA","11583","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Psychotria","microcarpa","Psychotria microcarpa","Müll. Arg.","Taylor, C.M.","Souza, V.C. ; Sakuragui, C.M.","3457.0","1993","05","02",NA,"Brasil","Minas Gerais","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA011583","ESA011583",NA,"1997","01","01","Santana do Riacho","26557","auto",NA,NA,NA,NA
"5","2020-12-21 16:43:46-03","MBM","MBM","129307","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","microcarpa","Psychotria microcarpa","Müll. Arg.","Smith, S.F.","Hatschbach, G.; Hatschbach, M.; Nicolack, V.; Hatschbach, M.; Nicolack, V.","52934",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Pito Aceso","-43.4249992370605","-19.0372009277344",NA,NA,NA,NA,"MBM129307","MBM129307",NA,NA,NA,NA,"Conceição do Mato Dentro","60318","auto",NA,NA,NA,NA
"6","2020-12-11 11:41:02-03","UFMG","BHCB","73457","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Psychotria","microcarpa","Psychotria microcarpa","Müll.Arg.",NA,"Barreto, HLM","1124","1935","04","15","Southern America","Brasil","Minas Gerais","Serra do Cipó, Km 133","-43.8513984680176","-19.7696990966797",NA,NA,NA,"Arbusto; 0,60 metros; muito frequente; Mata","BHCB044076","BHCB044076",NA,"1935",NA,NA,"Santa Luzia","19939","auto",NA,NA,NA,NA
"7","2020-12-11 11:41:02-03","UFMG","BHCB","73469","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Psychotria","microcarpa","Psychotria microcarpa","Müll.Arg.",NA,"Barreto, HLM","8838","1938","02","07","Southern America","Brasil","Minas Gerais","Serra do Cipó, km 149, estrada de Conceição.","-43.4249992370605","-19.0372009277344",NA,NA,NA,"Arbusto; 0,50 metros; flor alva; muito frequente; Capão, maegem de córrego","BHCB044077","BHCB044077",NA,"1938",NA,NA,"Conceição do Mato Dentro","60318","auto",NA,NA,NA,NA
"8","2020-03-26 12:27:00-03","MO","MOBOT","3210454","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","microcarpa","Psychotria microcarpa","Müll. Arg.","J. H. Kirkbride","Antonio Furlan","Furlan 19891","1991","4","19","South America","Brazil","Minas Gerais","Km 117 ao longo da rodovia Belo Horizonte - Conceição do Mato Dentro. Habitat: Perto do Córrego Alto do Cupim.","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Santana do Riacho","26557","auto","1",NA,NA,NA
"9","2009-12-04 16:29:00-02","MO","MOBOT","3217498","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","microcarpa","Psychotria microcarpa","Müll. Arg.","S.F. Smith","Gert G. Hatschbach|Maria M. Hatschbach|V. Nicolack","Hatschbach 52934","1989","5","19","South America","Brazil","Minas Gerais","Pito Aceso (mun. Conc. do Mato Dentro)",NA,NA,"700.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","2781008","PreservedSpecimen","Plantae",NA,"Rubiales","Rubiaceae","Psychotria","microcarpa","Psychotria microcarpa","Müll. Arg.",NA,"-. Mello Barreto & -- Brade","1124","1935","4","15","South America - Neotropics","Brazil","Minas Gerais","Matta, Serra do Cipó k. 133, Municipio Santa Luzia",NA,NA,NA,NA,NA,NA,"US02733744","US02733744_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
