"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","405934","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","reitzii","Eryngium reitzii","Mathias & Constance","isotype","L. B. Smith","10336","1957","01","23","South America","Brazil","Santa Catarina","Bom Retiro","By Fazenda Santo Antonio, Campo dos Padres","-49.4892","-27.7972","1650","1650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733171' target='other'> <mi>dwc_moreinfo</mi></a>","NY00405934","NY00405934_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","617663","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","urbanianum","Eryngium urbanianum","H.Wolff",NA,"G. G. Hatschbach","61668","1995","02","26","South America","Brazil","Santa Catarina","Urubici","Morro da Igreja, alto","-49.474831","-28.125881","1800","1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=357177' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617663","NY00617663_01","T. M. Pedersen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02702111","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","urbanianum","Eryngium urbanianum","H.Wolff",NA,"P. Fiaschi","3648","2011","03","28","South America","Brazil","Santa Catarina","Urubici","Morro da Igreja.","-49.47978","-28.12703","1813",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2997307' target='other'> <mi>dwc_moreinfo</mi></a>","NY02702111","NY02702111_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","617664","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","urbanianum","Eryngium urbanianum","H.Wolff",NA,"R. Reitz","7997","1958","12","15","South America","Brazil","Santa Catarina","Sao Joaquim","Serra do Oratório, Bom Jardim, Sao Joaquim","-49.9317","-28.2942","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=357178' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617664","NY00617664_01","L. Constance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1801255","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","urbanianum","Eryngium urbanianum","H.Wolff",NA,"F. B. Matos","2014","2012","01","20","South America","Brazil","Santa Catarina","Urubici","Morro da Igreja.","-49.4744","-28.1258","1800",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2017801' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801255","NY01801255_01","D. Lucas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-08 11:07:05-03","UNESP-IBB","BOTU","30401","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","urbanianum","Eryngium urbanianum","H.Wolff",NA,"Verdi, M.","1963","2009","04","06",NA,"Brasil","Santa Catarina","Orleans",NA,"-49.48","-28.126667",NA,NA,NA,"Herbácea, flor roxa","BOTU030401","BOTU030401","Sobral, M.","2009","07","17","49°28'48w","28°07'36,00s",NA,NA,NA,NA,NA
"7","2020-02-08 08:43:55-03","NBC","NL-BOTANY","L.2576491","PreservedSpecimen","Plantae",NA,"Apiales","Umbelliferae","Eryngium","reitzii","Eryngium reitzii","Mathias & Constance",NA,"Reitz R; Klein RM",NA,"1958","12","15","Southern America","Brazil",NA,NA,"Santa Catarina, Serra do Oratório, Bom Jardim, E. Joaquim.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2576491 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2576491","NL-L2576491",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"8","2020-02-08 08:43:55-03","NBC","NL-BOTANY","L.2576493","PreservedSpecimen","Plantae",NA,"Apiales","Umbelliferae","Eryngium","reitzii","Eryngium reitzii","Mathias & Constance",NA,"Reitz R; Klein RM",NA,"1959","01","13","Southern America","Brazil",NA,NA,"Santa Catarina, Fazenda da Laranja, Bom Jardim, S. Joaquin, Banhado do campo.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2576493 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2576493","NL-L2576493",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"9","2020-02-08 08:43:55-03","NBC","NL-BOTANY","U.1076945","PreservedSpecimen","Plantae",NA,"Apiales","Umbelliferae","Eryngium","urbanianum","Eryngium urbanianum","H.Wolff",NA,"Lindeman JC; Lindeman JC; Porto ML; Girardi AM",NA,"1971","12","04","Southern America","Brazil",NA,NA,"Brasil Rocinha, campo na margem do planalto, fronteira R. G.S-S.C. entre Bom Jesus e Turvo numa valeta com Gram.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1076945 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1076945","NL-U1076945",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"10","2019-08-27 13:33:47-03","IAP","PACA-AGP","8656","PreservedSpecimen","Plantae","Magnoliophyta","Umbellales","Umbelliferae","Eryngium","urbanianum","Eryngium urbanianum","H. Wolff",NA,"Rambo, B.",NA,"1942","01","14",NA,"Brasil","RS","Bom Jesus","Serra da Rcoinha","-50.4166984558105","-28.6678009033203",NA,NA,NA,"VULNERÁVEL&nf;fl. Habitat: in humidis alte graminosis Fenofase: flor","PACA008656",NA,"Emrich-Rambo","1954","09","25",NA,NA,"Magnoliatae","55856","auto",NA,NA
