"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","recordedBy","year","month","day","continentOcean","preparationType","previousCatalogNumber","barcode","recordNumber","typeStatus","minimumElevationInMeters","maximumElevationInMeters","imagecode","dayIdentified","infraspecificEpithet","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2019-06-10 10:10:35-03","FZB-BH","CVJBFZB","3465","S","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lavoisiera","imbricata","Lavoisiera imbricata","(Thunb.) DC.","Luiz Gluck","2014","08","Brasil","Minas Gerais","Presidente Kubitschek","Distrito de Andrequicé, Comunidade Andrequicé.","-43.562198638916","-18.6144008636475","79390552","6441397","13347","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:32-03","E","E","304832","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Lavoisiera","bergii","Lavoisiera bergii",NA,NA,NA,NA,"BR","Bahia",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00304832 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Stannard, B.; Queiroz, R.F.","1992","02","21","E. Tropical South America","herbarium specimen of unspecif","BGBASE:315107","E00304832",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:32-03","E","E","304836","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Lavoisiera","bergii","Lavoisiera bergii",NA,NA,NA,NA,"BR","Bahia",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00304836 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Lughadha, E. Nic; Queiroz, R.","1992","02","21","E. Tropical South America","herbarium specimen of unspecif","BGBASE:315116","E00304836",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:32-03","E","E","83722","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Lavoisiera","bergii","Lavoisiera bergii",NA,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00083722 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Simon, M.F., Proenca, C., Cardoso, C.F.Rozendo","1996","12","20","E. Tropical South America","herbarium specimen of unspecif","BGBASE:92680","E00083722","65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:32-03","E","E","83118","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Lavoisiera","phyllocalycina","Lavoisiera phyllocalycina",NA,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00083118 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Ribas, O.S. & Pereira, L.B.S.","1997","02","09","E. Tropical South America","herbarium specimen of unspecif","BGBASE:91513","E00083118","1652",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","228678","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lavoisiera","bergii","Lavoisiera bergii","Cogn.",NA,NA,NA,"Brazil","Minas Gerais","Ouro Preto","Ouro Preto","-43.5081","-20.2878",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=259783' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"P. Clausen",NA,NA,NA,"South America","sheet",NA,"NY00228678","359a","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","228677","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lavoisiera","bergii","Lavoisiera bergii","Cogn.",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=259782' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"G. Gardner","1836",NA,NA,"South America","sheet",NA,"NY00228677","4153","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","228679","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lavoisiera","bergii","Lavoisiera bergii","Cogn.",NA,NA,NA,"Brazil","Minas Gerais",NA,"In aquosis turfosis ad Taracutu, Rio Manso et Mattinada, Cap. Gayaz - Serra de Christa",NA,NA,NA,NA,NA,"Collector noted on label only as Pohl <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=259784' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"J. B. E. Pohl",NA,NA,NA,"South America","sheet",NA,"NY00228679","833","isosyntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","639135","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lavoisiera","imbricata","Lavoisiera imbricata","DC.","F. Almeda",NA,NA,"Brazil","Bahia","Abaíra","Caminho Betao-Tanque do Boi","-41.9","-13.27",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=259776' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"W. Ganev","1992","07","04","South America","sheet",NA,"NY00639135","607",NA,"1380","1380","NY00639135_01",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01856072","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lavoisiera","imbricata","Lavoisiera imbricata","DC.","M. J. R. Rocha",NA,NA,"Brazil","Minas Gerais","São Roque de Minas","Parque Nacional Serra da Canastra. Parque Nacional Serra da Canastra. Próximo à queda Cachoeira Rolinhos.","-46.6019","-20.1936",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2190406' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"M. J. R. Rocha","2012","05","09","South America","sheet",NA,"NY01856072","631",NA,NA,NA,"NY01856072_01",NA,NA,NA,NA,NA,NA,NA
