"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","continentOcean","country","stateProvince","locality","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","year","month","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","phylum"
"1","2020-02-08 08:55:00-03","NBC","NL-BOTANY","U 0252772","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Uebelmannia","pectinifera","multicostata","Uebelmannia pectinifera multicostata","Buining & Brederoo","holotype","Horst L","Southern America","Brazil","Minas Gerais","Rio Jequitinhonha in orientem Diamantina, Minas Gerais, Brasilia.","In rupibus et inter eas ubi et Bromeliaceae crescunt.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200252772 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0252772","NL-U0252772",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:55:00-03","NBC","NL-BOTANY","U 0252772","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Uebelmannia","pectinifera","multicostata","Uebelmannia pectinifera multicostata","Buining & Brederoo","holotype","Horst L","Southern America","Brazil","Minas Gerais","Rio Jequitinhonha in orientem Diamantina, Minas Gerais, Brasilia.","In rupibus et inter eas ubi et Bromeliaceae crescunt.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200252772 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0252772","NL-U0252772",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-20 21:16:31-03","UFV","VIC","39942","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Uebelmannia","pectinifera","pectinifera","Uebelmannia pectinifera pectinifera","Buining.",NA,"Santos, M.R.",NA,"Brasil","Minas Gerais","Campo rupestre.","Cilindrico, alongado a globoso,sobre areia ou rocha.","VIC039942","VIC039942","Santos, M.R.","2011","05","15","104","2011","05","15","Diamantina","-43.6002998352051","-18.2493991851807","101169","auto",NA,NA,NA,NA,NA
"4","2020-12-20 21:16:31-03","UFV","VIC","39941","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Uebelmannia","pectinifera","pectinifera","Uebelmannia pectinifera pectinifera","Buining.",NA,"Santos, M.R.",NA,"Brasil","Minas Gerais","Campo rupestre.","Cilindrico, alongado a globoso,sobre areia ou rocha.","VIC039941","VIC039941","Santos, M.R.","2011","07","17","139","2011","07","17","Diamantina","-43.6002998352051","-18.2493991851807","101169","auto",NA,NA,NA,NA,NA
"5","2020-12-20 21:16:31-03","UFV","VIC","39949","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Uebelmannia","pectinifera","flavispina","Uebelmannia pectinifera flavispina","(Buining & Bredoree) P.J",NA,"Santos, M.R.",NA,"Brasil","Minas Gerais",NA,"Cilindrico alongado a globoso,sobre areia ou rocha.","VIC039949","VIC039949","Santos, M.R.","2011","07","28","146","2011","07","18","Diamantina","-43.6002998352051","-18.2493991851807","101169","auto",NA,NA,NA,NA,NA
"6","2020-12-20 21:16:31-03","UFV","VIC","39945","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Uebelmannia","pectinifera",NA,"Uebelmannia pectinifera","Buining",NA,"Santos, M.R.",NA,"Brasil","Minas Gerais","Campo rupestre.","Cilindrico, alongado a globoso,sobre areia ou rocha.","VIC039945","VIC039945","Santos, M.R.","2011","07","16","131","2011","07","16","Diamantina","-43.6002998352051","-18.2493991851807","101169","auto",NA,NA,NA,NA,NA
"7","2020-12-20 21:16:31-03","UFV","VIC","39938","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Uebelmannia","pectinifera",NA,"Uebelmannia pectinifera","Buining",NA,"Santos, M.R.",NA,"Brasil","Minas Gerais","Campo rupestre.","Cilindrico , alongado a globoso, sobre areia ou rocha.","VIC039938","VIC039938","Santos, M.R.","2011","07","17","140","2011","07","17","Diamantina","-43.6002998352051","-18.2493991851807","101169","auto",NA,NA,NA,NA,NA
"8","2020-12-20 21:16:31-03","UFV","VIC","39940","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Uebelmannia","pectinifera","flavispina","Uebelmannia pectinifera flavispina","(Buining & Bredoree) P.J",NA,"Santos, M.R.",NA,"Brasil","Minas Gerais","Campo repestre","Cilindrico, alongado a globoso, sobre areia ou rocha","VIC039940",NA,NA,NA,NA,NA,"142","2011","07","17","Diamantina","-43.6002998352051","-18.2493991851807","101169","auto",NA,NA,NA,NA,NA
"9","2020-12-20 21:16:31-03","UFV","VIC","39954","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Uebelmannia","pectinifera","flavispina","Uebelmannia pectinifera flavispina","(Buining & Bredoree) P.J",NA,"Santos, M.R.",NA,"Brasil","Minas Gerais","Campo rupestre.","Cilindrico, alongado a globoso,sobre areia ou rocha.","VIC039954","VIC039954","Santos, M.R.","2011","07","17","141","2011","07","17","Diamantina","-43.6002998352051","-18.2493991851807","101169","auto",NA,NA,NA,NA,NA
"10","2020-12-20 21:16:31-03","UFV","VIC","39946","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Uebelmannia","pectinifera","flavispina","Uebelmannia pectinifera flavispina","(Buining & Bredore) P.J.",NA,"Santos, M.R.",NA,"Brasil","Minas Gerais","Campo rupestre.","Cilindrico, alongado a globoso,sobre areia ou rocha.","VIC039946","VIC039946","Santos, M.R.","2011","07","17","143","2011","07","17","Diamantina","-43.6002998352051","-18.2493991851807","101169","auto",NA,NA,NA,NA,NA
