"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00939554","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","mitis","Scleria mitis","P.J. Bergius","W. R. Anderson","9875","1973","05","07","South America","Brazil","Mato Grosso","Ca. 5 km N of Barra do Garças, south face of mountain","-52.25","-15.83812","500","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993943' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939554","NY00939554_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00939555","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","mitis","Scleria mitis","P.J. Bergius","W. R. Anderson","10188","1973","05","12","South America","Brazil","Goiás","Serra Dourada, ca. 17 km (straight line) S of Goiás Velho, ca. 6 km NE of Mossâmedes, in and along margin of forest on lower eastern slope of serra","-50.1333","-15.9333","700","780","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=994028' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939555","NY00939555_01","T. M. Koyama","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","192515","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","mitis","Scleria mitis","P.J. Bergius","N. J. Mashu","53","1985","08","31","South America","Ecuador","Morona-Santiago","El Centro Shuar Chiar Entsa, cerca Taisha",NA,NA,"300","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=148158' target='other'> <mi>dwc_moreinfo</mi></a>","NY00192515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02282612","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","mitis","Scleria mitis","P.J. Bergius","H. S. Irwin","10890","1965","12","01","South America","Brazil","Goiás","Serra dos Pirineus, ca. 9 km S. of Corumbá de Goiás","-48.8086","-16.00493","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2257199' target='other'> <mi>dwc_moreinfo</mi></a>","NY02282612","NY02282612_01","C. F. S. Muniz","Corumbá de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2017-08-01 15:20:00-03","NY","NYBG","02683210","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","mitis","Scleria mitis",NA,"M. Debeaux","72","1849","05","10","South America","Brazil",NA,"der Santos.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2944929' target='other'> <mi>dwc_moreinfo</mi></a>","NY02683210","NY02683210_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","227775","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","mitis","Scleria mitis","P.J. Bergius","W. W. Thomas","11399","1996","11","24","South America","Brazil","Bahia","Reserva Biologica de Una. Picada do Marimbondo.","-39.07","-15.17",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=148159' target='other'> <mi>dwc_moreinfo</mi></a>","NY00227775","NY00227775_01",NA,"Una",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","469846","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","mitis","Scleria mitis","P.J. Bergius","W. W. Thomas","12738","2001","11","04","South America","Brazil","Bahia","Fazenda Capitao. 7.9 km W of junction BA 001 on road from Itacaré to Ubaitaba","-39.0884","-14.344317","40","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=148149' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469846","NY00469846_01","W. W. Thomas","Itacaré",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01201626","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","mitis","Scleria mitis","P.J. Bergius","R. Spruce","s.n.","1849","07",NA,"South America","Brazil","Pará",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1453343' target='other'> <mi>dwc_moreinfo</mi></a>","NY01201626","NY01201626_01","T. M. Koyama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01201624","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","mitis","Scleria mitis","P.J. Bergius","A. Goeldi","s.n.",NA,NA,NA,"South America","Brazil","Pará",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1453341' target='other'> <mi>dwc_moreinfo</mi></a>","NY01201624","NY01201624_01","T. M. Koyama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02852566","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","mitis","Scleria mitis","P.J. Bergius","L. Santos","1351","2014","11","24","South America","Brazil","Rondônia","Inventário Florestal Nacional - Rondônia (IFN - RO). Conglomerado RO - 192, árvore nº 4 extra.","-62.99972222","-10.08055556",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3102563' target='other'> <mi>dwc_moreinfo</mi></a>","NY02852566","NY02852566_01","H. Medeiros","Ariquemes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
