"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","year","locality","decimalLongitude","decimalLatitude","class","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","month","day","county","coordinatePrecision","geoFlag","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","375847","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","angulata","Gaylussacia angulata","Gardner","H. O. Sleumer","A. F. M. Glaziou","8785","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355743' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375847","NY00375847_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","10041","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","angulata","Gaylussacia angulata","Gardner",NA,"G. Gardner","5808","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355744' target='other'> <mi>dwc_moreinfo</mi></a>","NY00010041","NY00010041_01","isotype","1836","Organ Mountain = Serra Dos Orgaos.","-43.073169","-22.496706",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:01:23-03","NBC","NL-BOTANY","L 0007172","PreservedSpecimen","Plantae",NA,"Ericales","Ericaceae","Gaylussacia","angulata","Gaylussacia angulata","Gardner","Romao GO","Gardner G",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200007172 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0007172","NL-L0007172","isotype",NA,"Brasil: Est. so RioSerra dos Orgaos",NA,NA,"Magnoliopsidae","2009","05","01","957326163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:01:23-03","NBC","NL-BOTANY","L.2609041","PreservedSpecimen","Plantae",NA,"Ericales","Ericaceae","Gaylussacia","angulata","Gaylussacia angulata","Gardner","Romao GO","Glaziou AFM",NA,"Southern America","Brazil","Rio de Janeiro",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2609041 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2609041","NL-L2609041",NA,"1881","Alto macahe.",NA,NA,"Magnoliopsidae","2009","05","01","L 0794751","12","26",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:01:23-03","NBC","NL-BOTANY","L.2609042","PreservedSpecimen","Plantae",NA,"Ericales","Ericaceae","Gaylussacia","angulata","Gaylussacia angulata","Gardner","Romao GO","Glaziou AFM",NA,"Southern America","Brazil","Rio de Janeiro",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2609042 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2609042","NL-L2609042",NA,"1877","Estado do Rio: Therezopolis, Alto de Boa Vista.",NA,NA,"Magnoliopsidae","2009","05","01","L 0794750","05","12",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:01:23-03","NBC","NL-BOTANY","U.1265506","PreservedSpecimen","Plantae",NA,"Ericales","Ericaceae","Gaylussacia","angulata","Gaylussacia angulata","Gardner",NA,"Maas PJM; Martinelli G",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1265506 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1265506","NL-U1265506",NA,"1977","Edo. Rio de Janeiro, Parque Nacional do Itatiaia, Abrigo Rebouças.",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,"10","11",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:06:28-03","ESALQ","ESA","106675","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","angulata","Gaylussacia angulata",NA,"Romão, G.O.","Romão, G.O. ; Dantas, A.P.T.","1424.0",NA,"Brasil","Rio de Janeiro",NA,"Subarbusto até 40cm alt.; ramos velhos desfoliados; frutos imaturos verdes, maduros negros.","ESA106675",NA,NA,"1905","Parque Nacional da Serra dos Órgãos, trilha Abrigo 4 - Pedra do Sino - Pedra da Baleia.","-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,NA,"06","28","Teresópolis","38539","auto",NA,NA,NA,NA,NA
"8","2020-11-04 11:06:28-03","ESALQ","ESA","106674","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","angulata","Gaylussacia angulata",NA,"Romão, G.O.","Romão, G.O. ; Dantas, A.P.T.","1423.0",NA,"Brasil","Rio de Janeiro",NA,"Subarbusto até 30cm alt.; ramos velhos desfoliados; frutos imaturos verdes.","ESA106674",NA,NA,"1905","Parque Nacional da Serra dos Órgãos, trilha Abrigo 4 - Pedra do Sino - Pedra da Baleia, na subida para a Pedra do Sino.","-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,NA,"06","28","Teresópolis","38539","auto",NA,NA,NA,NA,NA
"9","2020-11-04 11:06:28-03","ESALQ","ESA","106642","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","angulata","Gaylussacia angulata",NA,"Romão, G.O.","Romão, G.O. ; Dantas, A.P.T.","1391.0",NA,"Brasil","Rio de Janeiro",NA,"Arbusto 1,5m alt.; copa globosa, ramos velhos desfoliados; indumento dos ramos branco-cinzento. Frutos imaturos verdes, maduros negros.","ESA106642",NA,NA,"1905","Parque Nacional da Serra dos Órgãos, trilha para a Pedra do Sino, ca. 2Km antes do Abrigo 4.","-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,NA,"06","28","Teresópolis","38539","auto",NA,NA,NA,NA,NA
"10","2020-11-04 11:06:28-03","ESALQ","ESA","106643","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","angulata","Gaylussacia angulata",NA,"Romão, G.O.","Romão, G.O. ; Dantas, A.P.T.","1392.0",NA,"Brasil","Rio de Janeiro",NA,"Arbusto 1,5m alt.; copa globosa, ramos velhos desfoliados; indumento dos ramos branco-cinzento; catáfilos branco-esverdeados. Frutos imaturos verdes, maduros negros. População com indivíduos moderadamente adensados, ca. de 1m distante","ESA106643",NA,NA,"1905","Parque Nacional da Serra dos Órgãos, trilha para a Pedra do Sino, ca. 2Km antes do Abrigo 4.","-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,NA,"06","28","Teresópolis","38539","auto",NA,NA,NA,NA,NA
"11","2020-11-04 11:06:28-03","ESALQ","ESA","106653","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","angulata","Gaylussacia angulata",NA,"Romão, G.O.","Romão, G.O. ; Dantas, A.P.T.","1402.0",NA,"Brasil","Rio de Janeiro",NA,"Arbusto 1,5m alt.; copa globosa, bastante ramificado, ramos velhos desfoliados, indumento dos ramos branco-cinzento; frutos imaturos verdes, maduros negros. População com indivíduos densamente situados, próximos uns dos outros.","ESA106653",NA,NA,"1905","Parque Nacional da Serra dos Órgãos, trilha para a Pedra do Sino, ca. 2Km antes do Abrigo 4.","-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,NA,"06","28","Teresópolis","38539","auto",NA,NA,NA,NA,NA
