"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","typeStatus","recordNumber","locality","imagecode","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","sex"
"1","2020-09-23 10:36:11-03","E","E","100480","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","subincanum","Aspidosperma subincanum","Bridgewater, S., Ratter, J.A. & Filho, J.F.","1999","04","22","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109840","<a href=http://data.rbge.org.uk/herb/E00100480 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","297954","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","chodatii","Aspidosperma chodatii","E. Hassler",NA,NA,NA,"South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227269' target='other'> <mi>dwc_moreinfo</mi></a>","NY00297954","Magnoliophyta","Gentianales","Hassl. ex Markgr.","isotype","10á647","Montes-Esperanza, Sierra de Amambay","NY00297954_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1921501","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","subincanum","Aspidosperma subincanum","E. P. Heringer","1979","10","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2284407' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921501","Magnoliophyta","Gentianales","Mart. ex A.DC.",NA,"2214","Bacia do Rio São Bartolomeu.","NY01921501_01","W. Marcondes-Ferreira","Distrito Federal","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1921529","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","subincanum","Aspidosperma subincanum","G. T. Prance","1964","08","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2284891' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921529","Magnoliophyta","Gentianales","Mart. ex A.DC.",NA,"58590","10 km West of Carolina [Tocantins]","NY01921529_01","W. Marcondes-Ferreira","Maranhão",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1921500","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","subincanum","Aspidosperma subincanum","E. P. Heringer","1959","11","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2284396' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921500","Magnoliophyta","Gentianales","Mart. ex A.DC.",NA,"7267","Horto Florestal de Paraopeba","NY01921500_01","W. Marcondes-Ferreira","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","970801","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","subincanum","Aspidosperma subincanum","H. S. Irwin","1966","07","20","South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1057320' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970801","Magnoliophyta","Gentianales","Mart. ex A.DC.",NA,"18303","Planaltina.","NY00970801_01","F. Markgraf","Distrito Federal","Brasília","-47.6667","-15.6167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1921492","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","subincanum","Aspidosperma subincanum","D. C. Daly","1980","10","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2284205' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921492","Magnoliophyta","Gentianales","Mart. ex A.DC.",NA,"D600","Maranhão. 2 km NW od Presidente Dutra","NY01921492_01","W. Marcondes-Ferreira","Maranhão",NA,"-44.533333","-5.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1921510","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","subincanum","Aspidosperma subincanum","A. Macedo","1949","11","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2284739' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921510","Magnoliophyta","Gentianales","Mart. ex A.DC.",NA,"2021","S. Terezinha.","NY01921510_01 NY01921510_02 NY01921510_03","W. Marcondes-Ferreira","Minas Gerais","Ituiutaba","-49.465","-18.9692",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1921462","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","subincanum","Aspidosperma subincanum","H. S. Irwin","1966","06","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2281514' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921462","Magnoliophyta","Gentianales","Mart. ex A.DC.",NA,"16716","Ca. 2 km. N.E. of Xavantina. Drainage of the Upper Rio Araguaia.","NY01921462_01","W. Marcondes-Ferreira","Mato Grosso",NA,"-52.33687","-14.65392","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1921531","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","subincanum","Aspidosperma subincanum","E. P. Heringer","1965","10","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2284901' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921531","Magnoliophyta","Gentianales","Mart. ex A.DC.",NA,"10614","Granja do Tamanduá.","NY01921531_01","W. Marcondes-Ferreira","Distrito Federal","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1921513","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","subincanum","Aspidosperma subincanum","E. P. Heringer","1979","11","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2284759' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921513","Magnoliophyta","Gentianales","Mart. ex A.DC.",NA,"17647",NA,"NY01921513_01","W. Marcondes-Ferreira","Goiás","Caldas Novas","-48.6247","-17.7419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1921527","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","subincanum","Aspidosperma subincanum","G. C. G. Argent","1967","10","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2284885' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921527","Magnoliophyta","Gentianales","Mart. ex A.DC.",NA,"6659","c 2 km W of base camp.","NY01921527_01","W. Marcondes-Ferreira","Mato Grosso","Nova Xavantina","-52.23","-14.63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1921512","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","subincanum","Aspidosperma subincanum","J. A. Ratter","1972","10","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2284756' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921512","Magnoliophyta","Gentianales","Mart. ex A.DC.",NA,"R.2683","Pandeiros approx 35 km W of Januária","NY01921512_01","W. Marcondes-Ferreira","Minas Gerais","Januária","-44.83","-15.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1921502","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","subincanum","Aspidosperma subincanum","E. P. Heringer","1965","10","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2284410' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921502","Magnoliophyta","Gentianales","Mart. ex A.DC.",NA,"10749","Parque Nacional de Brasília.","NY01921502_01","W. Marcondes-Ferreira","Distrito Federal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
