"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","class","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","imagecode","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","individualCount","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","546574","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Lathyrus","hasslerianus","Lathyrus hasslerianus","Burkart","E. E. Neubert","G. G. Hatschbach","19854","1968","09","26","South America","Brazil","Paraná","Laranjeiras do Sul","Rio Despedida","-52.4158","-25.4081","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92728' target='other'> <mi>dwc_moreinfo</mi></a>","NY00546574",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","546579","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Lathyrus","hasslerianus","Lathyrus hasslerianus","Burkart","E. E. Neubert","H. de F. Leitão Filho","1083","1970","10","26","South America","Brazil","São Paulo",NA,"Rodovia Piedade-Tapirai. Km. 114",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92729' target='other'> <mi>dwc_moreinfo</mi></a>","NY00546579",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:13:13-03","NBC","NL-BOTANY","U.1249517","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Lathyrus","hasslerianus","Lathyrus hasslerianus","Burkart","Neubert E","Lindeman JC; Haas JH de",NA,"1966","10","15","Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1249517 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1249517","Magnoliopsidae","1999","09","01","U 0147751","NL-U1249517",NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:13:12-03","NBC","NL-BOTANY","L.1937339","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Lathyrus","hasslerianus","Lathyrus hasslerianus","Burkart",NA,"Hatschbach GG",NA,"1959","11","11","Southern America","Brazil",NA,NA,"Est Parana. Mun. Bocaiuva do Sul. Campina dos Tavares.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1937339 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1937339","Magnoliopsidae",NA,NA,NA,NA,"NL-L1937339",NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:13:12-03","NBC","NL-BOTANY","L.1937340","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Lathyrus","hasslerianus","Lathyrus hasslerianus","Burkart",NA,"Hatschbach GG",NA,"1967","12","31","Southern America","Brazil",NA,NA,"Est. Paraná. Mun Zuritiba, Rodovia do Xisto, Rio Barigui.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1937340 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1937340","Magnoliopsidae",NA,NA,NA,NA,"NL-L1937340",NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:13:12-03","NBC","NL-BOTANY","U.1249515","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Lathyrus","hasslerianus","Lathyrus hasslerianus","Burkart","Neubert E","Bornmüller A",NA,"1904","09","29","Southern America","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1249515 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1249515","Magnoliopsidae","1999","09","01","U 0147749","NL-U1249515",NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:13:12-03","NBC","NL-BOTANY","U.1249516","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Lathyrus","hasslerianus","Lathyrus hasslerianus","Burkart","Neubert E","Lindeman JC; Haas JH de",NA,"1966","11","07","Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1249516 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1249516","Magnoliopsidae","1999","09","01","U 0147750","NL-U1249516",NA,NA,NA,NA,NA,NA,NA
"8","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0022969","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Lathyrus","hasslerianus","Lathyrus hasslerianus","Burkart","G. Seijo","H. Keller; D. Colcombet","1181","2001","8","21",NA,"Argentina","Misiones",NA,"Dep. Iguazú.","-54.416515","-25.716517",NA,"Enredadera, flores amarillas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-04 13:19:14-03","UDESC","LUSC","4150","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Lathyrus","hasslerianus","Lathyrus hasslerianus","Burkart","Martins, D.; Dalmazo, C.","Martins, D.","183","2009","04","01",NA,"Brasil","Santa Catarina","Urupema","Fazenda das Nascentes.","-49.8731002807617","-27.9528007507324",NA,NA,"LUSC003536",NA,NA,NA,NA,NA,"LUSC003536","23096","auto",NA,NA,NA,NA,NA
"10","2020-12-21 16:26:48-03","MBM","MBM","164247","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Lathyrus","hasslerianus","Lathyrus hasslerianus","Burkart",NA,"Polatschek, A.","s.n.",NA,NA,NA,NA,"Áustria",NA,NA,NA,NA,NA,NA,NA,"MBM164247",NA,NA,NA,NA,NA,"MBM164247",NA,NA,NA,NA,NA,NA,NA
