"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","sex","infraspecificEpithet"
"1","2021-04-05 14:33:50-03","UNESC","CRI","8949","PreservedSpecimen","Plantae","Orchidaceae","Anathallis","obovata","Anathallis obovata","(Lindl.) Pridgeon & M.W.Chase","Jorge Luiz Waechter","2011","08","23","Lislaine Cardoso de Oliveira","2011","04","14","Brasil","Santa Catarina","Araranguá","Sanga do Veado.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","4","4","Floresta brejosa","CRI005849","CRI005849",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02693744","PreservedSpecimen","Plantae","Orchidaceae","Anathallis","angustilabia","Anathallis angustilabia","(Schltr.) Pridgeon & M.W.Chase",NA,NA,NA,NA,"J. C. Solomon","1988","01","30","Bolivia","La Paz","Pedro Domingo Murillo","Valle del Río Zongo. 29.1 km al N de la cumbre","-68.07","-16.12",NA,NA,"2400",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2969060' target='other'> <mi>dwc_moreinfo</mi></a>","NY02693744","NY02693744_01","Magnoliophyta","Asparagales","17765","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","512403","PreservedSpecimen","Plantae","Orchidaceae","Anathallis","angustilabia","Anathallis angustilabia","(Schltr.) Pridgeon & M.W.Chase",NA,NA,NA,NA,"A. Gehrt","1920","09","30","Brazil","São Paulo","Ribeirao Pires","Alto da Serra, Matta da Estacao Biologica","-46.4097","-23.71",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=324322' target='other'> <mi>dwc_moreinfo</mi></a>","NY00512403","NY00512403_01","Magnoliophyta","Asparagales","4465","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","557703","PreservedSpecimen","Plantae","Orchidaceae","Anathallis","angustilabia","Anathallis angustilabia","(Schltr.) Pridgeon & M.W.Chase",NA,NA,NA,NA,"P. C. Hutchison","1964","03","27","Peru","Amazonas","Chachapoyas","Dept. Amazonas; Cerros Calla Calla, east side, 15 km above Leimebamba on the road to Balsas, vicinity of Sisumachay, km. 419 m",NA,NA,NA,NA,"2950","2950","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=324323' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557703","NY00557703_01","Magnoliophyta","Asparagales","4774","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3909050","PreservedSpecimen","Plantae","Orchidaceae","Anathallis","citrina","Anathallis citrina","(Schltr.) Pridgeon & M.W.Chase",NA,NA,NA,NA,"P. C. Hutchison","1957","10","31","Peru","Ayacucho","Cangallo","On road to Abancay, 5 miles below Ocros",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4396333' target='other'> <mi>dwc_moreinfo</mi></a>","NY03909050","NY03909050_01","Magnoliophyta","Asparagales","7173","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","533509","PreservedSpecimen","Plantae","Orchidaceae","Anathallis","obovata","Anathallis obovata","(Lindl.) Pridgeon & M.W.Chase",NA,NA,NA,NA,"R. P. Belém","1968","06","07","Brazil","Bahia","Una","Margem do Rio Una","-39.1952276","-15.2599041",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=577951' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533509","NY00533509_01","Magnoliophyta","Asparagales","3691","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","557716","PreservedSpecimen","Plantae","Orchidaceae","Anathallis","obovata","Anathallis obovata","(Lindl.) Pridgeon & M.W.Chase",NA,NA,NA,NA,"T. J. Killeen","1992","04","03","Bolivia","La Paz","Franz Tamayo","Serranía de Chepite, Campamento Scismico de Texaco, 15 km O del Rio Tuichi","-68.07","-14.33",NA,NA,"700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=577949' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557716","NY00557716_01","Magnoliophyta","Asparagales","3805","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","512425","PreservedSpecimen","Plantae","Orchidaceae","Anathallis","obovata","Anathallis obovata","(Lindl.) Pridgeon & M.W.Chase",NA,NA,NA,NA,"F. C. Hoehne","1927","05","03","Brazil","Minas Gerais","Pouso Alegre","Pouso Alegre","-45.9358945","-22.2301939",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=610470' target='other'> <mi>dwc_moreinfo</mi></a>","NY00512425","NY00512425_01","Magnoliophyta","Asparagales","19368","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","9225","PreservedSpecimen","Plantae","Orchidaceae","Anathallis","obovata","Anathallis obovata","(Lindl.) Pridgeon & M.W.Chase",NA,NA,NA,NA,"M. Bang","1890",NA,NA,"Bolivia",NA,NA,"Yungas",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=53360' target='other'> <mi>dwc_moreinfo</mi></a>","NY00009225","NY00009225_01","Magnoliophyta","Asparagales","216","South America","sheet","type",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","533510","PreservedSpecimen","Plantae","Orchidaceae","Anathallis","obovata","Anathallis obovata","(Lindl.) Pridgeon & M.W.Chase",NA,NA,NA,NA,"G. G. Hatschbach","1970","04","18","Brazil","Paraná","Laranjeiras do Sul","Rio Iguacu, Salto Osorio","-53.008927","-25.537385",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=577948' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533510","NY00533510_01","Magnoliophyta","Asparagales","24163","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
