"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","individualCount","occurrenceRemarks","identifiedBy","infraspecificEpithet","country","yearIdentified","monthIdentified","dayIdentified","year","month","day","recordedBy","recordNumber","continentOcean","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","imagecode","preparationType","verbatimLongitude","verbatimLatitude","relatedCatalogItem"
"1","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","1995","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Cattleya","warneri","Cattleya warneri","T.Moore.","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:27-03","FZB-BH","CVJBFZB","4330","S","Plantae",NA,NA,NA,"Orchidaceae","Cattleya","warneri","Cattleya warneri",NA,"1","254","Carlos Alberto Ferreira Júnior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2177","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Cattleya","warneri","Cattleya warneri var. concolor","T.Moore.","1","254",NA,"var. concolor","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2192","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Cattleya","warneri","Cattleya warneri var. lilas","T.Moore.",NA,"254",NA,"var. lilas","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","3977","S","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Cattleya","warnerii","Cattleya warnerii",NA,"1","254",NA,NA,NA,"2017","03","02","2017","03","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","4032","S","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Cattleya","warnerii","Cattleya warnerii coerulescens",NA,"1","254","Carlos Alberto Ferreira Júnior","coerulescens",NA,"2017","03","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","3805","S","Plantae","Magnoliophyta",NA,"Asparagales","Orchidadeceae","Cattleya","warnerii","Cattleya warnerii var. alba",NA,"1","254",NA,"var. alba",NA,"2016","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","3816","S","Plantae","Magnoliophyta",NA,"Asparagales","Orchidadeceae","Cattleya","warnerii","Cattleya warnerii var. albescens",NA,"1","254",NA,"var. albescens",NA,"2016","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:52:42-03","EAO","IAN","110465","PreservedSpecimen","Plantae","Monocotiledônea",NA,NA,"Orchidaceae","Cattleya","warneri","Cattleya warneri","T.Moore ex Warner",NA,"Flor róseo-violácea.","Meneguzzo, TEC",NA,"Brasil","2013","12",NA,"1961","03","20","Pires, JM","7797","Southern America","Pará","Belém","IAN. Cultivada na residência do Sr. Calzavarra, procedência desconhecida.","-48.5043983459473","-1.4558299779892","48462","IAN110465","auto",NA,NA,NA,NA,NA
"10","2021-03-30 12:52:42-03","EAO","IAN","110838","PreservedSpecimen","Plantae","Monocotiledônea",NA,NA,"Orchidaceae","Cattleya","warneri","Cattleya warneri","T.Moore ex Warner",NA,"Flor roxa, labelo com manchas cor de vinho.","Meneguzzo, TEC",NA,"Brasil","2013","12",NA,"1961","03","23","Rodrigues, JS","262","Southern America","Pará","Belém","IAN. Cultivada na residência do Sr. Calzavarra, sob nº04.","-48.5043983459473","-1.4558299779892","48462","IAN110838","auto",NA,NA,NA,NA,NA
"11","2021-03-30 12:52:42-03","EAO","IAN","110839","PreservedSpecimen","Plantae","Monocotiledônea",NA,NA,"Orchidaceae","Cattleya","warneri","Cattleya warneri","T.Moore ex Warner",NA,NA,"Meneguzzo, TEC",NA,"Brasil","2013","12",NA,"1961","03","23","Rodrigues, JS","263","Southern America","Pará","Belém","IAN. Cultivada na residência do Sr. Calzavarra, sob nº10.","-48.5043983459473","-1.4558299779892","48462","IAN110839","auto",NA,NA,NA,NA,NA
