"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","typeStatus","stateProvince","locality","phylum","order","scientificNameAuthorship","identifiedBy","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","individualCount","fieldNumber","minimumDepthInMeters","maximumDepthInMeters"
"1","2020-09-23 10:37:25-03","E","E","92114","PreservedSpecimen","Plantae","Compositae","Baccharis","tridentata","Baccharis tridentata","Hassler, E.","11831","1905","03","27","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:101005","<a href=http://data.rbge.org.uk/herb/E00092114 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00092114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:37:25-03","E","E","322915","PreservedSpecimen","Plantae","Compositae","Baccharis","tridentata","Baccharis tridentata","Tweedie, John",NA,NA,NA,NA,"Temperate South America","UY","herbarium specimen of unspecif","BGBASE:345510","<a href=http://data.rbge.org.uk/herb/E00322915 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00322915","syntype","Departamento de Maldonado","Maldonado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:37:25-03","E","E","92113","PreservedSpecimen","Plantae","Compositae","Baccharis","tridentata","Baccharis tridentata","Hassler, E.",NA,"1905","03","27","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:101006","<a href=http://data.rbge.org.uk/herb/E00092113 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00092113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","782004","PreservedSpecimen","Plantae","Asteraceae","Baccharis","alpestris","Baccharis alpestris","A. F. M. Glaziou","s.n.","1875","01","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282287' target='other'> <mi>dwc_moreinfo</mi></a>","NY00782004",NA,"Rio de Janeiro",NA,"Magnoliophyta","Asterales","Gardner","G. Heiden","NY00782004_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","804181","PreservedSpecimen","Plantae","Asteraceae","Baccharis","isabelae","Baccharis isabelae","N. Soria","4247","1990","07","23","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=829996' target='other'> <mi>dwc_moreinfo</mi></a>","NY00804181","isotype","Cordillera","Camino Altos Bernal cue.","Magnoliophyta","Asterales","Soria & Zardini","M. H. Nee","NY00804181_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00854973","PreservedSpecimen","Plantae","Asteraceae","Baccharis","martiana","Baccharis martiana","W. R. Anderson","8141","1973","04","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937901' target='other'> <mi>dwc_moreinfo</mi></a>","NY00854973",NA,"Goiás","2 km by road E of Cristalina. Serra dos Cristais.","Magnoliophyta","Asterales","G.M.Barroso","H. Robinson","NY00854973_01","Cristalina","-47.582","-16.75","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","787978","PreservedSpecimen","Plantae","Asteraceae","Baccharis","martiana","Baccharis martiana","A. M. V. de Carvalho","6936","2001","08","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=682230' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787978",NA,"Bahia","Ca. 26km na estrada para Divisópolis.","Magnoliophyta","Asterales","G.M.Barroso",NA,"NY00787978_01","Encruzilhada","-41.0272","-15.6867",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00854971","PreservedSpecimen","Plantae","Asteraceae","Baccharis","martiana","Baccharis martiana","H. S. Irwin","28588","1970","03","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937892' target='other'> <mi>dwc_moreinfo</mi></a>","NY00854971",NA,"Minas Gerais","Serra do Espinhaço, ca. 7 km N. of São João da Chapada, road to Campo do Sampaio","Magnoliophyta","Asterales","G.M.Barroso","H. Robinson","NY00854971_01","Diamantina","-43.742436","-18.0234644","1150","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00854972","PreservedSpecimen","Plantae","Asteraceae","Baccharis","martiana","Baccharis martiana","H. S. Irwin","20814","1968","02","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937897' target='other'> <mi>dwc_moreinfo</mi></a>","NY00854972",NA,"Minas Gerais","Serra do Espinhaço, at Lapinha, ca. 19km N. of Sêrro on road (MG 2) to Diamantina.","Magnoliophyta","Asterales","G.M.Barroso","H. Robinson","NY00854972_01",NA,"-43.55","-18.55","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","788374","PreservedSpecimen","Plantae","Asteraceae","Baccharis","tridentata","Baccharis tridentata subopposita","L. Riedel","769","1825","10",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=21839' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788374",NA,"São Paulo",NA,"Magnoliophyta","Asterales","(DC.) Cabrera",NA,"NY00788374_01",NA,NA,NA,NA,NA,"subopposita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
