"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","phylum","order","scientificNameAuthorship","county","minimumElevationInMeters","maximumElevationInMeters","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","sex","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount","typeStatus"
"1","2020-09-23 10:36:19-03","E","E","178906","PreservedSpecimen","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","Leitao Filho, H.F., Martins, F.R. & Stubblebine, W.H.","13280","1982","01","29","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:186146","<a href=http://data.rbge.org.uk/herb/E00178906 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00178906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:19-03","E","E","247206","PreservedSpecimen","Plantae","Araliaceae","Coudenbergia","warmingiana","Coudenbergia warmingiana","Ratter, J.A.; Wagner Borges, J.; Rocha, Machado & Rocha, Mardocheu",NA,"1985","09","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:266446","<a href=http://data.rbge.org.uk/herb/E00247206 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00247206","Minas Gerais","Sagarana, Projeto Integrado de Coloizacao (INCRA), NW Minas Gerais.","-47","-16","-47.000000","-16.000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1144310","PreservedSpecimen","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","D. B. O. S. Cardoso","1962","2007","05","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1287245' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144310","Bahia","Fazenda Retiro, ca. 18 km de Feira de Santana na Estrada do Feijão sentido Ipirá.","-39.1839","-12.1617",NA,NA,"Magnoliophyta","Apiales","(Marchal) J.Wen","Anguera","300","600","NY01144310_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00958278","PreservedSpecimen","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","J. A. Ratter","R5047","1985","09","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022190' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958278","Minas Gerais","Sagarana, Projeto Integrado de Colonizaçao (INCRA), NW Minas Gerais","-47","-16",NA,NA,"Magnoliophyta","Apiales","(Marchal) J.Wen",NA,NA,NA,"NY00958278_01","J. Wen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00958279","PreservedSpecimen","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","J. A. Ratter","R5047","1985","09","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022192' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958279","Minas Gerais","Sagarana, Projeto Integrado de Colonizaçao (INCRA), NW Minas Gerais","-47","-16",NA,NA,"Magnoliophyta","Apiales","(Marchal) J.Wen",NA,NA,NA,"NY00958279_01","J. Wen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00935759","PreservedSpecimen","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","J. Kulhmann","s.n.","1935","11","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995099' target='other'> <mi>dwc_moreinfo</mi></a>","NY00935759","Minas Gerais","Viçosa","-42.8817","-20.7542",NA,NA,"Magnoliophyta","Apiales","(Marchal) J.Wen","Viçosa",NA,NA,"NY00935759_01","J. Wen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","886484","PreservedSpecimen","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","L. B. Smith","14120","1964","12","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026348' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886484","Santa Catarina","Forest above Rio Uruguai, Barra Macaco Branco","-53.77","-27.17",NA,NA,"Magnoliophyta","Apiales","(Marchal) J.Wen","Itapiranga","150","250","NY00886484_01","J. Wen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-11 10:01:15-03","UNIVASF","HVASFW","413","S","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","D.G. Oliveira","1029","2013","08","27","América do Sul","Brasil",NA,NA,"Árvore ca. de 7m alt.. Caule com ritidoma espesso, rugoso, fissuras longitudinais. Ramos jovens com cicatrizes foliares. Folhas bipinadas, espiraladas. Flores com tonalidade creme-alva. Frutos em desenvolvimento.","HVASFW000413","Ceará","Reservatório Jati","-39.006472","-7.710333","-39.006472","-7.710333",NA,NA,"(Marchal) J.Wen","Jati","458","458",NA,"D.G. Oliveira","2013","08","27","U",NA,NA,NA,NA,NA,NA,NA
"9","2021-01-11 10:01:15-03","UNIVASF","HVASFW","427","S","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","D.G. Oliveira","1059","2013","11","22","América do Sul","Brasil",NA,NA,"Árvore ca. de 6,5m alt.. Caule com ritidoma espesso, rugoso, fissuras longitudinais. Ramos jovens com cicatrizes foliares. Folhas bipinadas, espiraladas. Flores com tonalidade creme-alva. Frutos coloração creme em desenvolvimento.","HVASFW000427","Ceará","Reservatório Jati, coletado na cota mais baixa um vale","-39.006444","-7.710333","-39.006444","-7.710333",NA,NA,"(Marchal) J.Wen","Jati","364","364",NA,"E. Melo","2013","12","06","U",NA,NA,NA,NA,NA,NA,NA
"10","2021-02-18 09:28:40-03","UNESP-IBB","BOTU","27175","PreservedSpecimen","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","Chagas e Silva, F.","11379","1994","03","18",NA,"Brasil",NA,NA,"Árvore, 30 metros de altura; botão floral e flores creme; suber lenhoso, corte creme.","BOTU027175","Paraná",NA,NA,NA,"9999","9999",NA,NA,"(Marchal) J. Wen","Londrina",NA,NA,"BOTU027175","Soares e Silva, L.H.","1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-02 16:28:34-03","CPAN-UFMS","COR","11572","PreservedSpecimen","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","Damasceno Júnior., G. A.; Maria, V. R.; Batilani, J.; Pott, A; Velasques, J.","3863","2005","09","08",NA,"Brasil",NA,NA,"Árvore com 1m de altura Habito: Árvore",NA,"Mato Grosso do Sul","Fazenda Harmonia - rio Perdido","-56.696111","-21.283611","56º41'46''W","21º17'1''S",NA,NA,"(Marchal) J.Wen","Porto Murtinho",NA,NA,NA,"M. Mendoza","2016","01","21",NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-10-09 11:09:21-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","Conceição, AA; Harley, RM; Santos, RM; Rocha, DSB","1888","2007","04","28","Southern America","Brasil",NA,NA,"5,5 m alt. estéril.",NA,"Bahia","Chapada Diamantina, Chapada Diamantina","-42.412222","-13.297222","-42.412222","-13.297222","Dicotyledon",NA,"(Marchal) J. Wen","Paramirim","593","593",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 08:43:25-03","NBC","NL-BOTANY","U 0261508","PreservedSpecimen","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","Lindeman JC",NA,"1979","08","10","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200261508 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0261508","São Paulo","Sao Paulosamal forest on low hill behind the campus",NA,NA,NA,NA,NA,"Apiales","(Marchal) J.Wen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Uw24644",NA,NA,NA,NA,NA
"14","2020-02-08 08:43:32-03","NBC","NL-BOTANY","L.2573115","PreservedSpecimen","Plantae","Araliaceae","Pentapanax","ulei","Pentapanax ulei","Ule EHG",NA,"1906","10","01","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2573115 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2573115",NA,"Baum in der Catinga bei Tambury, Estado de Bahia.",NA,NA,NA,NA,NA,"Apiales","Harms",NA,NA,NA,"NL-L2573115",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:00:28-03","ESALQ","ESA","96201","PreservedSpecimen","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","Pavão, O.C. et al.",NA,"2001","04","03",NA,"Brasil",NA,NA,NA,"ESA096201","Paraná",NA,"-51.0283012390137","-22.8505992889404",NA,NA,"Magnoliophyta",NA,"(March.)I.Wen","Primeiro de Maio",NA,NA,"ESA096201","Lovato, M.C.","2004",NA,NA,NA,NA,NA,"18944","auto",NA,NA,NA
"16","2020-11-04 11:00:28-03","ESALQ","ESA","110074","PreservedSpecimen","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","Toniato, M.T.Z. ; Barreto, T.E.","70.0",NA,NA,NA,NA,"Brasil",NA,NA,NA,"ESA110074","São Paulo",NA,"-49.5499992370605","-22.2900009155273",NA,NA,"Magnoliophyta",NA,NA,"Gália",NA,NA,"ESA110074",NA,NA,NA,NA,NA,NA,NA,"23314","auto",NA,NA,NA
"17","2019-02-15 11:33:18-02","IPA","IPA","21434","S","Plantae","Araliaceae","Aralia","warmingiana","Aralia warmingiana","Academia Brasileira de Ciências","1101","1971","11","30","Southern America","Brasil",NA,NA,"Árvore 7-8m, 30cm de diâmetro, casca cinza, com suber espesso, fendido longitudinalmente, desprendendo-se facilmente. Inflorescência axilar não exatamente terminal.; Contato Floresta-caatinga.","IPA0021434","Paraíba","4,5 km de Mata Grande, a estrada para Bonito de Santa Fé.",NA,NA,NA,NA,"Plantae",NA,"(Marchal) J. Wen",NA,NA,NA,NA,"Oliveira, M.A.","2017","10","10",NA,NA,NA,NA,NA,NA,NA,NA
