"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","recordNumber","year","month","day","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","class","individualCount","yearIdentified","monthIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","337433","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","radlkoferiana","Maytenus radlkoferiana","Loes.","type","F. Sellow","South America","Brazil","sheet","Collection number: 2218, 2246 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742457' target='other'> <mi>dwc_moreinfo</mi></a>","NY00337433","NY00337433_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1031048","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","radlkoferiana","Maytenus radlkoferiana","Loes.",NA,"H. S. Irwin","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142184' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031048","NY01031048_01","R. M. de Carvalho-Okano","29022","1971","01","24","Minas Gerais","Serra do Espinhaço, ca. 10 km W. of Barão de Cocais","-43.4927778","-20.1263","1500","1500",NA,NA,NA,NA
"3","2021-04-08 17:37:48-03","EAO","IAN","81313","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Celastraceae","Maytenus","radlkoferiana","Maytenus radlkoferiana","Loes.",NA,"Sellow, F","Southern America","Brasil",NA,NA,"IAN081313",NA,NA,"2218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:57:41-03","NBC","NL-BOTANY","U.1206075","PreservedSpecimen","Plantae",NA,"Celastrales","Celastraceae","Maytenus","radlkoferiana","Maytenus radlkoferiana","Loes. ex Taub.",NA,"Irwin HS; Harley RM; Onishi E","Southern America","Brazil",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1206075 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1206075","NL-U1206075",NA,NA,"1971","01","24",NA,"Estado de Minas Gerais, Serra do Espinhaço, ca. 10km W. of Barao de Cocais.",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"5","2020-08-19 16:20:00-03","MO","MOBOT","100287674","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Monteverdia","radlkoferiana","Monteverdia radlkoferiana","(Loes.) Biral",NA,"F. Sellow","South America","Brazil",NA,NA,NA,NA,"R.Liesner (MO)","Sellow 2218","1814",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"6","2020-08-19 16:19:00-03","MO","MOBOT","100929918","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Monteverdia","radlkoferiana","Monteverdia radlkoferiana","(Loes.) Biral",NA,"Howard S. Irwin|R.M. Harley|Eunice Onishi","South America","Brazil",NA,NA,NA,NA,"R.Liesner (MO)","Irwin 29022","1971","1","24","Minas Gerais","Among boulders, riacho margin. Cerrado, sedge meadow (brejo), sandstone outcrops and gallery forest, ca. 10 km W of Barão de Cocais.",NA,NA,"1500.00000000",NA,NA,"1",NA,NA
"7","2020-06-15 15:29:54-03","UNESP-RC","HRCB","65974","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Maytenus","radlkoferiana","Maytenus radlkoferiana","Loes. ex Taub.",NA,"Irwin",NA,"Brasil",NA,NA,NA,NA,"Biral, L.",NA,NA,NA,NA,"Minas Gerais","Serra do Espinhaço",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","288161","PreservedSpecimen","Plantae",NA,"Celastrales","Celastraceae","Maytenus","radlkoferiana","Maytenus radlkoferiana","Loes. ex Taub.",NA,"F. Sellow","South America - Neotropics","Brazil",NA,NA,"US01867110","US01867110_01 US01867110_02",NA,"2218",NA,NA,NA,NA,"Brasilia.",NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"9","2019-09-04 18:43:43-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Celastraceae","Maytenus","radlkoferiana","Maytenus radlkoferiana",NA,"Type [status unknown]","F. Sellow","South America","Brazil",NA,NA,NA,NA,NA,"2218",NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,"Dicotyledoneae",NA,NA,NA
"10","2019-11-01 14:56:11-03","UnB","UB","121465","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Celastraceae","Maytenus","radlkoferiana","Maytenus radlkoferiana","Loes.",NA,"Irwin, HS","Southern America","Brasil",NA,"Fruit green.; Tree 5m.; Cerrado",NA,NA,"Biral, L","29022","1971","01","24","Minas Gerais","Ca. 10km W of Barão de Cocais",NA,NA,NA,NA,NA,NA,"2015","09"
