"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1281611","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","salutaris","Croton salutaris","Casar.","J. A. Kallunki","L. Riedel","s.n.","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1725215' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281611","NY01281611_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","504374","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","salutaris","Croton salutaris","Casar.","I. Cordeiro","J. de S. Silva","285","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=707418' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504374","NY00504374_01","1974","04","16","São Paulo","Sao Paulo","Nativa no Jardim Botanico e Parque do Estado. Area 10","-46.621883","-23.654505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1026875","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","salutaris","Croton salutaris","Casar.","J. A. Kallunki","W. R. Anderson","35686","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1130310' target='other'> <mi>dwc_moreinfo</mi></a>","NY01026875","NY01026875_01","1972","02","09","Minas Gerais",NA,"South-eastern drainage of Pico de Itambé, about 5km directly west and north of Santo Antônio de Itambé","-43.351","-18.4489","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","504716","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","salutaris","Croton salutaris","Casar.","R. Riina","L. R. Landrum","4203","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=591438' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504716","NY00504716_01","1982","01","27","Rio de Janeiro","Teresópolis","Teresópolis, Posse section of Teresópolis","-42.9656","-22.4122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02431401","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","salutaris","Croton salutaris","Casar.",NA,"G. Martinelli","10798","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2968829' target='other'> <mi>dwc_moreinfo</mi></a>","NY02431401","NY02431401_01","1985","05","01","Rio de Janeiro","Resende","Parque Nacional de Itatiaia, Rio Campo Belo, próx. Cachoeira","-44.4467010498047","-22.468900680542",NA,NA,"36089","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","504373","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","salutaris","Croton salutaris","Casar.","F. C. Hoehne","F. C. Hoehne","31388","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=707419' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504373","NY00504373_01","1933","12","26","São Paulo","Sao Paulo","Parque do Estado","-46.621883","-23.654505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","504376","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","salutaris","Croton salutaris","Casar.","L. C. M. Croizat","Y. E. J. Mexia","5237","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=707420' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504376","NY00504376_01","1930","10","29","Minas Gerais","Viçosa","Viçosa. Road to Sao Miguel; on slope near km 5 at border of forest","-42.8817","-20.7542","720","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1026874","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","salutaris","Croton salutaris","Casar.","L. C. M. Croizat","Y. E. J. Mexia","4563","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1130309' target='other'> <mi>dwc_moreinfo</mi></a>","NY01026874","NY01026874_01","1930","04","04","Minas Gerais","Viçosa","Road to Sao Miguel; just beyond km. 4","-42.8817","-20.7542","690","690",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","504375","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","salutaris","Croton salutaris","Casar.",NA,"L. Riedel",NA,"South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=707421' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504375","NY00504375_01",NA,NA,NA,NA,NA,"{From protologue: Ad Serra da Piedade]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-03-20 11:47:10-03","MCN-PUC-MINAS","HPUC-MG","ANG2630","S","Plantae",NA,NA,"Euphorbiaceae","Croton","salutaris","Croton salutaris",NA,NA,"J. Maielo",NA,NA,"Brasil",NA,NA,NA,NA,"2009","12","15","Minas Gerais",NA,"Brumadinho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
