"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","stateProvince","minimumElevationInMeters","maximumElevationInMeters","county","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","fieldNumber","infraspecificEpithet","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","404924","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","glomerata","Eugenia glomerata","Spring ex Mart.","type","Martii Herbar. Florae Brasil.","43","South America","Brazil","In monte Corcovado prope Rio","-43.212076","-22.951842","sheet","Acc. 1837 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=89036' target='other'> <mi>dwc_moreinfo</mi></a>","NY00404924","NY00404924_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","579892","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","glomerata","Eugenia glomerata","Spring ex Mart.",NA,"J. Almeida","1268","South America","Brazil","GB-Estrada do Corcovado Sumaré.","-43.215145","-22.949794","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=89033' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579892","NY00579892_01","E. F. Guimarães; C. L. F. Ichaso","1972","02","23","Rio de Janeiro","530","530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00907626","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","glomerata","Eugenia glomerata","Spring ex Mart.",NA,"D. Philcox","3890","South America","Brazil","Km. 271, Xavantina-Cachimbo road",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986742' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907626","NY00907626_01",NA,"1968","01","05","Mato Grosso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","579893","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","glomerata","Eugenia glomerata","Spring ex Mart.",NA,"G. G. Hatschbach","18669","South America","Brazil","Rio do Cedro","-48.3289","-25.3069","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=89034' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579893","NY00579893_01","C. M. D. E. Legrand","1968","03","07","Paraná","30","50","Guaraqueçaba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2017-01-12 10:50:00-02","NY","NYBG","557919","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","neoglomerata","Eugenia neoglomerata",NA,NA,"A. Gomes","s.n.","South America","Brazil","Alto da Serra, Estaçao Biológica",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479577' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557919","NY00557919_01","F. F. Mazine","1938",NA,NA,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2017-01-12 10:50:00-02","NY","NYBG","557874","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","neoglomerata","Eugenia neoglomerata",NA,NA,"L. Riedel","s.n.","South America","Brazil","Porto Estrella",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479554' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557874","NY00557874_01","F. F. Mazine","1823","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02499286","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","neoglomerata","Eugenia neoglomerata","Sobral",NA,"W. W. Thomas","11992","South America","Brazil","Parque Nacional Monte Pascoal, along road from entrance to visitor's center and road to E side of park.","-39.415","-16.86722222","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479504' target='other'> <mi>dwc_moreinfo</mi></a>","NY02499286","NY02499286_01","M. Sobral","1999","02","05","Bahia","50","50","Porto Seguro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","594931","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","neoglomerata","Eugenia neoglomerata","Sobral",NA,"L. R. Landrum","4121","South America","Brazil","Floresta da Tijuca, near chapel","-43.278116","-22.956929","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479359' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594931","NY00594931_01","M. Sobral","1982","01","13","Rio de Janeiro",NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1551136","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","neoglomerata","Eugenia neoglomerata","Sobral",NA,"J. M. A. Braga","3089","South America","Brazil","Parque Nacional de Itatiaia. Trilha do Hotel Simon para o Três Picos.","-44.65833","-22.35833","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1911876' target='other'> <mi>dwc_moreinfo</mi></a>","NY01551136","NY01551136_01","M. Sobral","1995","12","07","Rio de Janeiro","1200",NA,"Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","580042","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","neoglomerata","Eugenia neoglomerata","Sobral",NA,"O. Handro","s.n.","South America","Brazil","Sao Paulo, Parque Estadual das Fontes do Ipiranga, Jardim Botânico.","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=676594' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580042","NY00580042_01","M. L. Kawasaki","1933","01","30","São Paulo",NA,NA,"Sao Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
