"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","scientificNameAuthorship","typeStatus","identifiedBy","individualCount","yearIdentified","verbatimLongitude","verbatimLatitude","class"
"1","2016-10-21 16:43:00-02","NY","NYBG","1288514","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Bellucia","wurdackiana","Bellucia wurdackiana","M. L. Alencar","599","1979","07","12","South America","Brazil","Amazonas","Along Rio Curicuriari and Igarapé Cariua to Cachoeira Piraiauara","-66.92","-0.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1758732' target='other'> <mi>dwc_moreinfo</mi></a>","NY01288514","NY01288514_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-27 06:20:00-03","NY","NYBG","1288513","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Bellucia","wurdackiana","Bellucia wurdackiana","J. M. Poole","2011","1979","07","14","South America","Brazil","Amazonas","Along Rio Cariua (Igarapé Branco) from Rio Curicuriari to Cachoeira de Bôto (C. Piraiauara)","-66.92","-0.333333","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1758731' target='other'> <mi>dwc_moreinfo</mi></a>","NY01288513","NY01288513_01","São Gabriel da Cachoeira",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","228746","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Loreya","wurdackiana","Loreya wurdackiana","O. C. Nascimento","761","1978","10","26","South America","Brazil","Amazonas","Rio Negro, Rio Curicuari; mata baixa, solo arenoso",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=90492' target='other'> <mi>dwc_moreinfo</mi></a>","NY00228746","NY00228746_01",NA,"S.S.Renner","isotype",NA,NA,NA,NA,NA,NA
"4","2012-03-29 13:44:00-03","MO","MOBOT","3223243","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Bellucia","wurdackiana","Bellucia wurdackiana","Lúcia Alencar","Alencar 599","1979","7","12","South America","Brazil","Amazonas","Along Rio Curicuriari and Igarapé Cariua to Cachoeira Piraiauara; igapó and caatinga.","-66.9166667","0.3333333",NA,NA,NA,NA,NA,"(S.S. Renner) Penneys, Michelang., Judd & Almeda",NA,"fide Penneys et al.","1",NA,NA,NA,NA
"5","2011-03-03 07:59:00-03","MO","MOBOT","3223362","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Bellucia","wurdackiana","Bellucia wurdackiana","Jackie M. Poole","Poole 2011","1979","7","14","South America","Brazil","Amazonas","Along Rio Cariua (Igarapé Branc) from Rio Curicuriari to Cachoeira de Bôto (C. Piraiauara); igapó and terra frime.","-66.9166667","-0.3333333",NA,NA,NA,NA,NA,"(S.S. Renner) Penneys, Michelang., Judd & Almeda",NA,"fide Penneys et al.","1",NA,NA,NA,NA
"6","2020-08-31 09:06:16-03","INPA","INPA","86832","S","Plantae","Dicotyledon Com-Clade","Myrtales","Melastomataceae","Bellucia","wurdackiana","Bellucia wurdackiana","Maia, LA","599","1979","07","12","Southern America","Brasil","Amazonas","Rio Curicuriari, Rio Negro, rio Curicuriari, margem do igarapé Carina","-67.887641","-0.638415",NA,NA,"INPA0086832","INPA0086832 INPA0086832_e INPA0086832_nd","São Gabriel da Cachoeira","Renner",NA,"et al.; Penneys, DS",NA,"2010","-67.887641","-0.638415",NA
"7","2020-08-31 09:06:31-03","INPA","INPA","89842","S","Plantae","Dicotyledon Com-Clade","Myrtales","Melastomataceae","Loreya","wurdackiana","Loreya wurdackiana","Poole, JM","2011","1979","07","14","Southern America","Brasil","Amazonas","Rio Cariau., Along Rio Cariua (Igarapé Branco) from Rio Curicuriari to Cachoeira de Bôto (C. Piraiauara)","-66.916667","-0.333333",NA,NA,"INPA0089842","INPA0089842 INPA0089842_e INPA0089842_e1","São Gabriel da Cachoeira","Renner",NA,"Renner, SS",NA,"1986","-66.916667","-0.333333",NA
"8","2020-09-12 05:00:02-03","US","US","2893029","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Loreya","wurdackiana","Loreya wurdackiana","L. Alencar","599","1979","7","12","South America - Neotropics","Brazil","Amazonas","Collected along the Rio Negro between Manaus and São Gabriel. Along Rio Curicuriari and Igarapé Cariua to Cachoeira Piraiauara; igapó and caatinga.","-66.92","-0.33",NA,NA,"US02951853","US02951853_01",NA,"S.S. Renner",NA,NA,"1",NA,NA,NA,"Dicotyledonae"
"9","2020-09-12 05:00:02-03","US","US","2913634","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Loreya","wurdackiana","Loreya wurdackiana","J. M. Poole","2011","1979","7","14","South America - Neotropics","Brazil","Amazonas","Collected along the Rio Negro between Manaus and São Gabriel. Along Rio Cariua (Igarapé Branco) from Rio Curicuriari to Cachoeira de Bôto (C. Piraiauara); igapó and terra firme.","-66.92","-0.33",NA,NA,"US02951852","US02951852_01",NA,"S.S. Renner",NA,NA,"1",NA,NA,NA,"Dicotyledonae"
"10","2020-09-12 05:00:02-03","US","US","2891505","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Loreya","wurdackiana","Loreya wurdackiana","O. Nascimento","761","1978","10","26","South America - Neotropics","Brazil","Amazonas","Rio Negro, Rio Curicuari.",NA,NA,NA,NA,"US00074292","US00074292_01",NA,"S.S. Renner","Isotype",NA,"1",NA,NA,NA,"Dicotyledonae"
