"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","class","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","685370","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","longisetosa","Leandra longisetosa","Cogn.","R. Goldenberg","R. Goldenberg","790","2005","10","22","South America","Brazil","Paraná","Piraquara","Mananciais da Serra","-49.025191","-25.507967","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=894568' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685370","NY00685370_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","520889","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","longisetosa","Leandra longisetosa","Cogn.","R. Goldenberg","P. K. H. Dusén","6707","1908","09","11","South America","Brazil","Paraná","Ipiranga","Serra do Mar, Ypiranga","-50.5842","-25.0242","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=552887' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520889","NY00520889_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1017740","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","longisetosa","Leandra longisetosa","Cogn.","M. Reginato","R. A. A. Schnell","8258","1958","10","16","South America","Brazil","Rio de Janeiro",NA,"Serra dos Orgãos.","-43.073169","-22.496706","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1223022' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017740","NY01017740_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","03257236","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","multiplinervis","Leandra multiplinervis","(Naudin) Cogn.",NA,"P. Rosa","942","2016","08","10","South America","Brazil","Rio de Janeiro","Nova Friburgo","Area de Proteso Ambientai de Macaé de Cima. Macaé de Cima, sitio 03. Mata de encosta ùmida, na beira da trilha.","-42.5219","-22.4361","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3578851' target='other'> <mi>dwc_moreinfo</mi></a>","NY03257236",NA,"1108","1108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","520560","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","multiplinervis","Leandra multiplinervis","(Naudin) Cogn.","A. C. Brade","A. C. Brade","20103","1949","10","05","South America","Brazil","São Paulo","Bananal","Serra da Bocaina, Sertao do Rio Vermelho","-44.3423","-22.713676","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=586091' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520560","NY00520560_01","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02098745","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","multiplinervis","Leandra multiplinervis","(Naudin) Cogn.","M. Reginato","M. Reginato","1110","2010","01","20","South America","Brazil","Rio de Janeiro","Teresópolis","P. N. Serra dos Órgãos","-43.073169","-22.496706","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2084717' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098745","NY02098745_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","520563","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","multiplinervis","Leandra multiplinervis","(Naudin) Cogn.","J. J. Wurdack","E. Pereira","7210","1962","10","14","South America","Brazil","Rio de Janeiro",NA,"Serra dos Orgaos","-43.073169","-22.496706","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=586093' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520563","NY00520563_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02098917","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","multiplinervis","Leandra multiplinervis","(Naudin) Cogn.","M. Reginato","M. Reginato","1216","2011","02","10","South America","Brazil","Rio de Janeiro","Santa Maria Madalena","Trilha para o Alto do Desengano","-41.9112","-21.89375","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568188' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098917","NY02098917_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","03575014","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","multiplinervis","Leandra multiplinervis","(Naudin) Cogn.",NA,"G. Martinelli","19384","2016","08","10","South America","Brazil","Rio de Janeiro","Nova Friburgo","Area de Protecao Ambiental do Macae de Cirma. Macae de Cima, nascente do Rio das Flores, acima do Sitio Sophronitis, mata atlantica de altitude.","-42.5219","-22.4361","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3862792' target='other'> <mi>dwc_moreinfo</mi></a>","NY03575014",NA,"1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","520564","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","multiplinervis","Leandra multiplinervis","(Naudin) Cogn.","J. J. Wurdack","R. E. Braga","4","1954","08","18","South America","Brazil","Paraná",NA,"Serra do Mar. Mancial de aguas de Piraquara.","-48.94764","-25.484947","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=586097' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520564","NY00520564_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
