"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","coordinatePrecision","geoFlag","class","previousCatalogNumber","fieldNumber","individualCount","typeStatus","sex"
"1","2021-04-08 15:16:31-03","UNESC","CRI","12001","PreservedSpecimen","Plantae","Lycopodiaceae","Phlegmariurus","hexastichus","Phlegmariurus hexastichus","(B.Øllg. & P.G.Windisch) B.Øllg.","Gasper, AL","2009","12","02","Cadorin, TJ; Clemes, SM & Oliveira, C","2009","11","23","Brasil","Santa Catarina","Blumenau","Àrea Virgem do Parque Nacional da Serra do Itajaí","-49.139444","-27.096944","49º8'22''W","27º5'49''S","660","660","Doação Herbário FURB (17321) Habito: Epífita","CRI010147","CRI010147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","788961","PreservedSpecimen","Plantae","Lycopodiaceae","Huperzia","hexasticha","Huperzia hexasticha","B.Øllg. & P.G.Windisch","B. Øllgaard",NA,NA,NA,"J. A. Rohr","1957",NA,NA,"Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795177' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788961","NY00788961_01","Lycopodiophyta","Lycopodiales","s.n.","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","788966","PreservedSpecimen","Plantae","Lycopodiaceae","Huperzia","hexasticha","Huperzia hexasticha","B.Øllg. & P.G.Windisch","B. Øllgaard",NA,NA,NA,"K. Lems","1964","03","19","Brazil","Rio de Janeiro",NA,"Parque Nacional da Serra dos Orgaos near Theresopolis. Pedra do Sino, along trail between 1100 and 1700m.","-43.013889","-22.449167",NA,NA,"1100","1700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795196' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788966","NY00788966_01","Lycopodiophyta","Lycopodiales","s.n.","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","788967","PreservedSpecimen","Plantae","Lycopodiaceae","Huperzia","hexasticha","Huperzia hexasticha","B.Øllg. & P.G.Windisch","B. Øllgaard",NA,NA,NA,"F. C. Hoehne","1923","09","15","Brazil","São Paulo","Campos do Jordao",NA,"-45.59","-22.73",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795201' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788967","NY00788967_01","Lycopodiophyta","Lycopodiales","8709a","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","788965","PreservedSpecimen","Plantae","Lycopodiaceae","Huperzia","hexasticha","Huperzia hexasticha","B.Øllg. & P.G.Windisch","B. Øllgaard",NA,NA,NA,"C. Spannagel","1907",NA,NA,"Brazil","Santa Catarina","Sao Joaquim","Morro Pedro.","-49.9317","-28.2942",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795195' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788965","NY00788965_01","Lycopodiophyta","Lycopodiales","176","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","788962","PreservedSpecimen","Plantae","Lycopodiaceae","Huperzia","hexasticha","Huperzia hexasticha","B.Øllg. & P.G.Windisch","B. Øllgaard",NA,NA,NA,"J. N. Rose","1915","08","12","Brazil","Rio de Janeiro",NA,"Organ Mountains.","-43.073169","-22.496706",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795179' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788962","NY00788962_01","Lycopodiophyta","Lycopodiales","20797","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","788963","PreservedSpecimen","Plantae","Lycopodiaceae","Huperzia","hexasticha","Huperzia hexasticha","B.Øllg. & P.G.Windisch","B. Øllgaard",NA,NA,NA,"Illegible collector name","1921",NA,NA,"Brazil","Rio de Janeiro",NA,"Sa. dos Orgãos.","-43.073169","-22.496706",NA,NA,NA,NA,"E. Rosenstock, Filices brasiliensis <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795181' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788963","NY00788963_01","Lycopodiophyta","Lycopodiales","1764","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","788964","PreservedSpecimen","Plantae","Lycopodiaceae","Huperzia","hexasticha","Huperzia hexasticha","B.Øllg. & P.G.Windisch","B. Øllgaard; P. G. Windisch",NA,NA,NA,"A. C. Brade","1941","10","01","Brazil","Minas Gerais",NA,"Est. do Rio, Serra do Caparáo, Est. de Minas Gerais.",NA,NA,NA,NA,"1900","1900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795189' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788964","NY00788964_01","Lycopodiophyta","Lycopodiales","17092","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02553648","PreservedSpecimen","Plantae","Lycopodiaceae","Huperzia","hexasticha","Huperzia hexasticha","B.Øllg. & P.G.Windisch",NA,NA,NA,NA,"R. T. Shirasuna","1994","09","28","Brazil","São Paulo","Bananal","Serra da Bocaina. Mata de encosta.","-44.3199996948242","-22.6800003051758",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2803709' target='other'> <mi>dwc_moreinfo</mi></a>","NY02553648","NY02553648_01","Lycopodiophyta","Lycopodiales","72","South America","sheet","26795","auto",NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02553649","PreservedSpecimen","Plantae","Lycopodiaceae","Huperzia","hexasticha","Huperzia hexasticha","B.Øllg. & P.G.Windisch",NA,NA,NA,NA,"J. Prado","1996","03","21","Brazil","São Paulo","Campos do Jordão","São José dos Alpes, bifurcação para o Mirante.","-45.5900001525879","-22.7299995422363",NA,NA,"2200",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2803710' target='other'> <mi>dwc_moreinfo</mi></a>","NY02553649","NY02553649_01","Lycopodiophyta","Lycopodiales","778","South America","sheet","21048","auto",NA,NA,NA,NA,NA,NA
