"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","individualCount","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","67684","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Peixotoa","adenopoda","Peixotoa adenopoda","C.E.Anderson","isotype","J. A. de Jesus","392","1969","05","20","South America","Brazil","Bahia","Itabuna","Ba. saida de tiruçu/Maracás.","-39.2803","-14.7858","sheet","There is also a collection number for T. S. Santos No. 441. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=375425' target='other'> <mi>dwc_moreinfo</mi></a>","NY00067684","NY00067684_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","476275","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Peixotoa","adenopoda","Peixotoa adenopoda","C.E.Anderson",NA,"M. M. Arbo","7710","1997","01","23","South America","Brazil","Bahia","Maracás","Fazenda dos Passaros, 24 km al E de Maracás, camino a Itiruçu","-40.22","-13.47","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=741386' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476275","NY00476275_01","C. E. Anderson","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:32:51-03","MBM","MBM","105507","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","adenopoda","Peixotoa adenopoda","C.E. Anderson",NA,"Hatschbach, G.; Silva, J.M.; Silva, J.M.","50049",NA,NA,NA,"Southern America","Brazil","Bahia","Maracás","Gameleiras","-40.4308013916016","-13.4411001205444",NA,NA,"MBM105507","MBM105507","Anderson, C.",NA,NA,"50558","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","USw43174","PreservedSpecimen","Plantae",NA,"Polygalales","Malpighiaceae","Peixotoa","adenopoda","Peixotoa adenopoda","C.E. Anderson",NA,NA,"399","2013","6","9","South America","Brazil","Bahia","Maracás","Rodovia lateral àquela que leva à entrada de Maracás.","-40.4635","-13.5944","Wood Sample",NA,NA,NA,NA,"890",NA,NA,NA,"Dicotyledonae","1",NA,NA,NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","USw43172","PreservedSpecimen","Plantae",NA,"Polygalales","Malpighiaceae","Peixotoa","adenopoda","Peixotoa adenopoda","C.E. Anderson",NA,"M. R. Pace et al.","389","2013","6","9","South America","Brazil","Bahia","Boa Nova","Fazenda Bom Recreio, na região de Morro Verde, sentido Jequié-Maracás.","-40.2883","-13.7575","Wood Sample",NA,NA,NA,NA,"718",NA,NA,NA,"Dicotyledonae","1",NA,NA,NA,NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","3698052","PreservedSpecimen","Plantae",NA,"Polygalales","Malpighiaceae","Peixotoa","adenopoda","Peixotoa adenopoda","C.E. Anderson",NA,"M. R. Pace, A. M. Amorim, J. Lima & L. Daneu","387",NA,NA,NA,"South America - Neotropics","Brazil","Bahia","Boa Nova","Fazenda Bom Recreio, na região de Morro Verde, sentido Jequié-Maracás","-40.2858","-13.7569",NA,NA,"US01879697","US01879697_01 US01879697_02",NA,"751",NA,NA,NA,"Dicotyledonae","1",NA,NA,NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US",NA,"MachineObservation","Plantae",NA,"Polygalales","Malpighiaceae","Peixotoa","adenopoda","Peixotoa adenopoda","C.E. Anderson",NA,"M. R. Pace","389",NA,NA,NA,"South America - Neotropics","Brazil",NA,NA,NA,NA,NA,"Photograph",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA,NA,NA,NA
"8","2021-03-15 18:28:32-03","USP","SPF","211885","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","adenopoda","Peixotoa adenopoda","C.E.Anderson",NA,"Pace, MR; Amorim, AMA; Lima, J; Halla Daneu, LT","399","2013","06","09",NA,"Brasil","Bahia","Maracás","Rodovia lateral àquela que leva à entrada de Maracás.","-40.463472","-13.594417",NA,"Liana robusta, flores amarelas.","SPF00211885","SPF00211885","Amorim, AMA","890","890",NA,NA,NA,NA,"2013","06","10","-40.463472","-13.594417",NA
"9","2021-03-15 18:28:32-03","USP","SPF","211895","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","adenopoda","Peixotoa adenopoda","C.E.Anderson",NA,"Pace, MR; Amorim, AMA; Lima, J; Halla Daneu, LT","387","2013","06","09",NA,"Brasil","Bahia","Boa Nova","Fazenda Bom Recreio, na região de Morro Verde, sentido Jequié-Maracás.","-40.307778","-13.757056",NA,"Arbusto escandente crescendo em área aberta sob sol direto. Flores amarelo-vivo, frutos vermelhos, estípulas interpeciolares persistentes. Coleta de caule para estudos anatômicos.","SPF00211895","SPF00211895","Amorim, AMA","751","751",NA,NA,NA,NA,"2013","06","10","-40.307778","-13.757056",NA
"10","2021-03-15 18:28:32-03","USP","SPF","211892","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","adenopoda","Peixotoa adenopoda","C.E.Anderson",NA,"Pace, MR; Amorim, AMA; Lima, J; Halla Daneu, LT","389","2013","06","09",NA,"Brasil","Bahia","Boa Nova","Fazenda Bom Recreio, na região de Morro Verde, sentido Jequié-Maracás.","-40.288333","-13.7575",NA,"Liana robusta. Caule com variação cambial, cunhas de floema. Medula avermelhada. Flores amarelas. Coleta de caule para estudos anatômicos.","SPF00211892","SPF00211892","Amorim, AMA","718","718",NA,NA,NA,NA,"2013","06","10","-40.288333","-13.7575",NA
"11","2019-10-07 09:32:08-03","UEFS","HUEFS","14590","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Malpighiaceae","Peixotoa","adenopoda","Peixotoa adenopoda","C.E.Anderson",NA,"Ganev, W.","2003","1993","08","05",NA,"Brasil","Bahia","Rio do Pires",NA,"-42.366667","-13.766667",NA,NA,"HUEFS0014590","HUEFS0014590","C.Anderson","1100","1100",NA,NA,"Rosanae",NA,"1998","03",NA,"42W22'","13S46'",NA
"12","2019-10-07 09:32:08-03","UEFS","HUEFS","45332","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Malpighiaceae","Peixotoa","adenopoda","Peixotoa adenopoda","C.E.Anderson",NA,"Leite, K.R.B","55","2000","05","12",NA,"Brasil","Bahia","Mucugê","Garimpo do Engenho de Baixo.","-41.811111","-13.310556",NA,NA,"HUEFS0045332","HUEFS0045332","P.D.Carvalho","965","965",NA,NA,"Rosanae",NA,"2004","03",NA,"41W48'40''","13S18'38''",NA
"13","2019-10-07 09:32:08-03","UEFS","HUEFS","10839","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Malpighiaceae","Peixotoa","adenopoda","Peixotoa adenopoda","C.E.Anderson",NA,"Ganev, W.","396","1992","05","25",NA,"Brasil","Bahia","Abaíra",NA,"-41.816667","-13.316667",NA,NA,"HUEFS0010839","HUEFS0010839","C.Anderson","930","930",NA,NA,"Rosanae",NA,"1997","10",NA,"41W49'","13S19'",NA
"14","2019-10-07 09:32:08-03","UEFS","HUEFS","17063","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Malpighiaceae","Peixotoa","adenopoda","Peixotoa adenopoda","C.E.Anderson",NA,"Ganev, W.","3021","1994","02","21",NA,"Brasil","Bahia","Abaíra",NA,"-41.816667","-13.3",NA,NA,"HUEFS0017063","HUEFS0017063","C.Anderson","1000","1000",NA,NA,"Rosanae",NA,"1998","03",NA,"41W49'","13S18'",NA
"15","2019-10-07 09:32:08-03","UEFS","HUEFS","76211","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Malpighiaceae","Peixotoa","adenopoda","Peixotoa adenopoda","C.E.Anderson",NA,"Carneiro-Torres, D.S.","230","2002","05","17",NA,"Brasil","Bahia","Jequié","Morro Verde, sentido Jequié Contendas, entrando a 500 m por estrada de chão","-40.284722","-13.756667",NA,"Borda da Mata.","HUEFS0076211","HUEFS0076211","M.C.H.Mamede","2511","2511",NA,NA,"Rosanae",NA,"2004","09",NA,"40W17'5''","13S45'24''",NA
"16","2019-10-07 09:32:08-03","UEFS","HUEFS","76307","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Malpighiaceae","Peixotoa","adenopoda","Peixotoa adenopoda","C.E.Anderson",NA,"Macedo, G.E.L.","36","2002","05","18",NA,"Brasil","Bahia","Maracás","Entrada do Cruzeirinho.","-40.365833","-13.396111",NA,"Transição de caatinga para mata.","HUEFS0076307","HUEFS0076307","M.C.H.Mamede",NA,NA,NA,NA,"Rosanae",NA,"2004","09",NA,"40W21'57''","13S23'46''",NA
"17","2020-07-23 12:11:47-03","CEPLAC","CEPEC","8763","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","adenopoda","Peixotoa adenopoda",NA,"Paratipo","R. S. Pinheiro","1870","1972","07","08",NA,"Brasil","Bahia","ITIRUÇÚ","Rod. Itiruçu/Maracás.","-40.1502990722656","-13.5317001342773",NA,NA,NA,NA,"C. Anderson",NA,NA,"22271","auto",NA,NA,NA,NA,NA,"0W0'0","0S0'0","30/12/1982"
"18","2020-07-23 12:11:47-03","CEPLAC","CEPEC","5127","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","adenopoda","Peixotoa adenopoda",NA,"Holótipo","J. A. de Jesus","392","1998","05","28",NA,"Brasil","Bahia","ITIRUÇÚ","Saída de Itiruçu/Maracás.","-40.1502990722656","-13.5317001342773",NA,NA,NA,NA,"C. Anderson",NA,NA,"22271","auto",NA,NA,NA,NA,NA,"0W0'0","0S0'0","30/12/1982"
"19","2020-09-22 13:48:52-03","USP","SPFW","5952","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","adenopoda","Peixotoa adenopoda","C.Anderson",NA,"Pace, M.R. Amorim, A.M.; Lima, J.; Halla Daneu, L.T.","389","2013","06","09",NA,"Brasil","Bahia","Boa Nova",NA,"-40.288333","-13.7575",NA,NA,NA,NA,"A.M. Amorim","718","718",NA,NA,NA,NA,NA,NA,NA,"40º17'18,0''W","13º45'27,0''S",NA
"20","2021-04-08 17:12:54-03","UESB","HUESB","82","S","Plantae","Dicotyledoneae",NA,"Malpighiaceae","Peixotoa","adenopoda","Peixotoa adenopoda","C.E.Anderson",NA,"Macedo, G.E.L.; M.M.Silva Castro; D.S.Carneiro Torres; L.C.Senra.; M.M.Silva Castro; D.S.Carneiro Torres; L.C.Senra.","36","2002","05","18",NA,"Brasil","Bahia","Maracás","Entrada do cruzeirinho.","-40.365833","-13.396111",NA,"Arbustiva. Folha coriáceas. Flores amarelas, cálice verde com nectário verde na base do cálice, anteras e estigma amarelos. Sem fruto e sem semente.; Transição de Caatinga para Mata.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-40.365833","-13.396111",NA
"21","2021-04-08 17:12:54-03","UESB","HUESB","34","S","Plantae","Dicotyledoneae",NA,"Malpighiaceae","Peixotoa","adenopoda","Peixotoa adenopoda","C.E.Anderson",NA,"Carneiro-Torres, D.S.; M. M. da Silva- Castro, G Macedo; L. C. Senra; M. M. da Silva- Castro, G Macedo; L. C. Senra","230","2002","05","17",NA,"Brasil","Bahia","Jequié","Morro Verde, sentido Jequié Contendas, entrando a 500m por estrada de chão","-40.297222","-13.756667",NA,"Liana. Folhas coriáceas. Sépalas amarelo-esverdeada, elaiofóros verdes, pétalas amarelas, estilete, estigmas e estames amarelo-esverdeados.; Borda de mata",NA,NA,NA,"2511","2511",NA,NA,NA,NA,NA,NA,NA,"-40.297222","-13.756667",NA
