"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","individualCount","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","relatedCatalogItem","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","2862005","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","bapeba","Pouteria bapeba","T.D.Penn.","A. Alves-Araújo","W. W. Thomas","6915","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Southern Bahian moist forest.","-39.0617","-14.4231","sheet","Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=474389' target='other'> <mi>dwc_moreinfo</mi></a>","NY02862005","NY02862005_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-19 14:09:26-03","UFRPE","PEUFR","49217","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","bapeba","Pouteria bapeba","T.D. Penn.",NA,"G. E. L. Macedo; N. B. Souza","312",NA,"Brasil","Bahia","Jequié","Fazenda Brejo Novo, a 10,5 km da Avenida Otávio Mangabeira pela Exupério Miranda no Bairro do Mandacaru","-40.109417","-13.944833",NA,"Árvore de 7m. Folhas verde ferrugem.","PEUFR049217",NA,"2003","09","19","40°06'33,9''W","13°56'41,4''S","749","749",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2013-04-01 09:19:18-03","IPT","BCTW","19902","S","Plantae","Magnoliophyta",NA,NA,"Pouteria","bapeba","Pouteria bapeba","T.D. Penn.","Instituto Plantarum","Lorenzi, H.","2",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2012-11-29 11:31:00-02","MO","MOBOT","3360652","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","bapeba","Pouteria bapeba","T.D. Penn.","A. Alves-Araújo","I.A. Silva","Silva 108/79","South America","Brazil","Espírito Santo",NA,"Linharos, Reserva Florestal da CVRD Estr. 161, Km 2643 lado esquerdo.",NA,NA,NA,NA,NA,NA,"1979","11","6",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-07-10 09:49:21-03","MBML","MBML-HERBARIO","47949",NA,"Plantae",NA,NA,"Sapotaceae","Pouteria","aff. bapeba","Pouteria aff. bapeba","T. D. Penn.","D.A. Folli/28-04-1993","D. A. Folli","343",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural da Vale","-40.0722007751465","-19.3910999298096",NA,"Nome vulgar: Bapeba branca. Mata de tabuleiro. Estrada Mac. Pele de Sapo. Arbóreo, terrestre, botão e flor verde, cor exsudação branco e descamação em Ripas. 2100m. Fuste sulcado. Superfície da casca sulcada. Altura total 24m, fuste 12","MBML047949",NA,"1981","11","11",NA,NA,NA,NA,NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA
"6","2020-07-10 09:49:21-03","MBML","MBML-HERBARIO","47976",NA,"Plantae",NA,NA,"Sapotaceae","Pouteria","aff. bapeba","Pouteria aff. bapeba","T.D. Penn.","D.A. Folli/26-08-1993","G. L. Farias","492",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural da Vale - Ao lado do aceiro","-40.0722007751465","-19.3910999298096",NA,"Nome vulgar: Bapeba branca. Mata de Tabuleiro. Estrada Parajú. Arbóreo, terrestre, fruto maduro amarelo e imaturo verde. Cor exsudação branco e descamação em Ripas. 680m. Fuste Sulcado. Superfície da casca sulcada. Altura total 22m, fu","MBML047976",NA,"1992","02","25",NA,NA,NA,NA,NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA
"7","2020-07-10 09:49:21-03","MBML","MBML-HERBARIO","47977",NA,"Plantae",NA,NA,"Sapotaceae","Pouteria","aff. bapeba","Pouteria aff. bapeba","T.D. Penn.","D.A. Folli/28-10-1992","D. A. Folli","342",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural da Vale - Próximo ao Escritório Técnico","-40.0722007751465","-19.3910999298096",NA,"Nome vulgar: Bapeba branca. Mata de Tabuleiro. Estrada Cinco Folhas. Arbóreo, terrestre, botão e flor verde. Cor exsudação branco e descamação em Ripas. Fuste Sulcado. Superfície da casca sulcada. Altura total 24m, fuste 10m, Cap fuste","MBML047977",NA,"1981","11","11",NA,NA,NA,NA,NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA
"8","2020-07-10 09:49:21-03","MBML","MBML-HERBARIO","19654",NA,"Plantae",NA,NA,"Sapotaceae","Pouteria","bapeba","Pouteria bapeba","T.D.Penn.","A. Alves Araújo/25-03-2014","R.R. Vervloet; et al","1807",NA,"Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,"Árvore com 20m, frutos imaturos de cor verde, fundo de vale, dossel de 20m, planta com látex branco.","MBML019654",NA,"2003","02","12","40W33'11","19S54'27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-07-10 09:49:21-03","MBML","MBML-HERBARIO","13770",NA,"Plantae",NA,NA,"Sapotaceae","Pouteria","cf. bapeba","Pouteria cf. bapeba","T.D.Penn.","A. Alves Araújo/26-08-2016","V. Demuner; et al","1465",NA,"Brasil","Espírito Santo","Santa Teresa","Santo Antônio","-40.589167","-19.922222",NA,"Árvore 20m, DAP 40cm, fuste 15m, botões florais e flores sépalas marrom, pétalas brancas. Látex branco. Interior de mata, terreno plano.","MBML013770",NA,"2000","10","24","40W35'21","19S55'20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-07-10 09:49:21-03","MBML","MBML-HERBARIO","9097",NA,"Plantae",NA,NA,"Sapotaceae","Pouteria","cf. bapeba","Pouteria cf. bapeba","T.D.Penn.","A. Alves Araújo/26-08-2016","L. Kollmann; E. Bausen & W. Pizziolo","1072",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica Caixa D'Água","-40.6075","-19.931389",NA,"Mata de encosta. Árvore 11m. DAP 22cm. Fuste 7m. Flores brancas. Sépalas ferrugíneas.","MBML009097",NA,"1998","11","24","40W36'27","19S55'53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
