"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","dayIdentified","class","relatedCatalogItem"
"1","2020-09-23 10:43:20-03","E","E","277673","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","oxypetala","Pouteria oxypetala","Davis, P.H., Shepherd, G.J., Makino, H., Silvestre, M.S. & Jung, S.L.","1976","08","22","E. Tropical South America","BR","Sao Paulo","Between Ubatuba and Caraguatuba.","herbarium specimen of unspecif","BGBASE:327197","<a href=http://data.rbge.org.uk/herb/E00277673 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00277673",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","375422","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","oxypetala","Pouteria oxypetala","B. Luschnath","1841",NA,NA,"South America","Brazil","Bahia","Label illegible","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339538' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375422","Magnoliophyta","Ericales","T.D.Penn.","A. Alves-Araújo","39","NY00375422_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00749557","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","oxypetala","Pouteria oxypetala","P. Fiaschi","2004","09","04","South America","Brazil","Bahia","Estrada Valença-Guaibim, ca. 2 km, entrada à esquerda, 8 km, ramo vicinal á esquerda. RPPN Agua Branca","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=899587' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749557","Magnoliophyta","Ericales","T.D.Penn.","A. Alves-Araújo","2506","NY00749557_01","Valença","-39.0902778","-13.3288889","220","220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","375423","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","oxypetala","Pouteria oxypetala","S. A. Mori","1981","05","10","South America","Brazil","Bahia","Road from Olivença to Maruim, 6-8km W of Olivença","sheet",NA,"Photo <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339564' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375423","Magnoliophyta","Ericales","T.D.Penn.","A. Alves-Araújo","13922","NY00375423_01","Ilhéus","-39.0492","-14.7892","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","375478","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","oxypetala","Pouteria oxypetala","M. Sobral","1987","03",NA,"South America","Brazil","Bahia","Ramal a Vila Brasil km 28 rod. Una-Ilhéus. Em beira de mata litoranea proxima a ponte sobre o rio Jacuipe","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=340640' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375478","Magnoliophyta","Ericales","T.D.Penn.","A. Alves-Araújo","5533","NY00375478_01","Ilhéus","-39.0492","-14.7892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","375413","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","oxypetala","Pouteria oxypetala","W. W. Thomas","1994","02","05","South America","Brazil","Bahia","5.4 km west of Olivença on road to Vila Brasil & Maruim.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339544' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375413","Magnoliophyta","Ericales","T.D.Penn.","A. Alves-Araújo","10282","NY00375413_01","Ilhéus","-39.035","-14.2578",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","885040","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","oxypetala","Pouteria oxypetala","H. de F. Leitão Filho","1970","09","23","South America","Brazil","São Paulo","Km 245 da estrada Ubatuba-Caraquatatuba (Serra).","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971172' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885040","Magnoliophyta","Ericales","T.D.Penn.","T. D. Pennington","1048","NY00885040_01",NA,NA,NA,NA,NA,"holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01095644","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","oxypetala","Pouteria oxypetala","W. W. Thomas","1994","02","05","South America","Brazil","Bahia","5.4 km west of Olivença on road to Vila Brasil & Maruim.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1513489' target='other'> <mi>dwc_moreinfo</mi></a>","NY01095644","Magnoliophyta","Ericales","T.D.Penn.","A. Alves-Araújo","10282","NY01095644_01 NY01095644_02","Ilhéus","-39.035","-14.2578",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:41:10-03","UNICAMP","UEC","161067","S","Plantae","Sapotaceae","Pouteria","oxypetala","Pouteria oxypetala","Stefani, EJF; Belinello, R; Galvão, J","2010","06","02",NA,"Brazil","São Paulo","Parque Estadual da Serra do Mar.",NA,NA,"Árvore com 10m.; Mata Atlântica.","UEC031120","Magnoliopsida",NA,"T.D.Penn.","Stefani, EJF","170","UEC031120","Caraguatatuba","-45.503056","-23.631944","50","90",NA,"2010","12","-45.503056","-23.631944",NA,NA,NA,NA,NA
"10","2021-03-01 16:41:10-03","UNICAMP","UEC","667898","S","Plantae","Sapotaceae","Pouteria","oxypetala","Pouteria oxypetala","Queiroz, JM; et al.","1993","11","12",NA,"Brazil","São Paulo","Estação experimental do I.A.C.",NA,NA,"Árvore de 9 m, frutos com pelos ferrugíneos.","UEC031118","Magnoliopsida",NA,"T.D.Penn.","Carneiro, CE","30142","UEC031118","Ubatuba","-45.116667","-23.416667",NA,NA,NA,"1996","07","-45.116667","-23.416667",NA,NA,NA,NA,NA
