"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","class","coordinatePrecision","geoFlag","fieldNumber","individualCount","typeStatus","previousCatalogNumber"
"1","2021-04-08 15:16:32-03","UNESC","CRI","4065","PreservedSpecimen","Plantae","Salicaceae","Abatia","angeliana","Abatia angeliana","M.H.Alford","Sobral, M.","1989","12","27","Jarenkow, J. A.","1989","12","27","Brasil","Rio Grande do Sul","Marcelino Ramos","Mata pluvial na beira do rio","-51.908611","-27.467222","51º54'31''W","27º28'2''S","Substrato em clareira de mata pluvial, flores com perianto amarelo.","CRI013795","CRI013795",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","374660","PreservedSpecimen","Plantae","Salicaceae","Aphaerema","spicata","Aphaerema spicata","Miers","H. O. Sleumer",NA,NA,NA,"R. Reitz","1958","12","17","Brazil","Santa Catarina","Lauro Muller","Pinhal da Companhia, Lauro Muller-Urussanga","-49.3967","-28.3931",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=581610' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374660","NY00374660_01","Magnoliophyta","Malpighiales","8085","South America","300","300","sheet",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","374659","PreservedSpecimen","Plantae","Salicaceae","Aphaerema","spicata","Aphaerema spicata","Miers","H. O. Sleumer",NA,NA,NA,"L. B. Smith","1964","12","19","Brazil","Santa Catarina","Sao Miguel do Oeste","North bank of Rio das flores","-53.62","-26.58",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=581612' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374659","NY00374659_01","Magnoliophyta","Malpighiales","14160","South America","500","600","sheet",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","374653","PreservedSpecimen","Plantae","Salicaceae","Aphaerema","spicata","Aphaerema spicata","Miers","L. B. Smith",NA,NA,NA,"R. Reitz","1965","12","14","Brazil","Paraná","Guarapuava","10 km ao oeste de Guarapuava","-51.5831495","-25.394435",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=581614' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374653","NY00374653_01","Magnoliophyta","Malpighiales","17635","South America","1100","1100","sheet",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","374654","PreservedSpecimen","Plantae","Salicaceae","Aphaerema","spicata","Aphaerema spicata","Miers","P. C. Standley",NA,NA,NA,"R. Reiss","1934","12","05","Brazil","Paraná","Ipiranga","Ypiranga","-50.5842","-25.0242",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=581613' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374654","NY00374654_01","Magnoliophyta","Malpighiales","103","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","374656","PreservedSpecimen","Plantae","Salicaceae","Aphaerema","spicata","Aphaerema spicata","Miers","H. O. Sleumer",NA,NA,NA,"R. M. Klein","1957","01","11","Brazil","Santa Catarina","Palhoça","Piloes","-48.694057","-27.77489",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=581609' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374656","NY00374656_01","Magnoliophyta","Malpighiales","2153","South America","200","200","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","374652","PreservedSpecimen","Plantae","Salicaceae","Aphaerema","spicata","Aphaerema spicata","Miers","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","1972","12","19","Brazil","Paraná","Campina Grande do Sul","Figueira, Rio Capivari","-49.0553","-25.3058",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=581617' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374652","NY00374652_01","Magnoliophyta","Malpighiales","31008","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","374658","PreservedSpecimen","Plantae","Salicaceae","Aphaerema","spicata","Aphaerema spicata","Miers","S. F. Smith; A. Goldberg",NA,NA,NA,"R. A. Wasum","1989","03","04","Brazil","Rio Grande do Sul","Caxias do Sul","Conceiçao","-51.1792","-29.1683",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=581608' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374658","NY00374658_01","Magnoliophyta","Malpighiales",NA,"South America","750","750","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","374661","PreservedSpecimen","Plantae","Salicaceae","Aphaerema","spicata","Aphaerema spicata","Miers","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","1968","12","10","Brazil","Paraná","Laranjeiras do Sul","Km. 127","-52.4158","-25.4081",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=581616' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374661","NY00374661_01","Magnoliophyta","Malpighiales","20624","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","374655","PreservedSpecimen","Plantae","Salicaceae","Aphaerema","spicata","Aphaerema spicata","Miers","L. B. Smith",NA,NA,NA,"L. B. Smith","1952","03","14","Brazil","Santa Catarina","Palhoça","Piloes","-48.67","-27.67",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=581615' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374655","NY00374655_01","Magnoliophyta","Malpighiales","6230","South America","50","700","sheet",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","374657","PreservedSpecimen","Plantae","Salicaceae","Aphaerema","spicata","Aphaerema spicata","Miers","H. O. Sleumer",NA,NA,NA,"L. B. Smith","1956","12","26","Brazil","Santa Catarina","Chapecó","Rio Capetinga, pinheiral, Fazenda Campo Sao Vicente, 24 km west of Campo Erê","-53.18","-26.37",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=581611' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374657","NY00374657_01","Magnoliophyta","Malpighiales","9555","South America","900","1000","sheet",NA,NA,NA,NA,NA,NA,NA
"12","2019-10-09 11:24:16-03","UFBA","ALCB","55782","PreservedSpecimen","Plantae","Salicaceae","Aphaerema","spicata","Aphaerema spicata","Miers","Tressens","2001",NA,NA,"Keller, HA","2001","12","26","Argentina","Misiones","Dep. Guaraní","prédio Guaraní. Camino a arroyo Paraíso. Interior de selva, a 15m del arroyo.","-54.205","-26.916389","-54.205","-26.916389","flores amarillas.","ALCB044430","ALCB044430","Dicotyledon",NA,"498","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 09:50:36-03","NBC","NL-BOTANY","L.2436929","PreservedSpecimen","Plantae","Flacourtiaceae","Aphaerema","spicata","Aphaerema spicata","Miers",NA,NA,NA,NA,"Reitz R; Klein RM","1958","12","17","Brazil",NA,NA,"Santa Catarina, Pinhal da Campanhia, Lauro Müller-Urussanga.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2436929 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2436929","NL-L2436929",NA,"Malpighiales",NA,"Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
