"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","geoFlag","continentOcean","imagecode","phylum","class","typeStatus","relatedCatalogItem"
"1","2021-03-24 17:08:27-03","UFES","SAMES","50","PreservedSpecimen","Plantae","Acanthaceae","Odontonema","dissitiflorum","Odontonema dissitiflorum","(Nees) Kuntze","Wasshausen,N.C.","1991","09","03","Hoffmann,W.A.","90","1984","05","10","Brasil","Espírito Santo","Santa Teresa","Sítio do Dr. Pedro.","-40.6002998352051","-19.9356002807617","-405983333.0","-199369444.0","23813","700","700","Arbusto de aproximadamente 1,5m, flor rosa, solo barro escuro, altitude de 700m.","SAMES00050","auto",NA,NA,NA,NA,NA,NA
"2","2020-04-27 16:08:26-03","UFES","VIES","29861","S","Plantae","Acanthaceae","Odontonema","dissitiflorum","Odontonema dissitiflorum","(Nees) Kuntze","Wasshausen, N.C.","1991","09","03","Hoffmann, W.A.","90","1984","05","10","Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617",NA,NA,"23813","700","700",NA,"VIES029861","auto",NA,NA,NA,NA,NA,NA
"3","2020-06-18 10:55:19-03","UFRRJ","RBR","46824","S","Plantae","Acanthaceae","Odontonema","dissitiflorum","Odontonema dissitiflorum","(Nees) Kuntze","D.M. Braz","2008",NA,NA,"D.M. Braz","173","2008","07",NA,"Brasil","Rio de Janeiro","Paracambi",NA,"-43.7092018127441","-22.6107997894287",NA,NA,"13366",NA,NA,NA,"RBR00046824","auto",NA,NA,NA,NA,NA,NA
"4","2020-06-18 10:55:19-03","UFRRJ","RBR","38355","S","Plantae","Acanthaceae","Odontonema","dissitiflorum","Odontonema dissitiflorum","(Nees) Kuntze","D.M. Braz","2015","03","13","D.M. Braz; I.A.A. Silva, J.F. Rocha, S. A. Martim","507","2015","03","13","Brasil","Rio de Janeiro","Paracambi","No início da trilha principal, ao lado direito, próximo a primeira ruína. Parque Natural Municipal do Curió","-43.7092018127441","-22.6107997894287",NA,NA,"13366",NA,NA,NA,"RBR00038355","auto",NA,NA,NA,NA,NA,NA
"5","2020-06-18 10:55:19-03","UFRRJ","RBR","46836","S","Plantae","Acanthaceae","Odontonema","dissitiflorum","Odontonema dissitiflorum","(Nees) Kuntze","D.M. Braz","2008",NA,NA,"D.M. Braz","162","2008","04",NA,"Brasil","Rio de Janeiro","Paracambi",NA,"-43.7092018127441","-22.6107997894287",NA,NA,"13366",NA,NA,NA,"RBR00046836","auto",NA,NA,NA,NA,NA,NA
"6","2020-06-29 09:28:59-03","UFRRJ","RBR","46837","S","Plantae","Acanthaceae","Odontonema","dissitiflorum","Odontonema dissitiflorum","(Nees) Kuntze","D.M. Braz","2007","05","03","D.M. Braz; V.C. Cysneiros, D.V. Figueiredo, J.F. Rocha, M.E. Fraga, D.S. Pinto, T. Silvério","110","2007","04","09","Brasil","Rio de Janeiro","Paracambi","No entorno do Parque, em bifurcação da estrada no caminho para Mendes. Parque Natural Municipal do Curió","-43.7092018127441","-22.6107997894287",NA,NA,"13366",NA,NA,NA,"RBR00046837","auto",NA,NA,NA,NA,NA,NA
"7","2020-06-18 10:55:19-03","UFRRJ","RBR","33721","S","Plantae","Acanthaceae","Odontonema","dissitiflorum","Odontonema dissitiflorum","(Nees) Kuntze","D.M. Braz","2009","03","18","D.M. Braz; A.H.N. Souza, M.E. Fraga, R.L. Marinot","158","2009","03","18","Brasil","Rio de Janeiro","Paracambi","No entorno do Parque, próximo a estrada no caminho para Mendes, a meia-sombra. Parque Natural Municipal do Curió","-43.7092018127441","-22.6107997894287",NA,NA,"13366",NA,NA,NA,"RBR00033721","auto",NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:11:01-03","MBM","MBM","313835","PreservedSpecimen","Plantae","Acanthaceae","Odontonema","dissitiflorum","Odontonema dissitiflorum","(Nees) Kuntze",NA,NA,NA,NA,"Silva-Neto, S.J.","631","1995","06","20","Brazil","Rio de Janeiro","Nova Iguaçu","Próximo ao Palmital.","-43.451099395752","-22.7591991424561",NA,NA,"25743",NA,NA,"Erva ombrófila, ca. 60cm; folhas discolores cartáceas; botões alvos; flores com cálice verde e corola vermelha.","MBM313835","auto","Southern America","MBM313835",NA,NA,NA,NA
"9","2018-04-19 15:15:11-03","UNIOESTE","UNOP","7973","S","Plantae","Acanthaceae","Odontonema","dissitiflorum","Odontonema dissitiflorum","(Nees) Kuntze","Temponi, L.G.; Cardozo, A.P.","2013","05",NA,"Olguin, C.F.A.; Cornelius, M.T.F.; Cornelius, M.T.F.","22","2012","06","19","Brasil","Paraná","Toledo","Próximo a Sangra Funda","-53.7430992126465","-24.7136001586914",NA,NA,"31095",NA,NA,"Arbusto. Folhas grandes. Inflorescência na forma de espiga. Flores vermelhas.",NA,"auto",NA,NA,NA,NA,NA,NA
"10","2020-07-10 09:43:08-03","MBML","MBML-HERBARIO","11962",NA,"Plantae","Acanthaceae","Odontonema","dissitiflorum","Odontonema dissitiflorum","(Nees) Kuntz","S. Profice",NA,NA,NA,"Cintia C. Chamas; et al","154","1994","04","27","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","40W31'49","19S58'17",NA,NA,NA,"arbusto, sem ramificação, folha verde escuro, bractea floral verde. Flor vermelha, sombra.","MBML011962",NA,NA,"MBML011962",NA,NA,NA,NA
