"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","stateProvince","imagecode","scientificNameAuthorship","identifiedBy","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","typeStatus","individualCount","fieldNumber","infraspecificEpithet"
"1","2020-09-23 10:39:32-03","E","E","161847","PreservedSpecimen","Plantae","Gramineae","Acroceras","zizanioides","Acroceras zizanioides","Kirkbride, J.H., Meirelles, M.L. & Carvalho Leite, S.L.","3235","1980","02","05","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:170128","<a href=http://data.rbge.org.uk/herb/E00161847 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161847",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-30 02:18:00-03","NY","NYBG","1134100","PreservedSpecimen","Plantae","Poaceae","Acroceras","zizanioides","Acroceras zizanioides","G. A. Black","47-913",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400308' target='other'> <mi>dwc_moreinfo</mi></a>","NY01134100","Magnoliophyta","Poales","Pará","NY01134100_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1134093","PreservedSpecimen","Plantae","Poaceae","Acroceras","zizanioides","Acroceras zizanioides","R. Spruce","1161",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400233' target='other'> <mi>dwc_moreinfo</mi></a>","NY01134093","Magnoliophyta","Poales","Pará","NY01134093_01","(Kunth) Dandy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-11-01 12:31:00-02","NY","NYBG","764157","PreservedSpecimen","Plantae","Poaceae","Acroceras","zizanioides","Acroceras zizanioides","M. Borgo","364","1999","01","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=460776' target='other'> <mi>dwc_moreinfo</mi></a>","NY00764157","Magnoliophyta","Poales","Paraná","NY00764157_01",NA,"M. Borgo","Guaratuba","Lagoa do Parado","-48.77","-25.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-11-01 12:31:00-02","NY","NYBG","604779","PreservedSpecimen","Plantae","Poaceae","Acroceras","zizanioides","Acroceras zizanioides","R. Reitz","5808","1957","12","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=460762' target='other'> <mi>dwc_moreinfo</mi></a>","NY00604779","Magnoliophyta","Poales","Santa Catarina","NY00604779_01",NA,NA,"Sao Francisco do Sul","Três Barras, Garuva, S. Francisco do Sul","-48.6381","-26.2433","10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00837620","PreservedSpecimen","Plantae","Poaceae","Acroceras","zizanioides","Acroceras zizanioides","E. P. Heringer","6781","1981","04","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931038' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837620","Magnoliophyta","Poales","Distrito Federal","NY00837620_01","(Kunth) Dandy","T. de S. Filgueiras","Brasília","Bacia do Rio São Bartolomeu","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-11-01 11:27:00-02","NY","NYBG","00837645","PreservedSpecimen","Plantae","Poaceae","Acroceras","zizanioides","Acroceras zizanioides","G. Davidse","11473","1976","03","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931041' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837645","Magnoliophyta","Poales","Minas Gerais","NY00837645_01",NA,NA,NA,"Ca. 27 km SE of Coroaci along Highway MG-109.",NA,NA,"350","350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-30 02:18:00-03","NY","NYBG","1099903","PreservedSpecimen","Plantae","Poaceae","Acroceras","zizanioides","Acroceras zizanioides","J. W. H. Trail","1236",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399981' target='other'> <mi>dwc_moreinfo</mi></a>","NY01099903","Magnoliophyta","Poales","Amazonas","NY01099903_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","608537","PreservedSpecimen","Plantae","Poaceae","Acroceras","zizanioides","Acroceras zizanioides","G. T. Prance","24660","1977","03","03","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=460772' target='other'> <mi>dwc_moreinfo</mi></a>","NY00608537","Magnoliophyta","Poales","Loreto",NA,"(Kunth) Dandy","G. Davidse",NA,"Quebrada Cayaru, Río Marañon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-11-01 12:31:00-02","NY","NYBG","604778","PreservedSpecimen","Plantae","Poaceae","Acroceras","zizanioides","Acroceras zizanioides","R. F. de Oliveira","308","1976","12","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=460778' target='other'> <mi>dwc_moreinfo</mi></a>","NY00604778","Magnoliophyta","Poales","Rio de Janeiro","NY00604778_01",NA,"S. A. Renvoize","Paratí","Parati-mirim","-44.639187","-23.242091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
