"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","occurrenceRemarks","barcode","imagecode","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","verbatimLongitude","verbatimLatitude","class","order","individualCount","sex"
"1","2019-02-15 11:35:41-02","IPA","IPA","8612","S","Plantae","Plantae","Bromeliaceae","Vriesea","cearensis","Vriesea cearensis","L.B. Sm.","Smith, L.B.","1960","TYPUS","Andrade-Lima","55-2385","1955","11","24","Southern America","Brasil","Ceará","Serra de Maranguape","Epífita (Phytologia 7(5):225.1960).","IPA0008612","IPA0008612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-21 19:40:03-03","UFC","EAC","51926","PreservedSpecimen","Plantae","Monocotyledon","Bromeliaceae","Vriesea","cearensis","Vriesea cearensis","L.B. Sm.","Fortunato, M.E.M.","2011",NA,"Fortunato, M.E.M.","57","2011","03","26","Southern America","Brasil","Ceará","Pico da Rajada","Erva, epífita; flor amarela; fruto seco.; Floresta de altitude","EAC0051926","EAC0051926","03","26","Maranguape","-38.6856002807617","-3.89083003997803","40608","920","920","auto",NA,NA,NA,NA,NA,NA
"3","2021-03-21 19:40:03-03","UFC","EAC","33790","PreservedSpecimen","Plantae","Monocotyledon","Bromeliaceae","Vriesea","cearensis","Vriesea cearensis","L.B. Sm.","Monteiro, F.J.S.","2004",NA,"Monteiro, F.J.S.","s.n.","2004","03","14","Southern America","Brasil","Ceará","Serra de Maranguape, Pico da Pedra Rajada.","Epífita. indivíduo com inflorescência.","EAC0033790","EAC0033790","03","14","Maranguape","-38.6856002807617","-3.89083003997803","40608",NA,NA,"auto",NA,NA,NA,NA,NA,NA
"4","2021-03-21 19:40:03-03","UFC","EAC","39861","PreservedSpecimen","Plantae","Monocotyledon","Bromeliaceae","Vriesea","cearensis","Vriesea cearensis","L.B. Sm.","Martinelli, G.","2003",NA,"Martinelli, G.; Barbará, T.; Lima-Verde, L.W.","18069","1998","08","16","Southern America","Brasil","Ceará","Serra de Maranguape, Picada p/ Pedra da Rajada.","Epífeta, ciófila; populações pouco frequênte, folhas verdes com indumento alvascento puberulento; infl. com escapo verde, brácteas escapais paleáceas, brácteas primárias paleáceas, brácteas florais peláceas, frutos imaturos com cápsu","EAC0039861","EAC0039861_1 EAC0039861_2",NA,NA,"Maranguape","-38.725833","-3.903056",NA,"800","950",NA,"-38.725833","-3.903056",NA,NA,NA,NA
"5","2021-03-21 19:40:03-03","UFC","EAC","46905","PreservedSpecimen","Plantae","Monocotyledon","Bromeliaceae","Vriesea","cearensis","Vriesea cearensis","L.B. Sm.",NA,NA,NA,"Monteiro, F.J.S.","F121","2008","05","04","Southern America","Brasil","Ceará","Trilha da Pedra da Rajada",NA,"EAC0046905","EAC0046905_1 EAC0046905_2",NA,NA,"Maranguape","-38.721167","-3.893111",NA,"891","891",NA,"-38.721167","-3.893111",NA,NA,NA,NA
"6","2021-03-21 19:40:03-03","UFC","EAC","49327","PreservedSpecimen","Plantae","Monocotyledon","Bromeliaceae","Vriesea","cearensis","Vriesea cearensis","L.B. Sm.","Lima-Verde, L.W.","2006",NA,"Lima-Verde, L.W.","3405A","2006","02","05","Southern America","Brasil","Ceará","Sítio Olho d'Água dos Tangarás, Pacoti (sede)","Herbácea, epífita, fruto verde-castanho, Planta originária de cultivo da serra de maranguape; Mata ombrófila","EAC0049327","EAC0049327","02","05","Pacoti","-38.916528","-4.235528",NA,"820","820",NA,"-38.916528","-4.235528",NA,NA,NA,NA
"7","2021-03-21 19:40:03-03","UFC","EAC","50542","PreservedSpecimen","Plantae","Monocotyledon","Bromeliaceae","Vriesea","cearensis","Vriesea cearensis","L.B. Sm.","Lima-Verde, L.W.","2003",NA,"Lima-Verde, L.W.","2441","2003","02","13","Southern America","Brasil","Ceará","Próx. ao Pico da Rajada, topo sa. Maranguape","Erva; epífito.; Mata úmida","EAC0050542","EAC0050542_1 EAC0050542_2","02","13","Maranguape","-38.723556","-3.900528",NA,"920","920",NA,"-38.723556","-3.900528",NA,NA,NA,NA
"8","2014-11-06 16:16:45-02","UFPB","EAN","6833","S","Plantae",NA,"Bromeliaceae","Vriesea","cearensis","Vriesea cearensis","L.B.Simth.","M. G. Marturelly","1998",NA,"L. P. Felix; D. D. Pereira","4655","1992","01","06",NA,"Brasil","Ceará",NA,NA,NA,NA,"08",NA,"Maranguape","-38.6856","-3.89083","40608",NA,NA,"auto",NA,NA,NA,NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","2338309","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","cearensis","Vriesea cearensis","L.B. Sm.",NA,NA,"Isotype","D. A. Lima","55-2385","1955","11","24","South America - Neotropics","Brazil","Ceará","Serra de Maranguape.",NA,"US00091163","US00091163_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","Bromeliales","1",NA
"10","2021-04-05 12:31:21-03","UNIVASF","HVASF","428","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","cearensis","Vriesea cearensis","L.B.Sm.","J.A. Siqueira Filho","2006",NA,"J.A. Siqueira Filho","1858","2006","12","16","América do Sul","Brasil","Ceará","Serra de Maranguape, Pico da Rajada","Planta saxícola, rara. Flores de cor creme noturnas. Material cultivado no Bromeliário Biouniverso BBIO 698","HVASF000428","HVASF000428_v01 HVASF000428_v02 HVASF000428_v03 HVASF000428_v04","12","16","Caucaia",NA,NA,NA,"968","968",NA,"9999.000000","9999.000000",NA,NA,NA,"U"
