"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","individualCount","infraspecificEpithet","relatedCatalogItem","previousCatalogNumber"
"1","2021-04-05 14:33:47-03","UNESC","CRI","1714","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","calumbaensis","Myrcia calumbaensis","Kiaersk.","Marcos Sobral","V. Citadini-Zanette; C. M. Martinello & A. J. de Aguiar","1695","1992","03","13","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","Habitat: beira do rio, calha principal Habito: árvore","CRI005300","CRI005300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:40-03","UNESC","CRI","9215","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubiflora","Myrcia pubiflora","DC.",NA,"Birgit Harter Marques",NA,"2007","06","20","Brasil","Santa Catarina","Siderópolis","Sítio Sete Lombas.","-49.425278","-28.598889","49º25'31''W","28º35'56''S",NA,NA,NA,"CRI005385","CRI005385",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:40-03","UNESC","CRI","3508","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubiflora","Myrcia pubiflora","DC.","Marcos Sobral","Robson dos Santos","75","1994","05","03","Brasil",NA,"Brasil","Proximidades da Escola Técnico Federal Agrícola.","-49.7","-29.133333","49º42'W","29º8'S","30","30",NA,"CRI005302","CRI005302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:40-03","UNESC","CRI","10277","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubiflora","Myrcia pubiflora","DC.","M. Sobral","Vanilde C. Zanette; Robson dos Santos & Marcos Sobral",NA,"2004","11","17","Brasil","Santa Catarina","Criciúma","UNESC.","-49.37","-28.678056","49º22'12''W","28º40'41''S","48","48",NA,"CRI005383","CRI005383","2004","11","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:47-03","UNESC","CRI","11730","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubiflora","Myrcia pubiflora","DC.","Rafael Martins","Marciel Bonfi Fernandes","49","2007","11","29","Brasil","Santa Catarina","Turvo",NA,"-49.681944","-28.928056","49º40'55''W","28º55'41''S","30","30","Habito: árvore","CRI005386","CRI005386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:40-03","UNESC","CRI","3501","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubiflora","Myrcia pubiflora","DC.","Marcos Sobral","Robson dos Santos","7","1994","04","06","Brasil","Santa Catarina","Içara","Esplanada.","-49.3","-28.7","49º18'W","28º42'S","5","5",NA,"CRI005301","CRI005301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","615955","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","calumbaensis","Myrcia calumbaensis","Kiaersk.","C. M. D. E. Legrand","R. Reitz","9657","1960","05","13","Brazil","Santa Catarina","Sombrio","Sanga da Areia, Sombrio","-49.766476","-29.084523",NA,NA,"10","10","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=417540' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615955","NY00615955_01",NA,NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","778811","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubiflora","Myrcia pubiflora","DC.","M. Sobral","S. C. de Sant'Ana","905","2000","06","02","Brazil","Bahia","Una","Reserva Bioloógica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA 001 Ilhéus/Una","-39.08","-15.15",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798825' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778811","NY00778811_01",NA,NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","518026","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubiflora","Myrcia pubiflora","DC.","M. Sobral","A. M. Amorim","887","1992","12","14","Brazil","Bahia","Itacaré","Estrada que liga Taboquinha, ca. de 6 km de Itacaré","-38.9967","-14.2778",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=299654' target='other'> <mi>dwc_moreinfo</mi></a>","NY00518026","NY00518026_01",NA,NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","616378","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pubiflora","Myrcia pubiflora","DC.","M. Sobral","G. G. Hatschbach","63330","1995","07","11","Brazil","Bahia","Ilhéus","Acuripe","-39.04","-14.78",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=299653' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616378","NY00616378_01",NA,NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
