"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","typeStatus","monthIdentified","dayIdentified","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1015412","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","capixaba","Miconia capixaba","R.Goldenb.","R. Goldenberg","R. Goldenberg","907","2007","07","11","South America","Brazil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia Floresta de Encosta, próxima ao rio Timbuí.","-40.6031","-19.8967","650","650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1105593' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015412","NY01015412_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01874718","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","capixaba","Miconia capixaba","R.Goldenb.",NA,"R. Goldenberg","2130","2015","04","14","South America","Brazil","Espírito Santo","Santa Leopoldina","Estrada para o Rio da Farinha.","-40.5297012329102","-20.1005992889404",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2704141' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874718","NY01874718_01","23799","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1015414","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","capixaba","Miconia capixaba","R.Goldenb.","R. Goldenberg","R. Goldenberg","909","2007","07","12","South America","Brazil","Espírito Santo","Santa Teresa","Alto de Santo Antonio. Terreno do Bozza.","-40.5911","-19.9086","750","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1105599' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015414","NY01015414_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-20 10:18:56-03","UNICAMP","UEC","88236","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","capixaba","Miconia capixaba","R.Goldenb.","Goldenberg, R","Goldenberg, R; Koch, I; Mansano, VF; Sciamarelli, A; Sartori, ALB","375","1996","08","20",NA,"Brazil","Espírito Santo","Santa Teresa","Reserva Biológica de Santa Lúcia","-40.543611","-19.956667",NA,NA,NA,"fruto, Árvore com 4 m de altura, em floresta alta, de encosta. Flores com hipanto bege, pétalas brancas, fortemente emarginadas, estames brancos, frutos imaturos arroxeados.","UEC083607","UEC083607",NA,NA,"2008","-40.543611","-19.956667",NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:34:33-03","UNICAMP","UEC","86130","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","capixaba","Miconia capixaba","R.Goldenb.","Goldenberg, R","Thomaz, LD","819","1994","08","30",NA,"Brazil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia, Mata Atlântica de encosta","-40.6002998352051","-19.9356002807617","650","800",NA,"5 m. Flores creme; Não amostrada, beira do rio, entrada da A2","UEC008675","UEC008675","23813","auto",NA,NA,NA,"paratypus",NA,NA,NA,NA,NA
"6","2019-06-27 10:25:39-03","UFES","VIES","14253","S","Plantae",NA,NA,"Melastomataceae","Miconia","capixaba","Miconia capixaba","R.Goldenb.","Goldenberg, R.","Zamborlini, F.","239","2004","04","21",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia.","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,"VIES014253","VIES014253","23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:34:31-03","MBM","MBM","339463","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","capixaba","Miconia capixaba","R. Goldenberg","Goldenberg, R.","Goldenberg, R.","907","2007","07","11","Southern America","Brazil","Espírito Santo","Santa Teresa","estação de Santa Lúcia. Floresta de Encosta, próximo ao rio Timbuí.","-40.6002998352051","-19.9356002807617","650","650",NA,"Arvoreta 4m, flores com frutos creme-amareladas, odor levemente acre e doce. Floreta de encosta, próximo ao rio Timbuí","MBM339463","MBM339463","23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-11 17:19:55-03","UFPR","UPCB","53428","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","capixaba","Miconia capixaba","R.Goldenberg","Goldenberg, R.","Kollmann, R.L.","8564","2006","01","19",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,NA,NA,NA,"Arbusto 4m, estéril..","UPCB0016982","UPCB0016982",NA,NA,"2006","9999","9999",NA,"01","01",NA,NA,NA
"9","2021-02-11 17:19:55-03","UFPR","UPCB","54511","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","capixaba","Miconia capixaba","R.Goldenberg","Goldenberg, R.","Thomas, L.D.","830","1994","06","28",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,"650","800",NA,"7m x 33cm, caule interno branco, botão ferrugíneo..","UPCB0016955","UPCB0016955",NA,NA,"2006","9999","9999",NA,"01","01",NA,NA,NA
"10","2021-02-11 17:19:55-03","UFPR","UPCB","54512","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","capixaba","Miconia capixaba","R.Goldenberg","Goldenberg, R.","Thomas, L.D.","840","1992","10","22",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,"650","800",NA,"7m x 33cm, caule interno branco, botão ferrugíneo..","UPCB0016943","UPCB0016943",NA,NA,"2006","9999","9999",NA,"01","01",NA,NA,NA
"11","2021-02-11 17:19:55-03","UFPR","UPCB","54513","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","capixaba","Miconia capixaba","R.Goldenberg","Goldenberg, R.","Boudet Fernandes, H.","1480","1985","09","11",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,NA,NA,NA,"Árvore 12m x 15cm, ramo jovem lado inferior da folha e cálice revestido com tomento castanho. Heliófila, mata..","UPCB0016987","UPCB0016987",NA,NA,"2006","9999","9999",NA,"01","01",NA,NA,NA
