"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","2480450","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Bromelia","interior","Bromelia interior","L.B.Sm.","R. F. Monteiro","124","2007","07","20","South America","Brazil","Goiás","Mossâmedes","Serra Dourada, estrada para Rebio da Serra Dourada, UFG.","-50.1869","-16.0817","922","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2707814' target='other'> <mi>dwc_moreinfo</mi></a>","NY02480450","NY02480450_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","873156","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Bromelia","interior","Bromelia interior","L.B.Sm.","G. T. Prance","18859","1973","10","12","South America","Brazil","Mato Grosso",NA,"Chapada dos Guimarães, just above Cachoeira Furada, Reserva Buriti","-55.8147419","-15.45169","720","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=952906' target='other'> <mi>dwc_moreinfo</mi></a>","NY00873156","NY00873156_01","L. B. Smith","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","873159","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Bromelia","interior","Bromelia interior","L.B.Sm.","A. P. Duarte","8215","1964","07","20","South America","Brazil","Goiás","Goiás","Goias Velha, Serra Dourada","-50.1403","-15.9344",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=952921' target='other'> <mi>dwc_moreinfo</mi></a>","NY00873159","NY00873159_01","G. Martinelli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-08 11:07:46-03","UNESP-IBB","BOTU","16354","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Bromelia","interior","Bromelia interior","L.B.Sm.","Janssen, A.","436","1980","06","02",NA,"Brasil","Amazonas","Humaitá","Campo boa água ao norte da BR 319 km 664. Campo I 500 m. ao norte da BR 230 km 2","-63.166667","-7.516667",NA,NA,NA,"BOTU016354",NA,NA,NA,"63º10'w","07°31's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:12:10-03","NBC","NL-BOTANY","U.1606450","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Bromelia","interior","Bromelia interior","L.B.Sm.","Argent GCG; Richards PW; et al.",NA,"1967","10","13","Southern America","Brazil","Mato Grosso",NA,NA,"-52.233333","-14.633333",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1606450 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1606450","NL-U1606450","Monteiro RF",NA,"-52.233333","-14.633333","Magnoliopsidae","2009","05","29","U 0083451",NA,NA,NA,NA,NA
"6","2020-02-08 10:12:10-03","NBC","NL-BOTANY","U.1606451","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Bromelia","interior","Bromelia interior","L.B.Sm.","Prance GT; Lleras E; Coêlho DF",NA,"1973","10","12","Southern America","Brazil","Mato Grosso",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1606451 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1606451","NL-U1606451","Smith LB",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,"U 0083454",NA,NA,NA,NA,NA
"7","2021-01-14 15:25:46-03","MN","R","107143","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Bromelia","interior","Bromelia interior","L.B. Sm.","Castellanos, A. 22472; Strang, H.E.",NA,"1959","09","11",NA,"Brasil","Mato Grosso","Rio Negro","Fazenda Barra Mansa",NA,NA,NA,NA,NA,"R010005380","R010005380 R010005380_1 R010005380_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:25:46-03","MN","R","4806","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Bromelia","interior","Bromelia interior","L.B. Sm.","Hoehne, F.C.","3540","1911","02",NA,NA,"Brasil","Mato Grosso do Sul","Corumbá",NA,"-57.6533012390137","-19.0091991424561",NA,NA,"Commissão Rondon","R010005378","R010005378","Costa, A.",NA,NA,NA,NA,"1997","02","05",NA,"295160","auto",NA,NA,NA
"9","2021-01-14 15:25:46-03","MN","R","189822","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Bromelia","interior","Bromelia interior","L.B. Sm.","Andrade, A.G. 1065; Emmerich, M. 1026",NA,"1961","09","06",NA,"Brasil","Minas Gerais","Carmo do Rio Claro",NA,"-46.1189002990723","-20.9719009399414",NA,NA,NA,"R010005383","R010005383 R010005383_1","Smith, L.B.",NA,NA,NA,NA,"1964","09",NA,NA,"25874","auto",NA,NA,NA
"10","2021-03-24 16:39:41-03","MN","R","4807","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Bromelia","interior","Bromelia interior","L.B. Sm.","Kuhlmann, J.G.","87","1914","10",NA,NA,"Brasil","Mato Grosso","Cuiabá","Coxipó da Ponte.","-56.0966987609863","-15.5960998535156",NA,NA,"Commissão de Linhas Telegraphicas e estrategicas do Matto Grosso ao Amazonas. Expedição Arinos- Tapajoz.","R010005379","R010005379","Costa, A.",NA,NA,NA,NA,"1997","02","05",NA,"74875","auto",NA,NA,NA
