"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","decimalLongitude","decimalLatitude","imagecode","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","typeStatus","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","3987158","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","molle","Centrosema molle","Mart. ex Benth.","L. J. Dorr","7769","1990","11","23","South America","Venezuela","Barinas","Pedraza","Secondary road and trail from El Algarrobo to Pozo Negro","360","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4330623' target='other'> <mi>dwc_moreinfo</mi></a>","NY03987158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02637045","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","molle","Centrosema molle","Mart. ex Benth.","R. S. Souza","536","2014","08","12","South America","Brazil","Bahia","Nova Ibiá","Fazenda Dois Irmãos","274","274","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3407894' target='other'> <mi>dwc_moreinfo</mi></a>","NY02637045","R. S. Souza","-39.566361","-13.734917","NY02637045_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01302948","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","molle","Centrosema molle","Mart. ex Benth.","J. J. Strudwick","4481","1981","08","10","South America","Brazil","Pará",NA,"Sete Varas airstrip on Rio Curua.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1381916' target='other'> <mi>dwc_moreinfo</mi></a>","NY01302948","P. R. Fantz","-55.1657197","-0.2209974","NY01302948_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","585311","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","pubescens","Centrosema pubescens","Benth.","D. O. Norris","194","1964","04","29","South America","Brazil","São Paulo",NA,"Border of Municípios of Araraquara & Boa Esperança do Sul. Along road to JAU at crossing of Rio Jacaré-Guaçu. 15 km SW of Araraquara",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376644' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585311","R. J. Williams",NA,NA,"NY00585311_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00982470","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","pubescens","Centrosema pubescens","Benth.","H. S. Irwin","18339","1966","07","23","South America","Brazil","Distrito Federal","Brasília","Near Lagõa Mestre d'Armas, ca. 5km N.W. of Planaltina, D.F.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1108172' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982470","M. T. K. Arroyo","-47.6928","-15.5801","NY00982470_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","585317","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","pubescens","Centrosema pubescens","Benth.","H. S. Irwin","55936","1963","09","22","South America","Suriname",NA,NA,"Wilhelmina Gebergte. Zuid Rivier. Vic. Kayser Airstrip, 45 km above confluence with Lucie Rivier","270","270","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376645' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585317","P. R. Fantz","-56.65","3.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","585313","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","pubescens","Centrosema pubescens","Benth.","L. Coradin","2939","1980","07","16","South America","Brazil","Bahia","Aurelino Leal","BR-101/Itabuna -Cruz das Almas, km 46",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376648' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585313",NA,"-39.32","-14.31","NY00585313_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01302962","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","pubescens","Centrosema pubescens","Benth.","M. G. da Silva","91","1964","03","03","South America","Brazil","Roraima",NA,"Aldeia do Cantão, maloca Cauari",NA,NA,"sheet","[Label also indicates MG. nº30682, but collections by M. G. Silva in the same year have lower numbers, more akin to the one chose as the collector number for this record] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1600113' target='other'> <mi>dwc_moreinfo</mi></a>","NY01302962","V. Perazzo Barbosa",NA,NA,"NY01302962_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00982496","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","pubescens","Centrosema pubescens","Benth.","Y. E. J. Mexia","5775","1931","05","06","South America","Brazil","Minas Gerais","Diamantina","Near km 997.5 of railroad","1260","1260","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1108196' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982496","R. Williams","-43.6003","-18.2494","NY00982496_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00982471","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","pubescens","Centrosema pubescens","Benth.","H. S. Irwin","15680","1966","05","07","South America","Brazil","Distrito Federal","Brasília","Côrrego Landim, ca. 20 km N.E. of Brasília","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1108179' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982471","M. T. K. Arroyo","-47.78472222","-15.6555","NY00982471_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
