"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","locality","typeStatus","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag"
"1","2019-11-21 10:13:40-03","IBt","SP","247771","S","Plantae","Orchidaceae","Pabstiella","conspersa","Pabstiella conspersa","(Hoehne) Luer","Barros, F; Gonçalves, GF","2013","05","24","Tinoco, RM; Tinoco, GM","s.n.","1982","07","21","Brasil","São Paulo","Estrada Mogi-Bertioga",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 10:13:41-03","IBt","SP","25523","S","Plantae","Orchidaceae","Pleurothallis","conspersa","Pleurothallis conspersa","Hoehne","Hoehne, FC","1930",NA,NA,"Spannagel, C","156","1928","05",NA,"Brasil","Rio de Janeiro","Meio da Serra","Isotype","Petrópolis","-43.1786003112793","-22.5049991607666","36524","SP002332","SP002332","auto"
