"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","phylum","order","infraspecificEpithet","typeStatus","continentOcean","preparationType","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-04-05 14:25:42-03","UNESC","CRI","1010","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia","(A.St.-Hil. & Tul.) Engl.","Kikio Yamamoto","Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1288","1992","11","10","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI008694","CRI008694",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:42-03","UNESC","CRI","12182","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia","(A.St.-Hil. & Tul.) Engl.","Oliveira, AA","Korte, A","5406","2010","12","03","Brasil","Santa Catarina","Palhoça","Pedra do Urubu","-48.584722","-27.902222","48º35'5''W","27º54'8''S","36","36","CRI010360","CRI010360","2011","01","17","Habito: Arbusto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:42-03","UNESC","CRI","1012","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia","(A.St.-Hil. & Tul.) Engl.","Kikio Yamamoto","Vanilde Citadini-Zanette; Aurélio José de Aguiar","1290","1991","10","24","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI005663","CRI005663",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:42-03","UNESC","CRI","3247","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia","(A.St.-Hil. & Tul.) Engl.","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1870","1992","03","13","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI005668","CRI005668",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:49-03","UNESC","CRI","6531","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia","(A.St.-Hil. & Tul.) Engl.","Izabela N. M. dos Santos","Izabela Naspolini Marques",NA,"1999","11","07","Brasil","Santa Catarina","Criciúma","Mina do Toco.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58","CRI005665","CRI005665","1999","11","07","Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:49-03","UNESC","CRI","10537","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia","(A.St.-Hil. & Tul.) Engl.",NA,"Vanilde C. Zanette",NA,"1991","01","24","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","CRI005667","CRI005667_1 CRI005667_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:42-03","UNESC","CRI","6295","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia","(A.St.-Hil. & Tul.) Engl.","Rafael Martins","V. Citadini-Zanette; V. P. Boff",NA,"1997","11","19","Brasil","Santa Catarina","Lauro Muller","Mina Portão, Carb. Treviso.","-49.396944","-28.393333","49º23'49''W","28º23'36''S",NA,NA,"CRI005491","CRI005491",NA,NA,NA,"Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:42-03","UNESC","CRI","9235","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia","(A.St.-Hil. & Tul.) Engl.",NA,"Birgit Harter Marques",NA,"2006","09","27","Brasil","Santa Catarina","Siderópolis","Mina do Toco.","-49.425278","-28.598889","49º25'31''W","28º35'56''S",NA,NA,"CRI005666","CRI005666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:42-03","UNESC","CRI","3590","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia","(A.St.-Hil. & Tul.) Engl.","Marcos Sobral","V. Citadini-Zanette; et al.","1989","1995","01","16","Brasil","Santa Catarina","Morro Grande","Pingador - Três Barras.","-49.721111","-28.801111","49º43'16''W","28º48'4''S","400","400","CRI005670","CRI005670","1995","11","03","Floresta Ombrófila Densa Montana Habitat: mata atlântica de encosta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","428965","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia latifolia","Engl.",NA,"G. Gardner","V1514","1838","08",NA,"Brazil","Ceará",NA,NA,NA,NA,NA,NA,NA,NA,"NY00428965","NY00428965_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=103084' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales","latifolia","type","South America","sheet",NA,NA,NA,NA,NA,NA
"11","2016-09-27 04:04:00-03","NY","NYBG","00972567","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia",NA,"M. G. da Silva","N. T. da Silva","4846","1978","08","17","Brazil","Tocantins","Caseara","Rio Araguaia, margem direita.","-49.9556","-9.2783",NA,NA,NA,NA,"NY00972567","NY00972567_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103050' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1127971","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia","Engl.","K. Yamamoto","H. S. Irwin","34575","1972","01","19","Brazil","Goiás",NA,"Serra dos Pireneus, ca. 21 km E of Pirenópolis.",NA,NA,NA,NA,NA,NA,"NY01127971","NY01127971_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272468' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"13","2016-09-27 05:05:00-03","NY","NYBG","1127998","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia",NA,"K. Yamamoto","P. Claussen","718A",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NY01127998","NY01127998_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1274194' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"14","2016-09-27 05:05:00-03","NY","NYBG","00972566","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia",NA,"K. Yamamoto","J. A. Ratter","R.3843","1976","10","26","Brazil","Distrito Federal","Brasília","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, c 18 km SSW of Brasília TV tower. Cabeceira do Córrego Capitinga.","-47.9294","-15.7797",NA,NA,NA,NA,"NY00972566","NY00972566_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103035' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"15","2016-09-27 05:06:00-03","NY","NYBG","642168","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia",NA,"K. Yamamoto","D. J. Carriao",NA,"1995","10","21","Brazil","Paraná","Jaguariaíva","Parque Estadual do Cerrado","-49.65","-24.2",NA,NA,NA,NA,"NY00642168","NY00642168_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=749303' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","02694623","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia","Engl.","F. O. Silva","F. O. Silva","169","2012","12","07","Brazil","Paraíba","João Pessoa","Campus I da UFPB. Corredor do Departamento de Biologia","-34.846381","-7.1375",NA,NA,"47",NA,"NY02694623","NY02694623_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2953443' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"17","2016-09-27 05:05:00-03","NY","NYBG","1127983","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia",NA,"K. Yamamoto","E. P. Heringer","10668","1965","10","20","Brazil","Goiás","Formosa",NA,"-47.3342","-15.5372",NA,NA,NA,NA,"NY01127983","NY01127983_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272496' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","02695331","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","salicifolia","Ouratea salicifolia","Engl.","F. O. Silva","F. O. Silva","130","2012","12","13","Brazil","Paraíba","Mamanguape","Reserva Biológica Guaribas. Área II. Coletado mo tabuleiro por trás do refeitorio","-35.142056","-6.741861",NA,NA,"181",NA,"NY02695331","NY02695331_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2953407' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
