"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","verbatimLongitude","verbatimLatitude","class","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1747368","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Dichorisandra","glaziovii","Dichorisandra glaziovii","Taub.","L. Y. S. Aona-Pinheiro","R. M. Harley","15252","1972","01","18","South America","Brazil","Bahia","Serra do Rio de Contas. On road to Abaira ca. 8 km. to N. of the Town of Rio de Contas.","-41.78","-13.55","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1986493' target='other'> <mi>dwc_moreinfo</mi></a>","NY01747368","NY01747368_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01131571","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Dichorisandra","glaziovii","Dichorisandra glaziovii","Taub.","R. B. Faden","H. S. Irwin","23602","1969","02","20","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 15 km west of Grão Mogol, road to Cristália.","-42.9786","-16.6349","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1276868' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131571","NY01131571_01","Cristália",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:44:51-03","EAO","IAN","35248","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Commelinaceae","Dichorisandra","glaziovii","Dichorisandra glaziovii","Taub.",NA,"Glaziou, AFM","13285",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IAN035248","IAN035248_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:27:42-03","UFBA","ALCB","117689","PreservedSpecimen","Plantae","Monocotyledon",NA,"Commelinaceae","Dichorisandra","glaziovii","Dichorisandra glaziovii","Taub.",NA,"Aona, LYS; Costa, GM; Fonseca, WO; Jardim, JG; Simões, S","1995","2013","01","08","Southern America","Brasil","Bahia","Parque Nacional de Boa Nova, setor sudoeste, Rancho do sacramento, Gurutunga.","-40.25","-14.351944","925","925",NA,"Formando rosetas na base ou com 2m de altura, folhas verdes ou variegadas na face superior e face inferior mais clara, corola lilás, frutos imaturos verdes.; Mata de cipó, interior da mata.","ALCB010031","ALCB010031","Boa Nova","-40.25","-14.351944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:27:42-03","UFBA","ALCB","117691","PreservedSpecimen","Plantae","Monocotyledon",NA,"Commelinaceae","Dichorisandra","glaziovii","Dichorisandra glaziovii","Taub.",NA,"Aona, LYS; Medeiros, BM; Peixoto, MR; Lima, VVF; Gomes, VF; Sr. Valdemar","3550","2014","04","04","Southern America","Brasil","Bahia","Floresta Nacional Contendas de Sincorá.","-41.067778","-13.915556",NA,NA,NA,"Até 40cm alt, botões esverdiados.","ALCB010030","ALCB010030","Contendas do Sincorá","-41.067778","-13.915556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:58:30-03","NBC","NL-BOTANY","U.1210395","PreservedSpecimen","Plantae",NA,"Commelinales","Commelinaceae","Dichorisandra","glaziovii","Dichorisandra glaziovii","Taub.",NA,"Glaziou AFM",NA,"1879","11","01","Southern America","Brazil",NA,"near Rio Janeiro.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1210395 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1210395","NL-U1210395",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-02-02 14:37:54-02","BGBM","B","B 10 0347188","S","Plantae",NA,NA,"Commelinaceae","Dichorisandra","glaziovii","Dichorisandra glaziovii","Taubert",NA,NA,NA,NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100347188 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100347188","B100347188",NA,NA,NA,NA,"type",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-02-15 11:36:47-02","IPA","IPA","23236","S","Plantae","Plantae",NA,"Commelinaceae","Dichorisandra","glaziovii","Dichorisandra glaziovii","Taub.","Roxana Barreto","Harley, R.M.","15252","1972","01","18","Southern America","Brasil","Bahia","Serra do Rio de Contas, on road to Abaíra ca. 8 km to N of the town of Rio de Contas.","-41.783333","-13.55","1000","1000",NA,"Stems to 75cm. Flowers with bright, deep blue petals with white filaments and yellow anthers. sepals whitish.; Cut over woodland.","IPA0023236",NA,NA,"-41.783333","-13.55",NA,NA,"1996","09","12",NA,NA,NA,NA,NA
"9","2019-02-15 11:36:47-02","IPA","IPA","28427","S","Plantae","Plantae",NA,"Commelinaceae","Dichorisandra","glaziovii","Dichorisandra glaziovii","Taub.","Roxana Barreto","Lyra, R.P.","219","1981","03","15","Southern America","Brasil","Alagoas","na direção de Piaçabuçu.","-36.5","-10.316667",NA,NA,NA,"Flor lilás, botões lilás. Fruto imaturo, verde; maduro, deiscente marrom. Independente.; Restinga arbórea devastada. Solo arenoso.","IPA0028427",NA,"Penedo","-36.5","-10.316667",NA,NA,"1996","09","12",NA,NA,NA,NA,NA
"10","2019-08-20 09:59:22-03","UNICAMP","UEC","146382","S","Plantae","Liliopsida",NA,"Commelinaceae","Dichorisandra","glaziovii","Dichorisandra glaziovii","Taub.","Aona, LYS","Aona, LYS; Meireles, JE; Gil, ASB","995","2006","02","07",NA,"Brazil","Minas Gerais","Entrada para Rubelita, Mata degradada próxima a segunda ponte sentido Rubelita.","-42.276306","-15.303861",NA,NA,NA,"Erva.","UEC057674","UEC057674","Salinas","-42.276306","-15.303861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
