"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","relatedCatalogItem","individualCount","fieldNumber","typeStatus"
"1","2020-09-23 10:36:12-03","E","E","209060","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","Fiebrig, K.","4447","1905","03","22","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:220114","<a href=http://data.rbge.org.uk/herb/E00209060 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00209060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:12-03","E","E","209061","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","Fiebrig, K.","4447","1905","03","22","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:220113","<a href=http://data.rbge.org.uk/herb/E00209061 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00209061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:36:12-03","E","E","209062","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","Fiebrig, K.","64",NA,NA,NA,"E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:220112","<a href=http://data.rbge.org.uk/herb/E00209062 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00209062",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:36:12-03","E","E","209064","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","Fiebrig, K.","64",NA,NA,NA,"E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:220075","<a href=http://data.rbge.org.uk/herb/E00209064 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00209064",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:36:12-03","E","E","209059","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","Fiebrig, K.","64","1905","03","22","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:220115","<a href=http://data.rbge.org.uk/herb/E00209059 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00209059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:36:12-03","E","E","209063","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","Fiebrig, K.","2675","1904","01","30","W. Tropical South America","BO","herbarium specimen of unspecif","BGBASE:220111","<a href=http://data.rbge.org.uk/herb/E00209063 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00209063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01873570","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","A. M. Amorim","3203","1999","12","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2532573' target='other'> <mi>dwc_moreinfo</mi></a>","NY01873570","Magnoliophyta","Gentianales","(Müll.Arg.) Markgr.","B. F. Hansen","São Paulo","Itu","Rodovia Itu-Porto Feliz, ca. de 10 km de Itu. capão de mata no vale, beirando rio. Coletas efetuadas no interior e bordo dos capões","-47.29","-23.26","NY01873570_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4202106","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","M. H. Nee","46174","1994","12","24","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4526848' target='other'> <mi>dwc_moreinfo</mi></a>","NY04202106","Magnoliophyta","Gentianales","(Müll.Arg.) Markgr.",NA,"Santa Cruz","Florida","2.4 km (by air) NW Bermejo, just before entrance to property of Laguna Volcán","-63.65","-18.12",NA,"1050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4202102","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","D. Villarroel S.","1331","2007","12","09","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4526844' target='other'> <mi>dwc_moreinfo</mi></a>","NY04202102","Magnoliophyta","Gentianales","(Müll.Arg.) Markgr.",NA,"Santa Cruz","Florida","Localidad de Bella Vista, camino del Refugio hasta el ingreso al sendero Cola de Mono","-63.6733","-18.2683",NA,"1354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","4202076","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","M. H. Nee","40382","1990","12","16","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4526818' target='other'> <mi>dwc_moreinfo</mi></a>","NY04202076","Magnoliophyta","Gentianales","(Müll.Arg.) Markgr.",NA,"Santa Cruz","Florida","6 km (by air) WNW of Samaipata, 11 km (by road) SE of Mairana, on high point of road between the two","-63.92","-18.17",NA,"1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01131638","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","G. G. Hatschbach","23555","1970","02","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1277641' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131638","Magnoliophyta","Gentianales","(Müll.Arg.) Markgr.","F. Markgraf","Mato Grosso do Sul","Bataguaçú","Corrego Feio","-52.4219","-21.7144","NY01131638_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01131763","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","riedelii","Prestonia riedelii","P. K. H. Dusén","16454","1915","01","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1279610' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131763","Magnoliophyta","Gentianales","(Müll.Arg.) Markgr.","M. do Rio","Paraná","Sengés","Morungava","-49.4633","-24.1131","NY01131763_01","720","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
