"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","year","month","day","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","class","order","continentOcean","typeStatus"
"1","2015-07-02 14:03:22-03","JBP","HPL","13634","S","Plantae","Myrtaceae","Myrciaria","coronata","Myrciaria coronata","R. Tsuji","2237","Brasil","MG","Santana do Paraíso","Achado - Entrada por Ipaneminha.","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:03:24-03","JBP","HPL","11461","S","Plantae","Myrtaceae","Plinia","coronata","Plinia coronata","M. Lacerda","1010","Brasil","SP","Limeira","Coletado no bairro dos Lopes, Estância Dom Bosco.","-47.4","-22.56","20999","auto","(Mattos) Mattos","V.C. Souza","2012","06","04","2007","11","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-07-02 14:03:23-03","JBP","HPL","9367","S","Plantae","Myrtaceae","Plinia","coronata","Plinia coronata","R. Tsuji","2077","Brasil","MG","Santana do Paraíso","Coletado nas proximidades da estrada para o Bairro Achado.","-42.5686","-19.3636","17033","auto","(Mattos) Mattos","V.C. Souza","2012","06","04","2007","08","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-07-02 14:03:23-03","JBP","HPL","6487","S","Plantae","Myrtaceae","Plinia","coronata","Plinia coronata","H. Lorenzi","6189","Brasil","MG","Santana da Várzea","Coletado na Fazenda do Villela.",NA,NA,NA,NA,"(Mattos) Mattos","V.C. Souza","2012","06","04","2006","10","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-07-02 14:03:23-03","JBP","HPL","6489","S","Plantae","Myrtaceae","Plinia","coronata","Plinia coronata","H. Lorenzi","6187","Brasil","MG","Santana da Várzea","Coletado na Fazenda do Villela.",NA,NA,NA,NA,"(Mattos) Mattos","V.C. Souza","2012","06","04","2006","10","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-07-02 14:03:23-03","JBP","HPL","9563","S","Plantae","Myrtaceae","Plinia","coronata","Plinia coronata","R. Tsuji","2328","Brasil","MG","Santana da Várzea","Coletado e cultivado na propriedade de José Aurélio Vilela; originário de Camboriú-SC, segundo informação local.",NA,NA,NA,NA,"(Mattos) Mattos","V.C. Souza","2012","06","04","2007","11","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-07-02 14:03:23-03","JBP","HPL","9567","S","Plantae","Myrtaceae","Plinia","coronata","Plinia coronata","R. Tsuji","2332","Brasil","MG","Santana da Várzea","Coletado e cultivado na propriedade de José Aurélio Vilela (código B11 no mapa do pomar).",NA,NA,NA,NA,"(Mattos) Mattos","V.C. Souza","2012","06","04","2007","11","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-07-02 14:03:24-03","JBP","HPL","11452","S","Plantae","Myrtaceae","Plinia","coronata","Plinia coronata","M. Lacerda & P. Cervi","1001","Brasil","SP","Jaboticabal","Coletado no campus da Universidade Estadual Paulista (UNESP - FCAV); pomar do aeroporto.","-48.32","-21.25","22420","auto","(Mattos) Mattos","V.C. Souza","2012","06","04","2007","10","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-07-02 14:03:23-03","JBP","HPL","9357","S","Plantae","Myrtaceae","Plinia","coronata","Plinia coronata","R. Tsuji","2066","Brasil","MG","Manhuaçu","Coletado e cultivado no Sítio de Sebastião Armendani de Laia-Córrego Soledade do Sacramento; Rodovia BR-116 à altura do km568. (800m.s.m.)","-42.0336","-20.2581","32626","auto","(Mattos) Mattos","V.C. Souza","2012","06","04","2007","08","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-07 11:46:37-03","UFMS","CGMS","40144","PreservedSpecimen","Plantae","Myrtaceae","Plinia","coronata","Plinia coronata","G.N. Silva; P.O. Rodrigues","1","Brasil","Mato Grosso do Sul","Nioaque","Assentamento Andalucia.","-55.4902777","-20.4608333",NA,NA,"(Mattos) Mattos","A. Pott; V.J. Pott",NA,NA,NA,"2013","11","04","-55,4902777","-20,4608333","200","200","Flor branca. Fruto roxo-escuro. Fruto roxo-escuro. Habitat: Cerrado. Habito: Arbusto. 2,5 m de altura.","CGMS1070120",NA,NA,NA,NA,NA,NA
"11","2020-06-18 10:58:15-03","UFRRJ","RBR","45451","S","Plantae","Myrtaceae","Plinia","coronata","Plinia coronata","M.C. Souza","661","Brasil","Rio de Janeiro","Teresópolis","Quinta do Paraíso. Cultivada ao lado do prédio da biblioteca.","-42.959722","-22.393333",NA,NA,"(Mattos) Mattos",NA,NA,NA,NA,"2009","10","31","42º57'35''W","22º23'36''S",NA,NA,NA,"RBR00045451","RBR00045451",NA,NA,NA,NA,NA
"12","2013-04-01 09:18:37-03","IPT","BCTW","19793","S","Plantae",NA,"Myrciaria","coronata","Myrciaria coronata","Lorenzi, H.","318","Brasil",NA,NA,NA,NA,NA,NA,NA,"Mattos","Instituto Plantarum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliophyta","Magnoliopsida",NA,NA,NA
"13","2020-08-31 09:08:10-03","INPA","INPA","35627","S","Plantae","Myrtaceae","Plinia","coronata","Plinia coronata","Plowman, T","3082","EUA",NA,NA,"Cultivated at the Kampong, 4013 Douglas. Rd. Miami, Fla",NA,NA,NA,NA,"(Mattos) Mattos","Souza, MC de","2012","04",NA,"1971","03","21",NA,NA,NA,NA,NA,"INPA0035627","INPA0035627 INPA0035627_e INPA0035627_nd INPA0035627_num","Dicotyledon Com-Clade",NA,"Myrtales","Northern America",NA
"14","2021-03-12 16:33:20-03","USP","SPF","67434","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","coronata","Myrciaria coronata","Mattos, J","13849","Brasil",NA,NA,"Procedência ignorada - cultivada em São Paulo.",NA,NA,NA,NA,"Mattos",NA,NA,NA,NA,"1966","09","15",NA,NA,NA,NA,"Árvore com cerca de 3 m de altura.","SPF00067434","SPF00067434",NA,NA,NA,NA,"isotype"
"15","2021-03-04 11:17:39-03","UEFS","HUEFS","86629","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","coronata","Myrciaria coronata","Matias, J.",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,"Mattos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HUEFS0086629",NA,"Angiospermae","Rosanae","Myrtales",NA,"Holótipo"
"16","2019-11-01 15:06:40-03","UnB","UB","168127","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","coronata","Myrciaria coronata","Mattos, J","15067","Brasil","São Paulo","Campinas","Cultivada no instituto agronômico","-47.06","-22.91",NA,NA,"Mattos","Sobral, M","1990",NA,NA,"1967","10","03","-47.06","-22.91",NA,NA,"Árvore.",NA,NA,"Dicotyledoneae",NA,NA,"Southern America",NA
"17","2020-12-01 09:01:50-03","MCN-FZBRS","HAS","87613","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","coronata","Myrciaria coronata","Mattos, J.","13849","Brasil","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273","53584","auto","Mattos",NA,NA,NA,NA,"1966","09",NA,NA,NA,NA,NA,"Cultivada. Árvore c/ ca. de 4m de alt.","HAS0087613",NA,"Magnoliophyta",NA,NA,NA,"Isotypus"
"18","2019-11-21 10:12:30-03","IBt","SP","101044","S","Plantae","Myrtaceae","Myrciaria","coronata","Myrciaria coronata","Mattos, J","13849","Brasil",NA,NA,"Procedência ignorada",NA,NA,NA,NA,"Mattos","Mattos, JR","1968",NA,NA,"1966","09","15",NA,NA,NA,NA,"Árvore ca. 3 m alt. Cultivada em São Paulo","SP001374","SP001374",NA,NA,NA,NA,"Holotype"
