"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","imagecode","decimalLongitude","decimalLatitude","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","monthIdentified","dayIdentified"
"1","2020-09-23 10:43:20-03","E","E","205608","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","pachyphylla","Pouteria pachyphylla","isotype","Spruce, Richard","3836","1905","01","28","E. Tropical South America","BR","Amazonas","In ripis fl. Taruma. [On banks of river Taruma].","herbarium specimen of unspecif","BGBASE:218698","<a href=http://data.rbge.org.uk/herb/E00205608 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00205608",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01212578","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","pachyphylla","Pouteria pachyphylla",NA,"R. de Lemos Fróes","519","1942","01","14","South America","Brazil","Amazonas",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1462360' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212578","Magnoliophyta","Ericales","T.D.Penn.","T. D. Pennington","NY01212578_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01212582","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","pachyphylla","Pouteria pachyphylla",NA,"B. W. Nelson","1280","1982","05","30","South America","Brazil","Amazonas","Manaus. Rio Tarumã-Açu.-Rio Taruma-Açu between Cachoeira Baixa de Taruma and Manaus Yacht Club.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1329883' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212582","Magnoliophyta","Ericales","T.D.Penn.","T. D. Pennington","NY01212582_01","-60.0962609","-2.8743255",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01212581","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","pachyphylla","Pouteria pachyphylla",NA,"J. Chagas Rodrigues","INPA3468","1956","02","20","South America","Brazil","Amazonas",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1462376' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212581","Magnoliophyta","Ericales","T.D.Penn.","T. D. Pennington","NY01212581_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01212580","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","pachyphylla","Pouteria pachyphylla",NA,"N. T. da Silva","373","1949","11","27","South America","Brazil",NA,"Territorio Guaporé. Margem do rio Garças.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1462370' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212580","Magnoliophyta","Ericales","T.D.Penn.","T. D. Pennington","NY01212580_01 NY01212580_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01212577","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","pachyphylla","Pouteria pachyphylla",NA,"R. de Lemos Fróes","25243","1949","09","16","South America","Brazil","Amazonas",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1462354' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212577","Magnoliophyta","Ericales","T.D.Penn.","T. D. Pennington","NY01212577_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01212583","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","pachyphylla","Pouteria pachyphylla",NA,"D. G. Campbell","P20834","1974","03","22","South America","Brazil","Amazonas","Manaus-Pôrto-Velho Highway. Rio Tupana, Km. 160","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1462385' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212583","Magnoliophyta","Ericales","T.D.Penn.","T. D. Pennington","NY01212583_01","-60.8031","-4.1781",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01212575","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","pachyphylla","Pouteria pachyphylla",NA,"R. de Lemos Fróes","518","1942","01","14","South America","Brazil","Amazonas","Basin of Rio Negro. Vaupes; Corococo.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1330627' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212575","Magnoliophyta","Ericales","T.D.Penn.","T. D. Pennington","NY01212575_01","-67.0892","-0.130278","São Gabriel da Cachoeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01212579","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","pachyphylla","Pouteria pachyphylla",NA,"P. Acevedo-Rodríguez","8014","1996","08","06","South America","Brazil","Amazonas","Alto Rio Negro, ca. 10 Km N of Barcelos. Boat stationed at coordinates. Collecting site ca. 1 km circumference from coordinates.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1462364' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212579","Magnoliophyta","Ericales","T.D.Penn.","T. D. Pennington","NY01212579_01 NY01212579_02","-62.9703","-0.8744",NA,"100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01212584","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","pachyphylla","Pouteria pachyphylla",NA,"R. de Lemos Fróes","25009","1949","08","14","South America","Brazil","Amazonas",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1462389' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212584","Magnoliophyta","Ericales","T.D.Penn.","T. D. Pennington","NY01212584_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
