"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","phylum","order","typeStatus","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","eventTime","sex"
"1","2021-04-05 14:33:44-03","UNESC","CRI","5348","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","handroi","Eugenia handroi","(Mattos) Mattos","Marcos Sobral","J. A. Jarenkow; M. Sobral","1992","08","27","Brasil","Rio Grande do Sul","Torres","-49.793056","-29.356667","49º47'35''W","29º21'24''S","CRI005077","CRI005077",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:37-03","UNESC","CRI","14465","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","handroi","Eugenia handroi","(Mattos) Mattos","Sobral, M","Schmitt, J.L.; Cadorin, T.J. & Caglioni, E.","2009","10","06","Brasil","Santa Catarina","Ponte Alta","-50.132222","-27.275","50º7'56''W","27º16'30''S","CRI013600","CRI013600","2010","01","25","177","Morro do Funil. Morro do Funil.","1131","1131","Florística IFFSC e456a (Arbórea), forófito 7. Habitat: Floresta Ombrófila Mista; Estágio Avançado Habito: arbórea; flor botão amarelo claro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:39-03","UNESC","CRI","14480","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","regnelliana","Myrceugenia regnelliana","(O.Berg) D.Legrand & Kausel","Gasper, A.L.","Stival-Santos, A.; Legal, E. & Silveira, S.","2009","11","23","Brasil","Santa Catarina","Blumenau","-49.139444","-27.096944","49º8'22''W","27º5'49''S","CRI013558",NA,"2018","06","28","1330","Área Virgem do Parque Nacional da Serra do Itajaí. Área Virgem do Parque Nacional da Serra do Itajaí.","660","660","Florística IFFSC 578 (Arvoreta) Habitat: Floresta Ombrófila Densa; Estágio Primário; interior do fragmento Habito: arvoreta; flor botão floral branco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:39-03","UNESC","CRI","14479","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","regnelliana","Myrceugenia regnelliana","(O.Berg) D.Legrand & Kausel","Gasper, A.L.","Korte, A.; Kniess, A.","2010","10","27","Brasil","Santa Catarina","Major Vieira","-50.4","-26.64","50º24'W","26º38'24''S","CRI013559","CRI013559","2018","06","28","4747","Rio da Serra. Rio da Serra.","1009","1009","Florística IFFSC 847 (Arbusto) Habitat: Floresta Ombrófila Mista; Estágio Avançado - explorado; interior do fragmento Habito: arbusto; flor botão floral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:39-03","UNESC","CRI","14538","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","regnelliana","Myrceugenia regnelliana","(O.Berg) D.Legrand & Kausel","Gasper, A.L.","Korte, A.; Kniess, A.","2010","10","27","Brasil","Santa Catarina","Major Vieira","-50.4","-26.64","50º24'0''W","26º38'24''S","CRI013682","CRI013682","2018","06","28","5747","Rio da Serra","1009","1009","Flor botão floral Doação FURB 32154 Habito: arbusto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","405003","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","regnelliana","Eugenia regnelliana","O.Berg",NA,"A. F. Regnell",NA,NA,NA,"Brazil","Minas Gerais","Caldas","-46.3858","-21.9236",NA,NA,"NY00405003","NY00405003_01",NA,NA,NA,"II120","Caldas",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=536061' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","type","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","615441","PreservedSpecimen","Plantae","Myrtaceae","Hexachlamys","handroi","Hexachlamys handroi","Mattos",NA,"G. Jönsson","1914","07","20","Brazil","Paraná",NA,NA,NA,NA,NA,"NY00615441","NY00615441_01",NA,NA,NA,"695a","Serra do Mar; Porto de Cima","200","200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=271518' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","615442","PreservedSpecimen","Plantae","Myrtaceae","Hexachlamys","handroi","Hexachlamys handroi","Mattos","C. M. D. E. Legrand","R. Reitz","1958","10","23","Brazil","Santa Catarina","Sao Joaquim","-49.9317","-28.2942",NA,NA,"NY00615442","NY00615442_01",NA,NA,NA,"7450","Serra do Oratório, Bom Jardim","1400","1400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=271516' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","615443","PreservedSpecimen","Plantae","Myrtaceae","Hexachlamys","handroi","Hexachlamys handroi","Mattos","C. M. D. E. Legrand","R. Reitz","1959","01","26","Brazil","Santa Catarina","Rio do Sul","-49.563988","-27.247405",NA,NA,"NY00615443","NY00615443_01",NA,NA,NA,"8380","Alto Matador, Rio do Sul","800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=271517' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","615440","PreservedSpecimen","Plantae","Myrtaceae","Hexachlamys","handroi","Hexachlamys handroi","Mattos","J. R. Mattos","G. G. Hatschbach","1968","08","07","Brazil","Paraná","Quatro Barras","-49.0767","-25.3658",NA,NA,"NY00615440","NY00615440_01",NA,NA,NA,"19555","4-Barras; Rio do Corvo","900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=271515' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
