"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","locality"
"1","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","1242","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","nivea","Neoregelia nivea","Leme","Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","212","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","nivea","Neoregelia nivea","Leme","Brasil","São Paulo",NA,NA,NA,NA,"2","254",NA,"Elton. C. M. Leme","2009","05","Roberto Burle Marx;",NA,NA,NA,NA,NA
"3","2019-06-10 10:10:27-03","FZB-BH","BHZB","11799","S","Plantae",NA,NA,"Bromeliaceae","Neoregelia","nivea","Neoregelia nivea",NA,"Brasil","MG","Belo Horizonte","-43.937801361084","-19.9207992553711","17082",NA,"Unicata, Folhas verdes com base enegrecida, folhas centrais com base branca.","auto",NA,NA,NA,"Swerts, M.","62","2016","10","18",": FZBBH #?# Coleção de Plantas Exóticas e Sem Procedência. CVJBFZB 0212"
