"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","dayIdentified","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","3940","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Cassia","setosa","paucivenia","Cassia setosa paucivenia","H.S.Irwin & Barneby","isotype","A. P. Duarte","6547","1962","03","15","South America","Brazil","Minas Gerais","Serra do Cipó, km 117","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=695932' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003940","NY00003940_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00960845","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","setosa","detonsa","Chamaecrista setosa detonsa","(Benth.) H.S.Irwin & Barneby",NA,"E. P. Heringer","6953","1981","05","19","South America","Brazil","Distrito Federal","Bacia do Rio São Bartolomeu.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1050212' target='other'> <mi>dwc_moreinfo</mi></a>","NY00960845","NY00960845_01","R. C. Barneby","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00960742","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","setosa","detonsa","Chamaecrista setosa detonsa","(Benth.) H.S.Irwin & Barneby",NA,"H. S. Irwin","15842","1966","05","14","South America","Brazil","Distrito Federal","Ca. 30 km N. E. of Brasília","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1050185' target='other'> <mi>dwc_moreinfo</mi></a>","NY00960742","NY00960742_01",NA,"Brasília","-47.71872","-15.5916","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00960797","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","setosa","detonsa","Chamaecrista setosa detonsa","(Benth.) H.S.Irwin & Barneby",NA,"J. A. Ratter","R432","1967","08","21","South America","Brazil","Mato Grosso","nr. Xavantina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1050273' target='other'> <mi>dwc_moreinfo</mi></a>","NY00960797","NY00960797_01",NA,"Nova Xavantina","-52.3531","-14.6733",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00960841","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","setosa","detonsa","Chamaecrista setosa detonsa","(Benth.) H.S.Irwin & Barneby",NA,"H. S. Irwin","34639","1972","01","21","South America","Brazil","Goiás","ca. 15 km S. of Niquelândia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1050194' target='other'> <mi>dwc_moreinfo</mi></a>","NY00960841","NY00960841_01",NA,"Niquelândia","-48.45","-14.58557","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00960773","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","setosa","setosa","Chamaecrista setosa setosa","(Vogel) H.S.Irwin & Barneby",NA,"R. Kral","75453","1988","11","02","South America","Brazil","Minas Gerais","ca. 5 kms W of Cristalia toward Morro do Chapeau","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1050312' target='other'> <mi>dwc_moreinfo</mi></a>","NY00960773","NY00960773_01",NA,"Cristália","-42.8619","-16.8006","700","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00978742","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","setosa","paucivenia","Chamaecrista setosa paucivenia","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA,"H. S. Irwin","27238","1970","03","09","South America","Brazil","Minas Gerais","Upper slopes of Serra do Cabral, ca. 3 km W. of Cantoni","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1062955' target='other'> <mi>dwc_moreinfo</mi></a>","NY00978742","NY00978742_01",NA,NA,"-44.13","-17.57","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00960074","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","setosa",NA,"Chamaecrista setosa","(Vogel) H.S.Irwin & Barneby",NA,"W. R. Anderson","11359","1975","02","13","South America","Brazil","Mato Grosso","At western edge of the Chapada dos Guimarães","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1033786' target='other'> <mi>dwc_moreinfo</mi></a>","NY00960074","NY00960074_01","A. O. de Souza","Chapada dos Guimaraes","-55.75","-15.4333","550","680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00960767","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","setosa","detonsa","Chamaecrista setosa detonsa","(Benth.) H.S.Irwin & Barneby",NA,"H. S. Irwin","16476","1966","06","02","South America","Brazil","Mato Grosso","Ca. 87 km. N. of Xavantina. Serra do Roncador.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1050188' target='other'> <mi>dwc_moreinfo</mi></a>","NY00960767","NY00960767_01 NY00960767_02",NA,NA,"-52.08","-13.92","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00978791","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","setosa","subsetosa","Chamaecrista setosa subsetosa","(Malme) H.S.Irwin & Barneby",NA,"J. A. Ratter","R1986","1968","06","26","South America","Brazil","Mato Grosso","8 km NE of the Base Camp of the Expedition. (Base Camp c. 270 km N of Xavantina.)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1062913' target='other'> <mi>dwc_moreinfo</mi></a>","NY00978791","NY00978791_01",NA,NA,"-51.87","-12.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
