"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","imagecode","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","typeStatus","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2016-09-27 03:18:00-03","NY","NYBG","798423","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Senecio","heteroschizus","Senecio heteroschizus","C. Galander","1880","01","24","South America","Argentina","Quebrada al pié de los Gigantes, Sierra Achala","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=193915' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798423",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","798422","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Senecio","heteroschizus","Senecio heteroschizus","G. G. Hatschbach","1969","10","27","South America","Brazil","Rio Jangada","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=193914' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798422","Baker","Á. L. Cabrera","22722","Paraná","General Carneiro","-51.3156","-26.4275","NY00798422_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:35:05-03","EAO","IAN","60241","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Senecio","heteroschizus","Senecio heteroschizus","Sellow, F",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,"IAN060241","Baker",NA,"3217",NA,NA,NA,NA,"IAN060241 IAN060241_e IAN060241_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:51:25-03","NBC","NL-BOTANY","WAG.1484941","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Senecio","heteroschizus","Senecio heteroschizus","Hatschbach GG","1969","10","27","Southern America","Brazil","Rio Jangada (Mun Gal. Carneiro).",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1484941 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1484941","Baker",NA,NA,NA,NA,NA,NA,"NL-WAG1484941","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-27 13:27:53-03","IAP","PACA-AGP","4699","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Senecio","heteroschizus","Senecio heteroschizus","Rambo, B.","1942","01","15",NA,"Brasil",NA,NA,"PROVAVELMENTE EXTINTO&nf;Material não encontrado; verificado em 14.07.2011. Habitat: in silvula campestri aperta Fenofase: flor","PACA004699","Baker","A. Cabrera",NA,"RS","Bom Jesus","-50.4166984558105","-28.6678009033203",NA,"Magnoliatae","1954","07","07","55856","auto",NA,NA,NA,NA,NA,NA
"6","2019-08-27 13:27:53-03","IAP","PACA-AGP","52048","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Senecio","heteroschizus","Senecio heteroschizus","Rambo, B.","1952","02","20",NA,"Brasil","Jaquirana",NA,"PROVAVELMENTE EXTINTO&nf;Material não encontrado; verificado em 14.07.2011. Habitat: in araucarieto Fenofase: estéril","PACA052048","Baker","Emrich-Rambo",NA,"RS","São Francisco de Paula","-50.5835990905762","-29.4480991363525",NA,"Magnoliatae","1954","07","07","76715","auto",NA,NA,NA,NA,NA,NA
"7","2015-09-04 07:22:36-03","MNHN","RECOLNAT_MNHN_P","P03781668","PreservedSpecimen",NA,NA,NA,"Asteraceae","Senecio","heteroschizus","Senecio heteroschizus","Sellow",NA,NA,NA,NA,"Brasil",". Brasil, América do Sul","hb",". s.d. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03781668' target='other'> <mi>dwc_moreinfo</mi></a>","P03781668","Baker","Teles",NA,NA,NA,NA,NA,"P03781668_01",NA,NA,NA,NA,NA,NA,"3217",NA,NA,NA,NA,NA
"8","2021-02-11 17:18:09-03","UFPR","UPCB","18211","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Senecio","heteroschizus","Senecio heteroschizus","Hatschbach, G.","1989","12","15",NA,"Brasil","Jangada",NA,"Erva, capítulo amarelo, lígula alva. Margem da estrada ao longo do rio Jangada..",NA,"Baker","Hatschbach, G.","53653","Paraná","General Carneiro","-51.315601348877","-26.4274997711182",NA,NA,"1990","01","01","33284","auto",NA,NA,NA,NA,NA,NA
"9","2009-08-21 06:32:00-03","MO","MOBOT","2459073","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Senecio","heteroschizus","Senecio heteroschizus","Balduino Rambo",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,"Baker",NA,"Rambo 8949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2011-12-21 10:08:00-02","MO","MOBOT","2516557","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Senecio","heteroschizus","Senecio heteroschizus","José Arechavaleta",NA,NA,NA,"South America","Uruguay",NA,NA,NA,NA,"Baker",NA,"Arechavaleta y Balpardo s.n.21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2008-05-27 22:02:00-03","MO","MOBOT","3381822","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Senecio","heteroschizus","Senecio heteroschizus","Gert G. Hatschbach","1969",NA,NA,"South America","Brazil","Rio Jangada (mun. Gal. Carneiro).",NA,NA,NA,"Baker","A. Cabrera","Hatschbach 22722","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2009-12-04 16:33:00-02","MO","MOBOT","3382343","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Senecio","heteroschizus","Senecio heteroschizus","Gert G. Hatschbach|V. Nicolack","1989",NA,NA,"South America","Brazil","Jangada (mun. Gal. Carneiro)",NA,NA,NA,"Baker","G. Hatschbach","Hatschbach 53653","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
