"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","typeStatus","coordinatePrecision","geoFlag","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","00861912","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Mnesithea","aurita","Mnesithea aurita","(Steud.) de Koning & Sosef","H. S. Irwin","12893","1966","02","15","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 7 km W. of Veadeiros","-47.58153","-14.1167","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938349' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861912","NY00861912_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00861910","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Mnesithea","aurita","Mnesithea aurita","(Steud.) de Koning & Sosef","A. F. M. Glaziou","18655","1891",NA,NA,"South America","Brazil","Minas Gerais",NA,"Minas",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938336' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00861913","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Mnesithea","aurita","Mnesithea aurita","(Steud.) de Koning & Sosef","H. S. Irwin","24597a","1969","03","17","South America","Brazil","Goiás","Cavalcante","Chapada dos Veadeiros, ca. 60 km north of Veadeiros","-47.5167","-13.5744","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938353' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861913","NY00861913_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00861911","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Mnesithea","aurita","Mnesithea aurita","(Steud.) de Koning & Sosef","C. E. O. Kuntze","s.n.","1892","12",NA,"South America","Brazil","Minas Gerais","Contendas","Contendas.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938341' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861911","NY00861911_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00861938","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Mnesithea","aurita","Mnesithea aurita","(Steud.) de Koning & Sosef","H. S. Irwin","35036","1972","01","25","South America","Brazil","Goiás","Niquelândia","ca. 5 km W. of Niquelândia","-48.49637","-14.45","750","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938351' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861938","NY00861938_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","652490","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Mnesithea","aurita","Mnesithea aurita","(Steud.) de Koning & Sosef","E. Hassler","8211","1902","12",NA,"South America","Paraguay",NA,NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=269118' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00861935","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Mnesithea","aurita","Mnesithea aurita","(Steud.) de Koning & Sosef","C. E. O. Kuntze","s.n.","1892",NA,NA,"South America","Brazil","Minas Gerais","Contendas","Contendas.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938340' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861935","NY00861935_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 10:03:00-03","NY","NYBG","652489","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Mnesithea","aurita","Mnesithea aurita",NA,"F. Delascio","11501",NA,NA,NA,"South America","Venezuela","Guárico","Infante","Parque Nacional Aguaro-Guariquito: Morichal Indio Viejo","-67.9","9.833","100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=269114' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652489",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-11-01 14:00:00-02","NY","NYBG","652491","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Mnesithea","aurita","Mnesithea aurita",NA,"T. J. Killeen","624","1984","12","22","South America","Bolivia","Santa Cruz","Ñuflo de Chávez","1 km SW of Concepción on road to Santa Cruz","-62","-16.17",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=269116' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652491","NY00652491_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00861909","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Mnesithea","aurita","Mnesithea aurita","(Steud.) de Koning & Sosef","T. C. Plowman","8376","1980","02","04","South America","Brazil","Tocantins","Presidente Kennedy","Road from highway BR-153 to Itaporã, 12 km west of village of Presidente Kenedy. Fazenda Primavera Along Ribeirão Feínho.","-48.6008","-8.5006","400","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938309' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861909","NY00861909_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
