"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","individualCount","typeStatus","fieldNumber","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","887303","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.","M. S. Ferrucci","M. S. Ferrucci","1302","1998","08","11","South America","Brazil","Rio de Janeiro","Area de Proteçao Ambiental de Grumari","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1092078' target='other'> <mi>dwc_moreinfo</mi></a>","NY00887303","NY00887303_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:32:34-03","UFRJ","RFA","32687","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.","J.E. Santo & Y.M. Canalli","R. S. Candido; L. J. T. Cardoso & R. C. Lopes.","40","2006","06","09",NA,"Brasil","Rio de Janeiro","Restinga de Grumari (APA). beira da praia",NA,"Flor branca, folha composta.","RFA21392",NA,"2015","01","13","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:33:33-03","MN","R","8284","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.","Ferrucci, M.S.","Glaziou, A.F.M.","1342","1867","06","18",NA,"Brasil","Rio de Janeiro",NA,NA,"Plantas do Brasil Central","R000008284","R000008284_001","2002",NA,NA,"Taipu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0046028","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.","M. S. Ferrucci","M. S. Ferrucci; G. V. Somner, J. M. Braga, C. A. de Oliveira","1302","1998",NA,"11",NA,"Brazil","Rio de Janeiro","Area de Proteçao Ambiental de Grumari.",NA,"Trepadora herbacea, tallos geniculados; flores blanquecinas; frutos inmaduros verdes con estrias vinaceas.",NA,NA,NA,NA,NA,NA,"-43.533333","-23.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-20 10:26:04-03","UNICAMP","UEC","151416","S","Plantae","Magnoliopsida",NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.","Torres, RB","Torres, RB; Figueiredo, N; Oliveira, AR","335","1988","06","17",NA,"Brazil","São Paulo","Estação Ecológica de Angatuba. Mata Secundária.",NA,"Trepadeira. Fruto com alas bordô.","UEC086109","UEC086109","1988",NA,NA,"Angatuba","-48.594528","-23.711767",NA,NA,"-48.594528","-23.711767",NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:41:04-03","UNICAMP","UEC","153309","S","Plantae","Magnoliopsida",NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.","Urdampilleta, JD","Urdampilleta, JD; Obando, S","293","2005","09","27",NA,"Brazil","Rio de Janeiro","Camino a Paratimirim",NA,"Liana","UEC086112","UEC086112",NA,NA,NA,"Parati","-44.665833","-23.265",NA,NA,"-44.665833","-23.265",NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:41:04-03","UNICAMP","UEC","48658","S","Plantae","Magnoliopsida",NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.","Ferrucci, MS","Souza, VC; Souza, JP; Ivanauskas, NM; Duarte, AR; Eterovic, A; Marques, OAV","11033","1996","04","12",NA,"Brazil","São Paulo","Ilha da Queimada Grande.",NA,"Trepadeira, flores alvas.; Beira de mata.","UEC063924","UEC063924","2003",NA,NA,"Itanhaém","-46.7799987792969","-24.1800003051758","26998","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-01-17 11:27:08-02","PUCRS","MPUC","20586","S","Plantae",NA,"Sapindales","Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess",NA,"Rita",NA,"2002","04","19","South America","Argentina",".","Rio Uruguai",NA,NA,NA,NA,NA,NA,NA,"Ilha do Pacu",NA,NA,NA,NA,NA,NA,"Magnoliopsida","1",NA,NA,NA,NA
"9","2020-04-27 16:11:38-03","UFES","VIES","6174","S","Plantae",NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.","Zambom; Fernandes","Rosa, L.V.; Pereira, O.J. & Gomes, J.M.L.","143","1991","07","09",NA,"Brasil","Espírito Santo","Setiba.",NA,NA,"VIES006174","VIES006174","1995","09","26","Guarapari","-40.5110015869141","-20.6580009460449","28401","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-06-27 10:26:49-03","UFES","VIES","2981","S","Plantae",NA,NA,"Sapindaceae","Urvillea","glabra","Urvillea glabra","Cambess.",NA,"Pereira, O.J.; Fabris, L.C.","1703","1988","08","04",NA,"Brasil","Espírito Santo","Setiba.",NA,NA,"VIES002981","VIES002981",NA,NA,NA,"Guarapari","-40.5110015869141","-20.6580009460449","28401","auto",NA,NA,NA,NA,NA,NA,NA,NA
