"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","identifiedBy","imagecode","order","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","continentOcean","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","typeStatus","class","relatedCatalogItem"
"1","2020-06-29 11:29:51-03","UFRJ","RFA","30802","PreservedSpecimen","Plantae","Clusiaceae","Clusia","aemygdioi","Clusia aemygdioi","Gomes da Silva & B.Weinberg","T. Wendt; A.P.G. Faria; G. Brown; D. Medina; L.F.G. Silva","408","2002","09","26","Brasil","Espírito Santo","Santa Teresa","estação Biológica de Santa Lúcia, início da trilha Indaiá-açú","-40.6002998352051","-19.9356002807617","23813","Árvore 6 m de altura. Folha verde, flor masculina branca -amarelada, pétalas ligeiramente avermelhadas próximo aos estames, presença de látex, comum no local","RFA40939","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:29:51-03","UFRJ","RFA","30804","PreservedSpecimen","Plantae","Clusiaceae","Clusia","aemygdioi","Clusia aemygdioi","Gomes da Silva & B.Weinberg","L.F.G. Silva; T. Wendt; A.P.G. Faria; G. Brown; D. Medina","2","2002","09","27","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia, trilha do rio Timbuí (trilha do bambusal) antes da ponte para a trilha Tapinoã","-40.6002998352051","-19.9356002807617","23813","Árvore 5 m de altura. Folha verde; flores masculinas brancas, pétalas vermelho-escuras internamente próximo aos estames, presença de látex, comum no local","RFA40941","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:29:51-03","UFRJ","RFA","30803","PreservedSpecimen","Plantae","Clusiaceae","Clusia","aemygdioi","Clusia aemygdioi","Gomes da Silva & B.Weinberg","L.F.G. Silva; T. Wendt; A.P.G. Faria; G. Brown; D. Medina","1","2002","09","27","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia, trilha do rio Timbuí (trilha do bambusal) antes da ponte para a trilha Tapinoã","-40.6002998352051","-19.9356002807617","23813","Árvore 4 m de altura; folha verde, flor totalmente branca masculina presença de látex, comum no local","RFA40937","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:29:51-03","UFRJ","RFA","30805","PreservedSpecimen","Plantae","Clusiaceae","Clusia","aemygdioi","Clusia aemygdioi","Gomes da Silva & B.Weinberg","L.F.G. Silva; T. Wendt; A.P.G. Faria; G. Brown; D. Medina","3","2002","09","27","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia, trilha Tapinoã (do outro lado do rio)","-40.6002998352051","-19.9356002807617","23813","Árvore 5 m de altura; folha verde, flor masculina, branca, pouco pigmento vermelho próximo aos estames nas pétalas internamente, presença de látex, comum no local","RFA40938","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:29:51-03","UFRJ","RFA","30808","PreservedSpecimen","Plantae","Clusiaceae","Clusia","aemygdioi","Clusia aemygdioi","Gomes da Silva & B.Weinberg","L.F.G. Silva; T. Wendt; A.P.G. Faria; G. Brown; D. Medina","6","2002","09","27","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia, trilha Tapinoã (do outro lado do rio)","-40.6002998352051","-19.9356002807617","23813","Árvore 4 m de altura. Folha verde, fruto verde com estigmas persistentes no mais jovem amarelo e no mais maduro avermelhado, botões florais verdes, presença de látex, rara no local","RFA40940","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:04:58-03","ESALQ","ESA","80464","PreservedSpecimen","Plantae","Clusiaceae","Clusia","aemygdioi","Clusia aemygdioi","A.Gomes da Silva & B.Weinberg","Hatschbach, G. et al.","69071.0","1999","05","16","Brasil","Espírito Santo","Alfredo Chaves",NA,"-40.749698638916","-20.6350002288818","32447",NA,"ESA080464","auto","Magnoliophyta","Bittrich, V.","ESA080464",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0039863","PreservedSpecimen","Plantae","Clusiaceae","Clusia","aemygdioi","Clusia aemygdioi","Gomes da Silva & B.Weinberg","G. Hatschbach; M. Hatschbach, J. M. Silva","69071","1999",NA,"16","Brazil","Espirito Santo",NA,"Estrada Sao Bento de Urania a Alfredo Chaves (Mun. Alfredo Chaves).","-40.74931","-20.635712",NA,"Arvoreta, 4m, flor creme, base interna vermelho-pinhao.",NA,NA,"Magnoliophyta","Volker Bittrich",NA,"Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0039865","PreservedSpecimen","Plantae","Clusiaceae","Clusia","aemygdioi","Clusia aemygdioi","Gomes da Silva & B.Weinberg","G. Hatschbach; M. Hatschbach, J. M. Silva","65253","1996",NA,"7","Brazil","Espirito Santo",NA,"Estrada Sao Bento de Urania a Castelinho (Mun. Alfredo Chaves).","-40.74931","-20.635712",NA,"Arvore, 5m, flor creme, latex creme.",NA,NA,"Magnoliophyta","V. Bittrich",NA,"Malpighiales","900","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-21 14:33:23-03","UFJF","CESJ","23245","PreservedSpecimen","Plantae","Clusiaceae","Clusia","aemygdioi","Clusia aemygdioi","Gomes da Silva & B. Weinberg","L. Krieger; et alli","CESJ23245","1988","11","19","Brasil","Minas Gerais",NA,"Parque Nacional do Caparaó, Vale Verde",NA,NA,NA,"Árvore, 6m alt., à beira de córrego, flores cor de vinho, em frutificação.","CESJ023245",NA,"Angiosperma","L. Marinho","CESJ023245 CESJ023245_1 CESJ023245_2",NA,NA,NA,"2014","América do Sul",NA,NA,NA,NA,NA,NA,NA
"10","2019-11-21 14:33:23-03","UFJF","CESJ","23279","PreservedSpecimen","Plantae","Clusiaceae","Clusia","aemygdioi","Clusia aemygdioi","Gomes da Silva & B. Weinberg","L. Krieger; et alii","CESJ23279","1988","12","17","Brasil","Minas Gerais",NA,"Parque Nacional do Caparaó, Córrego do Inácio.",NA,NA,NA,"à beira de riacho, flores roxo-avermelhadas. Árvore, 3m alt.","CESJ023279",NA,"Angiosperma","L. Marinho","CESJ023279",NA,NA,NA,"2014","América do Sul",NA,NA,NA,NA,NA,NA,NA
