"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","previousCatalogNumber","individualCount","typeStatus","fieldNumber"
"1","2021-04-05 14:33:35-03","UNESC","CRI","5410","PreservedSpecimen","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Nees","Vanilde Citadini- Zanette","Maria Costa Rebelo","1996","09","17","Brasil","Santa Catarina","Jaguaruna","Praça Joaquim.","-49.025833","-28.615556","49º1'33''W","28º36'56''S","12","12","Habito: herbácea","CRI003498","CRI003498",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:35-03","UNESC","CRI","12532","PreservedSpecimen","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Nees","Aline Votri Guislon & Renato colares","Alexandre Medeiros","2017","05","06","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.593333","-27.006944","48º35'36''W","27º0'25''S",NA,NA,"Coleta 270. Habito: Arbustivo","CRI010739","CRI010739","2017","07","25","270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:35-03","UNESC","CRI","7013","PreservedSpecimen","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Nees",NA,"Márcia Borges Joaquim","1999","03","01","Brasil","Santa Catarina","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S","9","9",NA,"CRI003495","CRI003495",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-30 19:13:00-03","NY","NYBG","02350312","PreservedSpecimen","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens",NA,NA,"Collector unspecified","1828",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cult. Basil. legi med. 8 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2533593' target='other'> <mi>dwc_moreinfo</mi></a>","NY02350312","NY02350312_01",NA,NA,NA,"s.n.","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00527162","PreservedSpecimen","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Wied-Nuew.","G. M. Barroso","J. S. Silva","1974","04","09","Brazil","São Paulo","Sao Paulo","Sao Paulo, nativa no Jardim Botânico e Parque do Estado. Area 07","-46.621883","-23.654505",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=112338' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527162","NY00527162_01",NA,NA,NA,"277","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00527168","PreservedSpecimen","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Wied-Nuew.","C. C. Epling","R. Reitz","1956","02","05","Brazil","Santa Catarina","Ibirama","Ibirama","-49.534691","-27.013976",NA,NA,"100","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=112341' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527168","NY00527168_01",NA,NA,NA,"2625","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00527163","PreservedSpecimen","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Wied-Nuew.",NA,"S. Romaniuc Neto","1982","04","27","Brazil","São Paulo","Sao Paulo","Sao Paulo, Jardim Botanico, Quadrado 02","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=112345' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527163","NY00527163_01",NA,NA,NA,"41","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00527161","PreservedSpecimen","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Wied-Nuew.","M. Kuhlmann","A. Etzel","1937","07","24","Brazil","São Paulo","Sao Paulo","Sao Paulo. Viv. da Prefeitura Municipal.","-46.63","-23.5403",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=112342' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527161","NY00527161_01",NA,NA,NA,"s.n.","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00896824","PreservedSpecimen","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Wied-Nuew.",NA,"J. Bowie","1814",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968865' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896824","NY00896824_01",NA,NA,NA,"s.n.","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00527166","PreservedSpecimen","Plantae","Lamiaceae","Salvia","splendens","Salvia splendens","Sellow ex Wied-Nuew.","J. R. I. Wood","S. Tsugaru","1987","11","17","Brazil","São Paulo","Jandira","Rua Fernando Pessoa, Jandira, Sao Paulo","-46.9025","-23.5278",NA,NA,"750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=112343' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527166","NY00527166_01",NA,NA,NA,"B-2112","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
