"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","coordinatePrecision","geoFlag","class","minimumElevationInMeters","maximumElevationInMeters","fieldNumber"
"1","2021-04-05 14:33:50-03","UNESC","CRI","12927","PreservedSpecimen","Plantae","Orchidaceae","Catasetum","atratum","Catasetum atratum","Lindl.","Alexandre Medeiros","2017","11","28","Alexandre Medeiros","2017","11","28","Brasil","Santa Catarina","Balneário Camboriú","Pinhonat","-48.637778","-27.001389","48º38'16''W","27º0'5''S","Coleta 756. Habito: Epífita","CRI011535","CRI011535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","547415","PreservedSpecimen","Plantae","Orchidaceae","Catasetum","atratum","Catasetum atratum","Lindl.","G. A. Romero",NA,NA,NA,"F. C. Hoehne","1922","11","22","Brazil","Minas Gerais",NA,"Serra do Areiao",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=308148' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547415","NY00547415_01","Magnoliophyta","Asparagales","8136","South America","sheet",NA,NA,NA,NA,NA,NA
"3","2021-03-31 13:40:42-03","MN","R","35839","PreservedSpecimen","Plantae","Orchidaceae","Catasetum","atratum","Catasetum atratum","Lindl.","Bicalho, H.D.","1966","01",NA,"Hoehne, F.C.","1913","01",NA,"Brasil","Mato Grosso","Cáceres",NA,"-57.6789016723633","-16.0706005096436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"172193","auto",NA,NA,NA,NA
"4","2019-08-27 13:26:31-03","IAP","PACA-AGP","63458","PreservedSpecimen","Plantae","Orchidaceae","Catasetum","atratum","Catasetum atratum","Lindl.","V.F. Nunes","1990","11","26","Rambo, B.","1958","01","25","Brasil","RS","Osório","Faz. do Arroio","-50.2696990966797","-29.8866996765137",NA,NA,"EM PERIGO Habitat: In silva ad arborem Fenofase: flor feminina","PACA063458",NA,"Magnoliophyta","Orchidales",NA,NA,NA,"27350","auto","Liliatae",NA,NA,NA
"5","2019-08-27 13:26:31-03","IAP","PACA-AGP","49454","PreservedSpecimen","Plantae","Orchidaceae","Catasetum","atratum","Catasetum atratum","Lindl.","Pabst","1954","09","03","Rambo, B.","1950","12",NA,"Brasil","RS","Osório",NA,"-50.2696990966797","-29.8866996765137",NA,NA,"EM PERIGO Habitat: In silva campestri Fenofase: flor Hábito: epífito","PACA049454",NA,"Magnoliophyta","Orchidales",NA,NA,NA,"27350","auto","Liliatae",NA,NA,NA
"6","2016-07-05 11:14:14-03","FFCLRP","LBMBP","897","S","Plantae","Orchidaceae","Catasetum","atratum","Catasetum atratum","Lindl.","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,"Brasil","Santa Catarina","Joinville",NA,"-48.833333","-26.3","48°50'W","26°18'S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-21 14:40:39-03","UFJF","CESJ","60884","PreservedSpecimen","Plantae","Orchidaceae","Catasetum","atratum","Catasetum atratum","Lindl.","L. Menini Neto","2011","12",NA,"L. Menini Neto",NA,NA,NA,"Brasil","Minas Gerais","Juiz de Fora","Parque da Lajinha","-43.371944","-21.791944","-43.371944","-21.791944","Epífita. Pseudobulbos e folhas verde-claros, sépalas e pétalas verdes, densamente pintalgados de castanho, labelo creme, pintalgado de castanho e ápice com mácula ocre e fímbrias verde-claro. Floresceu em cultivo em 12.2011.","CESJ060884",NA,"Angiosperma",NA,"1066","América do Sul",NA,NA,NA,NA,"840","840",NA
"8","2020-10-14 10:03:58-03","FURB","FURB","17330","PreservedSpecimen","Plantae","Orchidaceae","Catasetum","atratum","Catasetum atratum","Lindl.","Mancinelli, WS","2010","01","25","Stival-Santos, A.; Legal, E. & Silveira, S.","2009","11","17","Brasil","Santa Catarina","Brusque","Barracão.","-48.8697223","-27.0055556","-48.8697223","-27.0055556","Florística IFFSC 573 (Epífita), encontrada apenas na subunidade norte. Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: erva terrícola; flor botão floral","FURB02716","FURB02716",NA,NA,"1234",NA,NA,NA,NA,NA,"45","45",NA
"9","2020-12-21 16:38:18-03","MBM","MBM","12729","PreservedSpecimen","Plantae","Orchidaceae","Catasetum","atratum","Catasetum atratum","Lindl.","Pabst, G.",NA,NA,NA,"Hatschbach, G.","1969","02","02","Brazil","Paraná","Antonina","Rio Pequeno","-48.7118988037109","-25.4286003112793",NA,NA,NA,"MBM012729","MBM012729",NA,NA,"20978","Southern America",NA,"38300","auto",NA,NA,NA,NA
"10","2015-09-03 17:27:38-03","MNHN","RECOLNAT_MNHN_P","P00612267","PreservedSpecimen",NA,"Orchidaceae","Catasetum","atratum","Catasetum atratum","Lindl.","Romero",NA,NA,NA,"Regnell, A.F.","1871","1","25","Brésil",NA,NA,"Caldas",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00612267' target='other'> <mi>dwc_moreinfo</mi></a>","P00612267","P00612267_01",NA,NA,NA,NA,"hb",NA,NA,NA,NA,NA,"III 2005"
