"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus","relatedCatalogItem","coordinatePrecision","geoFlag","yearIdentified","fieldNumber","verbatimLongitude","verbatimLatitude","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","585697","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","ternstroemiifolia","Heteropterys ternstroemiifolia","A.Juss.","A. M. Amorim","A. M. Amorim","3212","1999","12","20","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Mata do Entorno do Jardim Botânico do Rio de Janeiro, trilha para a Pedra do Marinheiro, vertente norte","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=136636' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585697","NY00585697_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","585711","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","ternstroemiifolia","Heteropterys ternstroemiifolia","A.Juss.","A. M. Amorim","A. M. Amorim","3619","2001","01","18","South America","Brazil","Rio de Janeiro","Mangaratiba","RPPN Rio das Pedras. Tilha para o Pico do Corisquinho","-44.1","-22.98","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=136637' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585711","NY00585711_01","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:55:21-03","NBC","NL-BOTANY","U 0006339","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Heteropterys","ternstroemiifolia","Heteropterys ternstroemiifolia","A.Juss.","Anderson WR","Riedel L",NA,NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"Rio Janeiro",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200006339 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0006339","NL-U0006339",NA,NA,"Magnoliopsidae","isotype","1157",NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 09:30:43-03","UFRRJ","RBR","4295","S","Plantae",NA,NA,"Malpighiaceae","Heteropterys","ternstroemiifolia","Heteropterys ternstroemiifolia","A.Juss.",NA,"G.V. Somner","652","1991","07","23",NA,"Brasil","Rio de Janeiro","Mangaratiba","Ilha da Marambaia, Mata próximo a gruta.","-44.040599822998","-22.9596996307373",NA,NA,"RBR00004295",NA,NA,NA,NA,NA,NA,"17272","auto",NA,NA,NA,NA,NA
"5","2019-08-15 09:03:51-03","UESC","UESC","9996","S","Plantae","Angiospermae","Florideophycidae","Malpighiaceae","Heteropterys","ternstroemiifolia","Heteropterys ternstroemiifolia","A.Juss.","A.M.Amorim","Amorim, A.M.","3365","2000","03","24",NA,"Brasil","Rio de Janeiro","Mangaratiba",NA,"-44.040599822998","-22.9596996307373",NA,"Liana ca. 2-10m alt.; Frutos em álcool 70%. Foto.","UESC0009996",NA,"400","400","Dicotyledoneae",NA,NA,"17272","auto","2003",NA,NA,NA,NA
"6","1996-02-26 15:07:10-03","MNHN","RECOLNAT_MNHN_P","P00673729","PreservedSpecimen",NA,NA,NA,"Malpighiaceae","Heteropterys","ternstroemiifolia","Heteropterys ternstroemiifolia","A.Juss.",NA,"Martius, C.F. von",NA,NA,"9",NA,NA,"Brésil",NA,NA,"In sylvis caeduis prope sebastianopolim et mandiocca",NA,NA,"hb","Ex herb. et dono D. Martius 1836 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00673729' target='other'> <mi>dwc_moreinfo</mi></a>","P00673729","P00673729_01",NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-09-05 08:43:41-03","MNHN","RECOLNAT_MNHN_P","P05596721","PreservedSpecimen",NA,NA,NA,"Malpighiaceae","Heteropterys","ternstroemiifolia","Heteropterys ternstroemiifolia","A.Juss.",NA,"Nadeaud",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05596721' target='other'> <mi>dwc_moreinfo</mi></a>","P05596721","P05596721_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-09-05 08:43:41-03","MNHN","RECOLNAT_MNHN_P","P05596720","PreservedSpecimen",NA,NA,NA,"Malpighiaceae","Heteropterys","ternstroemiifolia","Heteropterys ternstroemiifolia","A.Juss.",NA,"Glaziou, A.",NA,"1867","10","29",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Copacabana.","-43.2075004577637","-22.9027996063232","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05596720' target='other'> <mi>dwc_moreinfo</mi></a>","P05596720","P05596720_01",NA,NA,NA,NA,NA,"57442","auto",NA,"2116",NA,NA,NA
"9","2021-03-15 18:28:30-03","USP","SPF","161216","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","ternstroemiifolia","Heteropterys ternstroemiifolia","A.Juss.","Amorim, AMA","Amorim, AMA","3212","1999","12","20",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Mata do Entorno do Jardim Botânico do Rio de Janeiro, trilha para a Pedra do Marinheiro, vertente norte. Floresta ombrófila de encosta.","-43.2075004577637","-22.9027996063232",NA,"Liana pouco lenhosa. Ramos jovens ferrugíneos a acinzentados. Folhas verdes, a face superior escura e brilhante, indumento ferrugíneo em ambas as faces quando jovem. Pedicelos, cálice e glândulas verdes. Pétalas amarelo-pálido, forte","SPF00161216","SPF00161216",NA,NA,NA,NA,NA,"57442","auto","1999",NA,NA,NA,NA
"10","2019-09-04 18:37:42-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Malpighiaceae","Banisteria","ternstroemiifolia","Banisteria ternstroemiifolia",NA,NA,"L. Riedel",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"Dicotyledoneae","Type [status unknown]",NA,NA,NA,NA,NA,NA,NA,NA
