"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","class","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","130895","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Bathysa","gymnocarpa","Bathysa gymnocarpa","K.Schum.","syntype","L. Riedel","629","1832","08","South America","Brazil","Rio de Janeiro","In sylv.","sheet","Ex herbario horti Petropolitani <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=218074' target='other'> <mi>dwc_moreinfo</mi></a>","NY00130895","NY00130895_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","396530","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Bathysa","gymnocarpa","Bathysa gymnocarpa","K.Schum.",NA,"G. Gardner","5483","1842",NA,"South America","Brazil","Rio de Janeiro",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=218071' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396530","NY00396530_01","B. M. Boom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1018090","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Bathysa","gymnocarpa","Bathysa gymnocarpa","K.Schum.",NA,"S. J. da Silva Neto","484","1994","11","South America","Brazil","Rio de Janeiro","Morro da Catanuda, picada para a serra do Beco.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1248658' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018090","NY01018090_01",NA,"16","Nova Iguaçú","-43.4508","-22.7594",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","396531","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Bathysa","gymnocarpa","Bathysa gymnocarpa","K.Schum.",NA,"L. B. Smith","5006","1971","11","South America","Brazil","Rio de Janeiro","Guanabara, Tijuca, Estrada da Vista Chinesa","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=218073' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396531","NY00396531_01","L. B. Smith",NA,"Rio de Janeiro","-43.257166","-22.971675",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","03188784","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Bathysa","gymnocarpa","Bathysa gymnocarpa","K.Schum.",NA,"J. A. Oliveira","419","2013","10","South America","Brazil","Rio de Janeiro","Estrada entre a Vista Chinesa e a Mesa do Imperador. Parque Nacional da Tijuca","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3437939' target='other'> <mi>dwc_moreinfo</mi></a>","NY03188784","NY03188784_01",NA,"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","130896","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Bathysa","gymnocarpa","Bathysa gymnocarpa","K.Schum.","syntype","L. Riedel","629","1832","08","South America","Brazil","Rio de Janeiro","In sylv.","sheet","Ex herbario horti Petropolitani <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=218075' target='other'> <mi>dwc_moreinfo</mi></a>","NY00130896","NY00130896_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02578902","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Bathysa","gymnocarpa","Bathysa gymnocarpa","K.Schum.",NA,"S. J. da Silva Neto","965","1997","08","South America","Brazil","Rio de Janeiro","Trilha para a estrada Rio-Petropolis. Reserva da Petrobras","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2846400' target='other'> <mi>dwc_moreinfo</mi></a>","NY02578902","NY02578902_01",NA,"27","Duque de Caxias","-43.233333","-22.516667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","396529","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Bathysa","gymnocarpa","Bathysa gymnocarpa","K.Schum.",NA,"A. P. Duarte","798","1947","01","South America","Brazil","Distrito Federal","Corcovado","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=218072' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396529","NY00396529_01","B. D. Sucre","02","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2017-05-17 10:20:00-03","NY","NYBG","02680606","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Bathysa","gymnocarpa","Bathysa gymnocarpa",NA,NA,"J. M. A. Braga","102","1992","09","South America","Brazil","Rio de Janeiro","Maciço da Tijuca, serra da Carioca, morro Mundo Novo, Botafogo, Campus da Universidade Santa Úrsula.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2949002' target='other'> <mi>dwc_moreinfo</mi></a>","NY02680606","NY02680606_01",NA,"03","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 11:32:18-03","UFRJ","RFA","16403","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Bathysa","gymnocarpa","Bathysa gymnocarpa","K.Schum.",NA,"P. Occhioni","7410","1975","06",NA,"Brasil","Rio de Janeiro","Serra dos Órgãos, loc. Limoeiro",NA,"Arbusto 3 - 4m alt. fl. alvas","RFA14006",NA,"M. Gomes",NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto","2014","08","27",NA,NA,NA,NA,NA,NA,NA,NA
