"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","county","locality","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","typeStatus","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","477108","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Calophyllaceae","Kielmeyera","occhioniana","Kielmeyera occhioniana","Saddi","N. Saddi","T. S. dos Santos","1477","1971","03","26","South America","Brazil","Bahia","-39.039072","-15.159747","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=260955' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477108","NY00477108_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:12:26-03","UFBA","ALCB","92610","PreservedSpecimen","Plantae","Dicotyledon",NA,"Calophyllaceae","Kielmeyera","occhioniana","Kielmeyera occhioniana","Saddi","Santos, APB","Guedes, ML; Alves, L. de J.; Loureiro, DM; Oliveira, ARJ; Santos, EC","16481","2009","09",NA,"Southern America","Brasil","Bahia","-39.708611","-14.181389",NA,"com látex amarelado. Folhas coriáceas, discolores. Inflorescência com flores de pétalas branco-rosada.","ALCB038725",NA,"2014","04","08","Itagibá","Litoral Sul, Mata da Botinha","-39.708611","-14.181389",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:27:33-03","UNICAMP","UEC","166562","S","Plantae","Magnoliopsida",NA,"Calophyllaceae","Kielmeyera","occhioniana","Kielmeyera occhioniana","Saddi","Jesus, RM","Spada, JS","70/78","1978","03","21",NA,"Brazil","Espírito Santo","-40.0722007751465","-19.3910999298096",NA,"Forma de vida: terrestre.&nf;Porte: arbóreo.&nf;Altura total: 28.&nf;Forma do fuste: cilíndrico.&nf;Altura do fuste: 25.&nf;Superficie da casca: áspera.&nf;CAP do fuste: 119.&nf;Cor do botão: verde claro.&nf;Diâmetro da copa: 6.&nf;Cor da flor: branco.","UEC036177","UEC036177","1979","12","14","Linhares","Estrada: Gávea.&nf;Km: 6,3&nf;Localização: Talhão 403&nf;Ecossistema: mata de tabuleiro.",NA,NA,"48094","auto",NA,NA,NA,NA,NA
"4","2021-03-01 16:27:33-03","UNICAMP","UEC","141939","S","Plantae","Magnoliopsida",NA,"Calophyllaceae","Kielmeyera","occhioniana","Kielmeyera occhioniana","Saddi","Folli, DA","Folli, DA","5994","2008","03","26",NA,"Brazil","Espírito Santo","-40.0722007751465","-19.3910999298096",NA,"Porte Arbóreo, Terrestre, Botão Branco, Flor Branca, Exsudação Amarelo, Escamação em ripas, exsudação Latex.; Mata ciliar.","UEC169304","UEC169304","2008","03","26","Linhares","Reserva Natural Vale, Estrada Jueirana facão.",NA,NA,"48094","auto",NA,NA,NA,NA,NA
"5","2021-03-01 16:27:33-03","UNICAMP","UEC","92827","S","Plantae","Magnoliopsida",NA,"Calophyllaceae","Kielmeyera","occhioniana","Kielmeyera occhioniana","Saddi","Folli, DA","Folli, DA; Siqueira, GS","7191","2014","04","07",NA,"Brazil","Espírito Santo","-40.0722007751465","-19.3910999298096",NA,"Porte Arbóreo, terrestre, botão branco, Flor branca, Exsudação amarelo, descamação ausente, exsudação Latex.; Mata de Tabuleiro.","UEC169303","UEC169303","2014","04","07","Linhares","Reserva Natural Vale, Estrada Jueirana facão.",NA,NA,"48094","auto",NA,NA,NA,NA,NA
"6","2021-03-01 16:27:33-03","UNICAMP","UEC","197943","S","Plantae","Magnoliopsida",NA,"Calophyllaceae","Kielmeyera","occhioniana","Kielmeyera occhioniana","Saddi",NA,"Thomaz, LD","1688","1993","08","03",NA,"Brazil","Espírito Santo","-40.6002998352051","-19.9356002807617",NA,"rebroto; Mata atlântica de encosta","UEC124250","UEC124250","1993","08","03","Santa Teresa","ESTAÇÃO BIOLÓGICA DE SANTA LÚCIA",NA,NA,"23813","auto",NA,NA,NA,NA,NA
"7","2019-06-27 10:24:28-03","UFES","VIES","31279","S","Plantae",NA,NA,"Calophyllaceae","Kielmeyera","occhioniana","Kielmeyera occhioniana","Saddi",NA,"Curto, R.A.; Martins, L.T.; Klippel, V.H. & Silva, A.E.","90","2010","08","28",NA,"Brasil","Espírito Santo","-41.6794013977051","-20.7756004333496",NA,NA,"VIES031279","VIES031279",NA,NA,NA,"Guaçuí","Floresta do Rosal.",NA,NA,"17884","auto","650","650",NA,NA,NA
"8","2019-06-27 10:24:28-03","UFES","VIES","14461","S","Plantae",NA,NA,"Calophyllaceae","Kielmeyera","occhioniana","Kielmeyera occhioniana","Saddi","CEPEC","Thomaz, L.D.","1688","1993","08","03",NA,"Brasil","Espírito Santo","-40.6002998352051","-19.9356002807617",NA,NA,"VIES014461","VIES014461","1995",NA,NA,"Santa Teresa","Estação Biológica de Santa Lúcia.",NA,NA,"23813","auto",NA,NA,NA,NA,NA
"9","2021-04-05 11:05:57-03","UNESP-IBB","BOTUW","260","PreservedSpecimen","Plantae",NA,NA,"Clusiaceae","Kielmeyera","occhioniana","Kielmeyera occhioniana","Saddi",NA,NA,NA,NA,NA,NA,NA,"Brasil","Espírito Santo","-40.533333","-19.866667",NA,NA,"BOTUW000260",NA,NA,NA,NA,NA,"Comp. Vale do Rio Doce","40°32'W","19°52'S",NA,NA,NA,NA,NA,NA,NA
"10","2020-06-18 10:56:30-03","UFRRJ","RBR","1295","S","Plantae",NA,NA,"Clusiaceae","Kielmeyera","occhioniana","Kielmeyera occhioniana","Saddi","A. Amorim","J. Spada","223","1973","03","23",NA,"Brasil","Espírito Santo","-40.0722007751465","-19.3910999298096",NA,NA,"RBR00001295","RBR00001295 RBR00001295_1","1990","09","06","Linhares","Estrada 142. Talhão 403.",NA,NA,"48094","auto",NA,NA,"Isotipo",NA,NA
"11","2020-06-29 09:30:03-03","UFRRJ","RBR","4113","S","Plantae",NA,NA,"Clusiaceae","Kielmeyera","occhioniana","Kielmeyera occhioniana","Saddi","Amorim. André","J. Spada","070/78","1978","03","21",NA,"Brasil","Espírito Santo",NA,NA,NA,NA,"RBR00004113","RBR00004113","1990","09","06","Espírito Santo","Brasil, Est. Esp. Santo, Reserva F. Linhares, CVRD Est. X-2 Km 6.300 talhão 403",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2013-04-01 09:18:01-03","IPT","BCTW","19127","S","Plantae","Magnoliophyta",NA,NA,"Kielmeyera","occhioniana","Kielmeyera occhioniana","Saddi",NA,NA,NA,NA,NA,NA,NA,"Brasil","Espírito Santo","-40.0722","-19.3911",NA,NA,NA,NA,NA,NA,NA,"Linhares","Reserva Florestal da Cia Vale do Rio Doce (CVRD)",NA,NA,"48094","auto",NA,NA,NA,"Magnoliopsida",NA
"13","2020-07-10 09:46:24-03","MBML","MBML-HERBARIO","51437",NA,"Plantae",NA,NA,"Guttiferae","Kielmeyera","occhioniana","Kielmeyera occhioniana","Saddi","A.P.B. Santos/11-06-2018","C. N. de Fraga; L. Kollmann, F.R.M. Fraga, M.F.O. Silva","3738","2016","12","15",NA,"Brasil","Espírito Santo","-40.698056","-18.988611",NA,"Inselberg, Árvore, ca 8m. Folhas verdes discolores. Botões verdes. Fruto castanho caido no chão.","MBML051437","MBML051437",NA,NA,NA,"Águia Branca","Lage de granito, em estrada vicinal de São Gabriel da Palha para Águia Branca, propriedade do Sr. Rochinha","40W41'53","18S59'19",NA,NA,NA,NA,NA,NA,NA
"14","2020-07-10 09:46:24-03","MBML","MBML-HERBARIO","7226",NA,"Plantae",NA,NA,"Guttiferae","Kielmeyera","occhioniana","Kielmeyera occhioniana","Saddi","F.Z. Saiter/30-X-2012","L. D. Thomaz","1605","1993","05","12",NA,"Brasil","Espírito Santo","-40.530278","-19.971389",NA,"Altura 12m, PAP 45cm, caule interno róseo, látex creme. Estéril.","MBML007226","MBML007226",NA,NA,NA,"Santa Teresa","Estação Biológica de Santa Lúcia","40W31'49","19S58'17",NA,NA,NA,NA,NA,NA,NA
"15","2020-07-10 09:46:24-03","MBML","MBML-HERBARIO","7307",NA,"Plantae",NA,NA,"Guttiferae","Kielmeyera","occhioniana","Kielmeyera occhioniana","Saddi","CEPEC/1995","L. D. Thomaz","1688","1993","08","03",NA,"Brasil","Espírito Santo","-40.530278","-19.971389",NA,"Altura 6m, PAP 24cm, caule interno branco. Rebroto. Estéril.","MBML007307","MBML007307",NA,NA,NA,"Santa Teresa","Estação Biológica de Santa Lúcia","40W31'49","19S58'17",NA,NA,NA,NA,NA,NA,NA
"16","2021-02-25 10:12:46-03","CVRD","CVRD","1012","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Calophyllaceae","Kielmeyera","occhioniana","Kielmeyera occhioniana","Saddi","Rafaela J. Trad","Folli, D.A.","424","1983","02","17","América do Sul","BRASIL","ES","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Anete","CVRD001012",NA,"2014","03","20","Linhares",NA,NA,NA,"48094","auto",NA,NA,NA,"Magnoliopsida",NA
"17","2021-02-25 10:12:46-03","CVRD","CVRD","233","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Calophyllaceae","Kielmeyera","occhioniana","Kielmeyera occhioniana","Saddi","Nagib Saddi","Spada, J.","223","1973","03","23","América do Sul","BRASIL","ES","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Anete","CVRD000233","CVRD000233","1978","03","24","Linhares",NA,NA,NA,"48094","auto",NA,NA,"ISOTYPUS","Magnoliopsida",NA
"18","2021-02-25 10:12:46-03","CVRD","CVRD","1006","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Calophyllaceae","Kielmeyera","occhioniana","Kielmeyera occhioniana","Saddi","Rafaela J. Trad","Folli, D.A.","420","1983","01","28","América do Sul","BRASIL","ES","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Anete","CVRD001006",NA,"2014","03","20","Linhares",NA,NA,NA,"48094","auto",NA,NA,NA,"Magnoliopsida",NA
"19","2021-02-25 10:12:46-03","CVRD","CVRD","121","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Calophyllaceae","Kielmeyera","occhioniana","Kielmeyera occhioniana","Saddi","Rafaela J. Trad","Spada, J.","4","1978","12","27","América do Sul","BRASIL","ES","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Anete","CVRD000121",NA,"2014","03","20","Linhares","L-2, D-1, B.25A- Sítio 8",NA,NA,"48094","auto",NA,NA,NA,"Magnoliopsida",NA
"20","2021-02-25 10:12:46-03","CVRD","CVRD","187","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Calophyllaceae","Kielmeyera","occhioniana","Kielmeyera occhioniana","Saddi","Renato Moraes de Jesus","Spada, J.","70","1978","03","21","América do Sul","BRASIL","ES","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Anete","CVRD000187","CVRD000187","1979","12","14","Linhares","Talhão 403",NA,NA,"48094","auto",NA,NA,NA,"Magnoliopsida",NA
"21","2021-02-25 10:12:46-03","CVRD","CVRD","14886","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Calophyllaceae","Kielmeyera","occhioniana","Kielmeyera occhioniana","Saddi","Domingos A. Folli","Folli, D.A. & Siqueira, G.S.","7191","2014","04","07","América do Sul","BRASIL","ES","-40.0978012084961","-19.1968994140625",NA,"<ll>dwc_commonname:</ll> Anete","CVRD014886","CVRD014886","2014","04","07","Sooretama",NA,NA,NA,"33715","auto","60","60",NA,"Magnoliopsida",NA
"22","2021-02-25 10:12:46-03","CVRD","CVRD","11136","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Calophyllaceae","Kielmeyera","occhioniana","Kielmeyera occhioniana","Saddi","Domingos A. Folli","Folli, D.A.","5994","2008","03","26","América do Sul","BRASIL","ES","-40.0978012084961","-19.1968994140625",NA,"<ll>dwc_commonname:</ll> Anete","CVRD011136",NA,"2008","03","26","Sooretama",NA,NA,NA,"33715","auto","58","58",NA,"Magnoliopsida",NA
"23","2019-11-22 16:09:02-03","UEFS","HUEFS","208932","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Calophyllaceae","Kielmeyera","occhioniana","Kielmeyera occhioniana","Saddi",NA,NA,"420","1983","01","28",NA,"Brasil","Espírito Santo","-40.0722007751465","-19.3910999298096",NA,NA,"HUEFS0208932","HUEFS0208932",NA,NA,NA,"Linhares","Reserva Natural Vale. Estrada Oiticica. Mata de tabuleiro.",NA,NA,"48094","auto",NA,NA,NA,"Rosanae",NA
"24","2019-10-07 09:29:55-03","UEFS","HUEFS","160441","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Calophyllaceae","Kielmeyera","occhioniana","Kielmeyera occhioniana","Saddi","A.P.B.Santos","Almeida, V.S.","31","2009","12","11",NA,"Brasil","Bahia","-38.433333","-9.966667",NA,"Área de transição caatinga e cerrado.","HUEFS0160441","HUEFS0160441","2014","05",NA,"Jeremoabo","Comunidade Baixa dos Quelés, ca. 23 km de Jeremoabo, 351 Km de Salvador.","38W26'0''","9S58'0''",NA,NA,NA,NA,NA,"Rosanae",NA
"25","2019-10-07 09:29:55-03","UEFS","HUEFS","250707","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Calophyllaceae","Kielmeyera","occhioniana","Kielmeyera occhioniana","Saddi",NA,"Nascimento, F.H.F.","1233","2009","10",NA,NA,"Brasil","Bahia","-38.425278","-9.983056",NA,"Ecossistema de Mata Atlântica. Encrave Florestal. Borda leste do Raso da Catarina.","HUEFS0250707",NA,NA,NA,NA,"Jeremoabo","Baixa dos Quelés.","38W25'31''","9S58'59''",NA,NA,NA,NA,NA,"Rosanae",NA
"26","2020-07-23 12:03:12-03","CEPLAC","CEPEC","115966","PreservedSpecimen","Plantae",NA,NA,"Clusiaceae","Kielmeyera","occhioniana","Kielmeyera occhioniana",NA,"A. P. B. Santos","Amorim, A. M.","6900","2007","02","11",NA,"Brasil","Bahia","-39.603056","-16.990556",NA,"UNICATA.",NA,NA,NA,NA,NA,"ITAMARAJÚ","Serra de Itamaraju. Morro Pescoço. Aproximadamente 15km da entrada da cidade.","39W36'11","16S59'26",NA,NA,NA,NA,NA,NA,NA
"27","2020-07-23 12:03:12-03","CEPLAC","CEPEC","6698","PreservedSpecimen","Plantae",NA,NA,"Clusiaceae","Kielmeyera","occhioniana","Kielmeyera occhioniana",NA,"A. M. Amorim","T. S. dos Santos","1477","1971","03","26",NA,"Brasil","Espírito Santo","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,NA,NA,NA,"LINHARES","Vale do Rio Doce.",NA,NA,"48094","auto",NA,NA,NA,NA,"30/06/1992"
