"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","dayIdentified","coordinatePrecision","geoFlag","individualCount","fieldNumber","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","542062","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Stillingia","oppositifolia","Stillingia oppositifolia","Baill.","S. F. Smith","R. A. Wasum","s.n.","1995","01","18","South America","Brazil","Rio Grande do Sul","Sao Francisco de Paula","Floresta Nacional-II","-50.395632","-29.433343","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=317179' target='other'> <mi>dwc_moreinfo</mi></a>","NY00542062","NY00542062_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","540448","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Stillingia","oppositifolia","Stillingia oppositifolia","Baill.","S. Athiê de Souza","G. Grazziotin","3670","1987","11","07","South America","Brazil","Rio Grande do Sul","Sao Francisco de Paula","Sao Francisco de Paula, Casuza Ferreira","-50.5833","-29.4483","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=577367' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540448","NY00540448_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","542365","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Stillingia","oppositifolia","Stillingia oppositifolia","Baill.","I. Cordeiro","M. Kuhlmann","248","1942","12","21","South America","Brazil","São Paulo","Amparo","Monte Alegre, Amparo. Alto do Morro. Estaçao Experimental","-46.7597","-22.7003",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=139418' target='other'> <mi>dwc_moreinfo</mi></a>","NY00542365","NY00542365_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","540447","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Stillingia","oppositifolia","Stillingia oppositifolia","Baill.","S. Athiê de Souza","R. A. Wasum","4813","1988","10","30","South America","Brazil","Rio Grande do Sul","Caxias do Sul","Caxias do Sul, Criuva, Ilhéus","-51.1792","-29.1683","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=577366' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540447","NY00540447_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","542061","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Stillingia","oppositifolia","Stillingia oppositifolia","Baill.","S. F. Smith","L. Camargo de Abreu","s.n.","1996","02","29","South America","Brazil","Rio Grande do Sul","Sao Francisco de Paula","Floresta Nacional-II","-50.395632","-29.433343","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=317181' target='other'> <mi>dwc_moreinfo</mi></a>","NY00542061","NY00542061_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","542059","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Stillingia","oppositifolia","Stillingia oppositifolia","Baill.","S. F. Smith","R. A. Wasum","s.n.","1994","09","24","South America","Brazil","Rio Grande do Sul","Sao Francisco de Paula","Sao Francisco de Paula-Floresta Nacional II","-50.395632","-29.433343","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=317178' target='other'> <mi>dwc_moreinfo</mi></a>","NY00542059","NY00542059_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","542058","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Stillingia","oppositifolia","Stillingia oppositifolia","Baill.","G. L. Webster","G. G. Hatschbach","1987","1973","10","19","South America","Brazil","Paraná","Pitanga","Borboletinha","-51.7614","-24.7572",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=317182' target='other'> <mi>dwc_moreinfo</mi></a>","NY00542058","NY00542058_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","542060","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Stillingia","oppositifolia","Stillingia oppositifolia","Baill.","S. F. Smith","R. A. Wasum","s.n.","1996","01","10","South America","Brazil","Rio Grande do Sul","Sao Francisco de Paula","Floresta Nacional-II","-50.395632","-29.433343","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=317180' target='other'> <mi>dwc_moreinfo</mi></a>","NY00542060","NY00542060_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:38:41-03","EAO","IAN","59248","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Stillingia","oppositifolia","Stillingia oppositifolia","Müll.Arg.",NA,"Rambo, B","44828","1949","12","18","Southern America","Brasil","Rio Grande do Sul",NA,"S. Francico do Paula.",NA,NA,NA,NA,NA,NA,"IAN059248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:14:53-03","UFBA","ALCB","45750","PreservedSpecimen","Plantae","Dicotyledon",NA,"Euphorbiaceae","Stillingia","oppositifolia","Stillingia oppositifolia","Baill. ex Müll.Arg.","Hurbath, F","Guedes, ML; Costa, MA; Valadão, R de M; Campos, G","12713a","2006","01","28","Southern America","Brasil","Bahia","Elísio Medrado",NA,"-39.516667","-12.933333",NA,NA,NA,"Inflorescência masculina axilares.","ALCB066484","ALCB066484","2019","07","-39.516667","-12.933333",NA,NA,NA,NA,NA,NA,NA,NA
