"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","fieldNumber","typeStatus","individualCount"
"1","2021-04-05 14:33:22-03","UNESC","CRI","2296","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","brevifolia","Dyckia brevifolia","Baker","R. Reitz","R. M. Klein","1974","12","26","Brasil","Santa Catarina","Indaial","Encanto.","-49.231944","-26.898333","49º13'55''W","26º53'54''S","96","96","CRI001737","CRI001737",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","376572","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","brevifolia","Dyckia brevifolia","Baker","R. C. Forzza","J. M. Silva","1997","10","16","Brazil","Paraná","Três Barras do Paraná","Cânion do Rio Guarani","-53.1806","-25.4192",NA,NA,NA,NA,"NY00376572","NY00376572_01","Magnoliophyta","Poales","2174","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=712115' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","376573","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","brevifolia","Dyckia brevifolia","Baker","R. C. Forzza","G. G. Hatschbach","1968","09","23","Brazil","Paraná","Laranjeiras do Sul","Rio Iguaçu, Salto Osório","-53.008927","-25.537385",NA,NA,NA,NA,"NY00376573","NY00376573_01","Magnoliophyta","Poales","19820","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=712116' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","376571","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","brevifolia","Dyckia brevifolia","Baker","L. B. Smith","L. B. Smith","1964","12","09","Brazil","Santa Catarina","Concórdia","Rio Uruguai","-51.93","-27.43",NA,NA,"400","400","NY00376571","NY00376571_01","Magnoliophyta","Poales","13930","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=712117' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-08 17:44:51-03","EAO","IAN","40949","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","sulphurea","Dyckia sulphurea","C.Koch",NA,"Berol, H; Hennings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN040949",NA,"Monocotiledônea",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-04 15:26:25-03","PUCPR","HUCP","4043","S","Plantae","Bromeliaceae","Dyckia","brevifolia","Dyckia brevifolia","Baker.","Vargas, LA; Fortes, F","Schiochet, CLL; Acra, LA",NA,NA,NA,"Brasil","Paraná","Matinhos","Ilha do Farol","-48.5428009033203","-25.8174991607666",NA,NA,NA,NA,"HUCP00004784","HUCP00004784","Monocotiledonea",NA,"s.n.",NA,NA,NA,"1984","10","27","15275","auto",NA,NA,NA,NA
"7","2020-02-08 10:12:11-03","NBC","NL-BOTANY","U.1177815","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","brevifolia","Dyckia brevifolia","Backer",NA,"Lindeman JC; Haas JH de","1966","10","15","Brazil",NA,NA,"Flora Brasiliae Australis. Hab. Est. Paraná. By Rio 5 Reis 5 km S. of Jaguariaiva. On open rock.",NA,NA,NA,NA,NA,NA,"NL-U1177815","NL-U1177815",NA,"Poales",NA,"Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1177815 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"8","2021-01-14 15:25:52-03","MN","R","187676","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","brevifolia","Dyckia brevifolia","Baker",NA,"Smith, L.B. 13930; Klein, R.M.","1964","12","09","Brasil","Santa Catarina","Concórdia",NA,"-51.933333","-27.433333","51°56'W","27°26'S","400","400","R010005686",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-01-14 15:25:52-03","MN","R","212529","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","brevifolia","Dyckia brevifolia","Baker","Butzke, A.","Butzke, A.; et al.","1993","11",NA,"Brasil","Rio Grande do Sul","Marcelino Ramos","Estreito Augusto César.","-51.9063987731934","-27.4617004394531",NA,NA,NA,NA,"R010005687","R010005687",NA,NA,"11850",NA,NA,NA,NA,NA,NA,"18635","auto",NA,NA,NA,NA
"10","2016-02-02 14:37:51-02","BGBM","B","B 10 0186481","S","Plantae","Bromeliaceae","Dyckia","brevifolia","Dyckia brevifolia",NA,NA,"Pabst",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B100186481","B100186481",NA,NA,"4258","Middle and South America",NA,"<a href=http://herbarium.bgbm.org/object/B100186481 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
