"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","fieldNumber","country","preparationType","occurrenceRemarks","barcode","imagecode","kingdom","phylum","class","order","recordNumber","year","stateProvince","continentOcean","decimalLongitude","decimalLatitude"
"1","2009-01-23 10:45:40-02","MNHN","RECOLNAT_MNHN_P","P00650881","PreservedSpecimen","Lamiaceae","Aegiphila","capitata","Aegiphila capitata","Moldenke","isotype","Burchell, W.J.","3547","Brésil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00650881' target='other'> <mi>dwc_moreinfo</mi></a>","P00650881","P00650881_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-07 09:15:53-03","UEFS","HUEFS","35455","PreservedSpecimen","Lamiaceae","Aegiphila","capitata","Aegiphila capitata","Moldenke",NA,"Burchell",NA,"Brasil",NA,NA,"HUEFS0035455",NA,"Plantae","Angiospermae","Asteranae","Lamiales","3547","1930","Bahia",NA,NA,NA
"3","2019-09-04 19:04:01-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Verbenaceae","Aegiphila","capitata","Aegiphila capitata",NA,"Type [status unknown]","W. J. Burchell",NA,"Brazil",NA,NA,NA,NA,"Plantae","Spermatophyta","Dicotyledoneae",NA,"3547",NA,NA,"South America","-52.8731","-10.8339"
