"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","typeStatus","county","locality","decimalLongitude","decimalLatitude","imagecode","coordinatePrecision","geoFlag","class","identifiedBy","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","minimumElevationInMeters","individualCount","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","01171398","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","verticillata","Pradosia verticillata","Ducke","W. A. Ducke","811","1941","10","14","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1480513' target='other'> <mi>dwc_moreinfo</mi></a>","NY01171398",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1365138","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","verticillata","Pradosia verticillata","Ducke","W. A. Ducke","811","1941","10","14","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1701546' target='other'> <mi>dwc_moreinfo</mi></a>","NY01365138","isotype","Manaus","Estação do Aleixo, além do V. Municipal.","-59.9914241","-3.0859226","NY01365138_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:49:38-03","EAO","IAN","10386","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pradosia","verticillata","Pradosia verticillata","Ducke","Ducke, A","811","1943","12","20","Southern America","Brasil","Amazonas",NA,"Arbor magna; flores calice rufescente, corolla et staminum filamentis, nigroviolaceis, antheris albidis.","IAN010386",NA,"Manaus","Ad urbem (Ultre Villa Municipal) in relictis silvae, terris argillosis altis.","-60.0250015258789","-3.10193991661072","IAN010386 IAN010386_e","138090","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:04:46-03","NBC","NL-BOTANY","U 0232635","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Pradosia","verticillata","Pradosia verticillata","Ducke","Mori SA; Boom BM",NA,"1982","08","28","Southern America","French Guiana",NA,NA,"Tropical Moist Forest<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200232635 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0232635",NA,NA,"Commune de Saül, Région de Saül Monts La Fumee","-53.216667","3.616667",NA,NA,NA,"Magnoliopsidae","Ribeiro JELS","-53.216667","3.616667",NA,NA,NA,NA,NA
"5","2020-02-08 09:04:46-03","NBC","NL-BOTANY","U.1592712","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Pradosia","verticillata","Pradosia verticillata","Ducke","Prance GT; Pennington TD; Ramos JF; Monteiro OP",NA,"1974","09","18","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1592712 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1592712",NA,NA,"Plants of Brazilian Amazonia. State of Amazonas. Manaus-Caracarai Highway. Km. 185, BR 174, Manaus-Caracarai Road.",NA,NA,"NL-U1592712",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 09:32:30-03","UFRRJ","RBR","46647","S","Plantae",NA,NA,"Sapotaceae","Pradosia","verticillata","Pradosia verticillata","Ducke","M.A. Ferreira","18","2008","02","17",NA,"Brasil","Rondônia",NA,NA,"RBR00046647",NA,"Vilhena",NA,"-60.1458015441895","-12.7405996322632","RBR00046647","196523","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2011-03-24 10:03:00-03","MO","MOBOT","3385412","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pradosia","verticillata","Pradosia verticillata","Ducke","A. Ducke","Ducke 811","1941",NA,NA,"South America","Brazil","Amazonas",NA,NA,NA,NA,NA,"Manos ad urbem ultra Vilal Municiapl in relictis silvae, terris argillosis altis.",NA,NA,NA,NA,NA,NA,"T.D. Pennington",NA,NA,NA,NA,NA,NA,NA
"8","2021-01-10 20:43:22-03","INPA","INPA","102536","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pradosia","verticillata","Pradosia verticillata","Ducke","Santos, JL dos","INPA102536","1982",NA,NA,"Southern America","Brasil","Amazonas",NA,NA,"INPA0102536",NA,"Manaus","AM 010, km 23, ZF2, Estrada Manaus-Itacoatiara, ZF-2, km 23, Centro de apoio - Projeto Manejo Ecologico; Arvore nº 80 do Bloco 1, Sub-bloco 4, Picada 2. Topografia, cota ± 100 m.","-60.083333","-2.6",NA,NA,NA,NA,"Pennington, TD","-60.083333","-2.6",NA,NA,NA,NA,NA
"9","2020-08-31 08:55:02-03","INPA","INPA","202247","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pradosia","verticillata","Pradosia verticillata","Ducke","Lemos, MC","228","1997",NA,NA,"Southern America","Brasil","Amazonas",NA,NA,"INPA0202247",NA,"Manaus","ZF2, EEST, Estação Esperimental de Silvicultura Tropical - ZF2.","-60.1","-2.566667",NA,NA,NA,NA,"Ribeiro, JELS","-60.1","-2.566667","1998","01",NA,NA,NA
"10","2020-08-31 08:55:02-03","INPA","INPA","241187","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pradosia","verticillata","Pradosia verticillata","Ducke","Ducke, A","811","1941","10","14","Southern America","Brasil","Amazonas",NA,NA,"INPA0241187","isotype","Manaus","Estação do Aleixo, Estação do Aleixo além do V. Municipal. Restos da mata de terra firme.","-59.955906","-3.075656","INPA0241187 INPA0241187_e INPA0241187_num",NA,NA,NA,NA,"-59.955906","-3.075656",NA,NA,NA,NA,NA
