"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","886036","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","iguapense","Elaphoglossum iguapense","Brade","A. Salino","A. Salino","6668","2001","05","02","South America","Brazil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar, Núcleo Picinguaba, Trilha do Jatobá.","-44.8369","-23.3403","40","40","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=975297' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886036","NY00886036_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01415324","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","iguapense","Elaphoglossum iguapense","Brade","J. Prado; R. Y. Hirai","R. Y. Hirai","669","2009","10","16","South America","Brazil","São Paulo","Jundiai","Serra do Japi. Na estrada para a torre da TV Cultura.","-46.93","-23.25","1116",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2523539' target='other'> <mi>dwc_moreinfo</mi></a>","NY01415324","NY01415324_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1144531","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","iguapense","Elaphoglossum iguapense","Brade",NA,"A. Santiago","111","2000","04","28","South America","Brazil","Pernambuco","Bonito","Brejo de Altitude, Mata da Colônia.","-35.7156","-8.5039","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1293379' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144531","NY01144531_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","720594","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","iguapense","Elaphoglossum iguapense","Brade",NA,"A. Salino","10285","2005","03","29","South America","Brazil","São Paulo",NA,"Parque Estadual do Jacupiranga. Distrito de Itapitangui. Caxetal com extrativismo seletivo.","-48.1225","-25.0017","50",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2518074' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720594","NY00720594_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","886037","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","iguapense","Elaphoglossum iguapense","Brade","A. Salino","A. Salino","6762","2001","05","05","South America","Brazil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar, Núcleo Picinguaba, Sertão do Ubatumirim.","-44.869","-23.2953","30","30","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=975302' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886037","NY00886037_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 09:59:03-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","27861","S","Plantae","Tracheophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","iguapense","Elaphoglossum iguapense","Brade","M. R. Pietrobom","M. R. Pietrobom","5599","2003","05","30","América do Sul","Brasil","Pernambuco","Jaqueira","Serra do Urubu, córrego do guariba.","-35.7933006286621","-8.72667026519775",NA,NA,NA,"Região de morros com vegetação ombrófila densa. Corticícola junto da trilha, interior da mata.",NA,NA,"Polypodiopsida","2003","05","30","11830","auto",NA,NA,NA
"7","2019-08-27 13:35:17-03","IAP","PACA-AGP","79059","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","iguapense","Elaphoglossum iguapense","Brade","A. Sehnem SJ","Hatschbach, G.","27703","1971","10","28",NA,"Brasil","PR","Guaraqueçaba","Caminho ao Paruquara","-48.3288993835449","-25.3066997528076","5","5",NA,"Habitat: epífita, mata pluvial, planicie litorânea","PACA079059",NA,"Filicopsida","1972","02","24","37295","auto",NA,NA,NA
"8","2019-08-27 13:35:17-03","IAP","PACA-AGP","79062","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","iguapense","Elaphoglossum iguapense","Brade","A. Sehnem SJ","Andrade-Lima","68=5283","1968","02","16",NA,"Brasil","CE",NA,"Alto da Serra de Pacatuba - Sitio Pitaguari",NA,NA,NA,NA,NA,"Duplicata IPA 14484&nf;ASSL 14341","PACA079062",NA,"Filicopsida","1974","09","04",NA,NA,NA,NA,NA
"9","2019-08-27 13:35:17-03","IAP","PACA-AGP","79060","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","iguapense","Elaphoglossum iguapense","Brade","A. Sehnem SJ","Hatschbach, G.","27700","1971","10","28",NA,"Brasil","PR","Guaraqueçaba","Caminho ao Paruquara","-48.3288993835449","-25.3066997528076","30","30",NA,"Habitat: epífita, mata pluvial, encoata de morro","PACA079060",NA,"Filicopsida","1972","02","24","37295","auto",NA,NA,NA
"10","2019-08-27 13:35:17-03","IAP","PACA-AGP","79061","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","iguapense","Elaphoglossum iguapense","Brade","A. Sehnem SJ","Hatschbach, G.","10216","1963","09","20",NA,"Brasil","PR","Guaratuba","Rio da Prata","-48.5746994018555","-25.8827991485596","10","10",NA,"Habitat: epífita, mata pluvial da planície litorânea","PACA079061",NA,"Filicopsida","1973",NA,NA,"41937","auto",NA,NA,NA
"11","2019-08-27 13:35:17-03","IAP","PACA-AGP","79063","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","iguapense","Elaphoglossum iguapense","Brade","A. Sehnem SJ","D. A. de Grande","375","1979","12","14",NA,"Brasil","SP","Cananéia","Ilha do Cardoso - trilha de acesso à captação de água doce, próximo ao Rio Parequê.","-47.9199981689453","-25.0100002288818",NA,NA,NA,"esporos em toda a extensão da fronde fértil Habitat: epifita","PACA079063",NA,"Filicopsida",NA,NA,NA,"37574","auto",NA,NA,NA
"12","2019-11-21 14:52:23-03","UFJF","CESJ","72307","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Dryopteridaceae","Elaphoglossum","iguapense","Elaphoglossum iguapense","Brade","A. Salino","V.A.O. Dittrich; R.A.F. Lima","1547","2008","03","11","América do Sul","Brasil","São Paulo","Bertioga","Altitude e coordenadas geográficas aproximadas","-45.939694","-23.723611","80","80",NA,"Epífita em Floresta Ombrófila Densa de Terras Baixas, em encosta","CESJ072307",NA,NA,"2019","02",NA,NA,NA,"-45.939694","-23.723611",NA
"13","2019-11-21 14:52:23-03","UFJF","CESJ","72580","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Dryopteridaceae","Elaphoglossum","iguapense","Elaphoglossum iguapense","Brade","V.A.O. Dittrich","V.A.O. Dittrich; C. Kozera","s.n.","1999","04","21","América do Sul","Brasil","Paraná","Paranaguá","Ilha do Mel, Morro Bento Alves, Altitude e coordenadas geográficas aproximadas","-48.310833","-25.560556","100","100",NA,"Epífita na Floresta Ombrófila Densa Submontana","CESJ072580",NA,NA,"2019","05",NA,NA,NA,"-48.310833","-25.560556",NA
"14","2019-11-21 14:52:23-03","UFJF","CESJ","30711","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Dryopteridaceae","Elaphoglossum","iguapense","Elaphoglossum iguapense","Brade","V.A.O. Dittrich","A. Salino; S.M.Silva, RMBritez; M.C.M.Marques","1526","1992","10","11","América do Sul","Brasil","Paraná","Paranaguá","Ilha do Mel","-48.5092010498047","-25.5200004577637",NA,NA,NA,"Epífita na base de tronco de árvore, no interior da floresta de planície (restinga arbórea).","CESJ030711",NA,NA,"2019","04",NA,"24916","auto",NA,NA,NA
"15","2021-03-01 16:43:39-03","UNICAMP","UEC","155425","S","Plantae","Pteridophyta",NA,"Dryopteridaceae","Elaphoglossum","iguapense","Elaphoglossum iguapense","Brade","Prado, J; Hirai, RY","Hirai, RY; Prado, J; Vasconcellos-Neto, J","669","2009","10","16",NA,"Brazil","São Paulo","Jundiaí","Serra do Japi, Na estrada para a torre da TV cultura.","-46.95","-23.25","1120","1120",NA,"Terrestre.","UEC055851","UEC055851",NA,NA,NA,NA,NA,NA,"-46.95","-23.25",NA
"16","2021-03-01 16:43:39-03","UNICAMP","UEC","91152","S","Plantae","Pteridophyta",NA,"Dryopteridaceae","Elaphoglossum","iguapense","Elaphoglossum iguapense","Brade","Prado, J; Hirai, RY","Hirai, RY; Prado, J; Vasconcellos-Neto, J","670","2009","10","16",NA,"Brazil","São Paulo","Jundiaí","Serra do Japi, Na estrada para a torre da TV cultura.","-46.95","-23.25","1120","1120",NA,"Terrestre com rizoma ereto.","UEC055850","UEC055850",NA,NA,NA,NA,NA,NA,"-46.95","-23.25",NA
"17","2021-03-01 16:43:39-03","UNICAMP","UEC","138671","S","Plantae","Pteridophyta",NA,"Dryopteridaceae","Elaphoglossum","iguapense","Elaphoglossum iguapense","Brade","Prado, J","Breier, TB; Dittrich, VAO","652","2002","09","26",NA,"Brazil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho, Núcleo Sete Barras.","-47.9199981689453","-24.3799991607666",NA,NA,NA,"Em árvore caída.","UEC076303","UEC076303",NA,"2008","05",NA,"34059","auto",NA,NA,NA
"18","2019-11-19 14:06:33-03","UFRPE","PEUFR","43452","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Elaphoglossum","iguapense","Elaphoglossum iguapense","Brade","A. Santiago","A. Santiago; I. Barros; M. Pietrobom; I. Melo; S. Xavier","63","1999","05","07",NA,"Brasil","Pernambuco","Bonito","Mata da Colônia","-35.715556","-8.503889","800","800",NA,"Epífita em local sombreado no interior da mata","PEUFR043452",NA,NA,NA,NA,NA,NA,NA,"35°42'56''W","8°30'14''S",NA
"19","2020-10-14 10:01:07-03","FURB","FURB","29350","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Elaphoglossum","iguapense","Elaphoglossum iguapense","Brade","Gasper, AL de","Verdi, M.; Souza, N.L. de; Klemz, G. & Klettenberg, D.H.","4925","2010","06","10",NA,"Brasil","Santa Catarina","Paulo Lopes","Sertão do Campo/Parque Estadual da Serra do Tabuleiro.","-48.7558333","-27.8933333","295","295",NA,"Florística IFFSC 226 (Rupícola) Habitat: Floresta Ombrófila Densa; Estágio mosaicos de inicial, médio a avançado; interior do fragmento Habito: rupícola;","FURB07762","FURB07762",NA,"2011","02","01",NA,NA,"-48.7558333","-27.8933333",NA
"20","2020-10-14 10:01:07-03","FURB","FURB","32773","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Elaphoglossum","iguapense","Elaphoglossum iguapense","Brade","Gasper, AL de","Korte, A.","5004","2010","11","18",NA,"Brasil","Santa Catarina","Itapoá","Saí Mirim.","-48.69","-26.1","18","18",NA,"Florística IFFSC 1069b (Epífita) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita;","FURB00089","FURB00089",NA,"2010","12","01",NA,NA,"-48.6900000","-26.1000000",NA
